,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.004305,1.547348,0.03196,0.993279,0.068034,-0.07172,-0.060204,-0.131676,1.368199,0.423102,-0.248296,0.963699,-0.093506,0.029848,-0.125115,1.409554,0.415464,0.923948,0.370597,-0.032492,-0.089006,-0.13471,1.380189,0.360226,0.970512,-0.233219,0.036989,-0.048457,-0.130156,1.382391,0.444394,0.290934,0.953139,-0.082764,-0.005838,-0.129708,1.378487,0.401938,-0.248296,0.963699,-0.093506,0.029848,-0.14901,1.366629,0.421053,-0.217887,0.967064,-0.072078,0.110075,-0.147611,1.416414,0.413972,0.915848,0.398056,-0.052186,0.007053,-0.151773,1.382475,0.358316,0.970512,-0.233219,0.036989,-0.048457,-0.151685,1.383369,0.444653,0.301016,0.951456,-0.028653,0.05744,-0.143001,1.376296,0.397277,-0.217887,0.967064,-0.072078,0.110075,-0.153173,1.395051,0.36859,0.970512,-0.233219,0.036989,-0.048457,-0.178908,1.362982,0.397752,-0.232228,0.966067,0.086677,0.07261,-0.188785,1.4019,0.404611,0.825545,0.554325,0.08349,0.065029,-0.180182,1.383721,0.360864,0.95899,-0.207137,-0.053,0.186076,-0.181983,1.372597,0.416648,0.234972,0.968655,0.052195,0.061415,-0.176084,1.372558,0.376856,-0.232228,0.966067,0.086677,0.07261,-0.163697,1.361351,0.409571,-0.213901,0.970734,0.035036,0.103413,-0.168717,1.411646,0.41037,0.875345,0.481694,-0.017618,0.037832,-0.171455,1.386297,0.359469,0.970512,-0.233219,0.036989,-0.048457,-0.168486,1.376907,0.432388,0.292491,0.952316,0.012088,0.086013,-0.159005,1.370649,0.386059,-0.213901,0.970734,0.035036,0.103413,-0.073125,1.3761,0.407746,0.606334,-0.357446,0.347719,-0.619422,-0.124134,1.372343,0.360341,0.645772,-0.271442,0.283628,-0.654869,-0.099381,1.371626,0.384063,0.710934,-0.306634,0.271531,-0.571682,-0.050152,1.376852,0.419832,0.606334,-0.357446,0.347719,-0.619422,11,-0.158735,1.373689,0.323208,0.970512,-0.233219,0.036989,-0.048457,34,Nummer10,Dynamic,Left
1,2,0.004186,1.547492,0.031936,0.99331,0.067627,-0.071841,-0.060005,-0.126235,1.368175,0.423399,-0.24431,0.964157,-0.10074,0.02376,-0.119341,1.409423,0.415399,0.924765,0.366951,-0.027393,-0.096985,-0.130106,1.379784,0.360533,0.96913,-0.236672,0.045533,-0.051963,-0.124215,1.382486,0.444569,0.294684,0.951627,-0.085708,-0.014873,-0.124496,1.378308,0.402141,-0.24431,0.964157,-0.10074,0.02376,-0.143598,1.36673,0.42157,-0.214235,0.96804,-0.078577,0.104054,-0.141783,1.416513,0.414206,0.917138,0.395763,-0.047217,-0.000692,-0.14717,1.382247,0.358866,0.96913,-0.236672,0.045533,-0.051963,-0.145729,1.383649,0.445096,0.304629,0.950718,-0.031246,0.048578,-0.137851,1.37621,0.397654,-0.214235,0.96804,-0.078577,0.104054,-0.14827,1.394908,0.369062,0.96913,-0.236672,0.045533,-0.051963,-0.173875,1.363375,0.3989,-0.231924,0.967148,0.080325,0.066215,-0.183248,1.402379,0.405578,0.827785,0.551399,0.086878,0.05642,-0.175514,1.383817,0.36183,0.959641,-0.209228,-0.043884,0.182724,-0.176572,1.373119,0.417787,0.237452,0.968707,0.049213,0.052924,-0.171282,1.372898,0.37795,-0.231924,0.967148,0.080325,0.066215,-0.158501,1.361614,0.410373,-0.212492,0.971897,0.02877,0.097143,-0.162991,1.411948,0.410961,0.877024,0.479331,-0.013512,0.02979,-0.166783,1.386289,0.360283,0.96913,-0.236672,0.045533,-0.051963,-0.162791,1.377334,0.433176,0.295315,0.952211,0.009598,0.077407,-0.154071,1.37081,0.386772,-0.212492,0.971897,0.02877,0.097143,-0.06789,1.375288,0.407192,0.598902,-0.362021,0.352162,-0.621482,-0.119621,1.371816,0.360555,0.638985,-0.276528,0.287567,-0.657674,-0.094546,1.370964,0.38393,0.704497,-0.311683,0.276641,-0.574463,-0.044734,1.375851,0.418933,0.598902,-0.362021,0.352162,-0.621482,22,-0.154758,1.373304,0.323918,0.96913,-0.236672,0.045533,-0.051963,34,Nummer10,Dynamic,Left
2,3,0.004058,1.547618,0.031897,0.99334,0.067308,-0.072032,-0.059639,-0.123066,1.368866,0.422991,-0.242998,0.964421,-0.101953,0.0212,-0.116179,1.410052,0.414773,0.925624,0.364523,-0.024903,-0.098605,-0.127334,1.380236,0.360089,0.96856,-0.238395,0.048628,-0.051914,-0.120899,1.383254,0.444094,0.296712,0.950978,-0.085358,-0.017813,-0.121439,1.378953,0.401702,-0.242998,0.964421,-0.101953,0.0212,-0.140459,1.367381,0.421214,-0.211897,0.968765,-0.07988,0.101061,-0.138619,1.417167,0.413696,0.917783,0.394582,-0.044412,-0.002636,-0.144404,1.382724,0.358517,0.96856,-0.238395,0.048628,-0.051914,-0.142404,1.384386,0.444694,0.306451,0.950313,-0.030873,0.045171,-0.134861,1.376754,0.397221,-0.211897,0.968765,-0.07988,0.101061,-0.145416,1.395423,0.368665,0.96856,-0.238395,0.048628,-0.051914,-0.170845,1.364053,0.39885,-0.230836,0.967647,0.079552,0.063608,-0.180156,1.403058,0.405374,0.829156,0.549204,0.088896,0.05452,-0.172719,1.384343,0.36164,0.959544,-0.210258,-0.04045,0.182839,-0.173439,1.373863,0.417717,0.239009,0.968445,0.049623,0.05026,-0.168358,1.373519,0.377861,-0.230836,0.967647,0.079552,0.063608,-0.155424,1.362333,0.410135,-0.212578,0.972196,0.027763,0.09421,-0.159853,1.412619,0.410599,0.877975,0.477766,-0.011108,0.027856,-0.163994,1.386799,0.36003,0.96856,-0.238395,0.048628,-0.051914,-0.15956,1.378089,0.432942,0.295972,0.952245,0.010128,0.074351,-0.151134,1.371528,0.386507,-0.212578,0.972196,0.027763,0.09421,-0.064874,1.375802,0.406424,0.596837,-0.364406,0.352703,-0.621767,-0.116869,1.372244,0.360089,0.637177,-0.27901,0.288104,-0.658145,-0.091685,1.371433,0.383349,0.7025,-0.314662,0.27801,-0.574623,-0.04166,1.376373,0.41805,0.596837,-0.364406,0.352703,-0.621767,33,-0.152213,1.373679,0.323634,0.96856,-0.238395,0.048628,-0.051914,34,Nummer10,Dynamic,Left
3,4,0.00394,1.547751,0.031834,0.993347,0.067151,-0.072457,-0.059191,-0.119903,1.369509,0.422615,-0.241782,0.964632,-0.103345,0.018644,-0.113012,1.410629,0.414184,0.92643,0.36214,-0.022432,-0.100398,-0.124572,1.380637,0.359692,0.967959,-0.240138,0.051809,-0.052016,-0.117584,1.383968,0.443654,0.29863,0.950333,-0.08516,-0.020843,-0.118387,1.379554,0.401298,-0.241782,0.964632,-0.103345,0.018644,-0.137328,1.367987,0.420898,-0.209523,0.969468,-0.081358,0.098044,-0.135448,1.417777,0.413226,0.918414,0.393396,-0.041621,-0.004763,-0.141647,1.383156,0.358214,0.967959,-0.240138,0.051809,-0.052016,-0.139079,1.385079,0.444331,0.308276,0.94989,-0.030644,0.041655,-0.13188,1.37725,0.396828,-0.209523,0.969468,-0.081358,0.098044,-0.142565,1.395893,0.368312,0.967959,-0.240138,0.051809,-0.052016,-0.167825,1.3647,0.398848,-0.229766,0.968149,0.078596,0.060969,-0.177059,1.403708,0.405215,0.830558,0.546959,0.090879,0.052441,-0.169929,1.384834,0.361498,0.959462,-0.211312,-0.036929,0.182802,-0.170309,1.374578,0.417694,0.240574,0.968184,0.049885,0.047487,-0.165444,1.374109,0.377821,-0.229766,0.968149,0.078596,0.060969,-0.152356,1.363015,0.409943,-0.212641,0.972496,0.026577,0.091263,-0.156708,1.413253,0.41028,0.878943,0.476151,-0.008738,0.025751,-0.161211,1.38727,0.359824,0.967959,-0.240138,0.051809,-0.052016,-0.156331,1.378808,0.432753,0.296647,0.952272,0.010512,0.071195,-0.148205,1.372207,0.386289,-0.212641,0.972496,0.026577,0.091263,-0.061871,1.376239,0.4057,0.594654,-0.366686,0.353266,-0.622199,-0.11413,1.372617,0.359671,0.635216,-0.281445,0.288684,-0.65875,-0.088837,1.371835,0.382814,0.700361,-0.317596,0.279436,-0.57493,-0.038601,1.376808,0.417213,0.594654,-0.366686,0.353266,-0.622199,44,-0.149683,1.37401,0.323398,0.967959,-0.240138,0.051809,-0.052016,34,Nummer10,Dynamic,Left
4,5,0.003826,1.547877,0.031757,0.99336,0.066827,-0.072699,-0.059037,-0.117263,1.369818,0.424087,-0.24113,0.965151,-0.099624,0.020359,-0.110589,1.411005,0.415589,0.927013,0.361631,-0.023631,-0.0965,-0.121743,1.381024,0.361023,0.968433,-0.239313,0.048949,-0.049704,-0.115134,1.384367,0.445084,0.300221,0.950104,-0.082834,-0.017546,-0.115706,1.37983,0.402758,-0.24113,0.965151,-0.099624,0.020359,-0.134689,1.368102,0.422086,-0.21006,0.969447,-0.078164,0.099686,-0.133061,1.418024,0.414541,0.917592,0.395236,-0.042583,-0.001179,-0.138824,1.383461,0.359464,0.968433,-0.239313,0.048949,-0.049704,-0.136641,1.385189,0.445507,0.308204,0.949837,-0.02869,0.044679,-0.129182,1.3774,0.398043,-0.21006,0.969447,-0.078164,0.099686,-0.139847,1.39618,0.369557,0.968433,-0.239313,0.048949,-0.049704,-0.164994,1.364872,0.400107,-0.232288,0.967013,0.083015,0.063537,-0.174552,1.403727,0.406315,0.83171,0.544895,0.089718,0.05744,-0.167114,1.384973,0.362598,0.959026,-0.210772,-0.039892,0.185074,-0.167689,1.374693,0.418954,0.239614,0.968051,0.052583,0.05194,-0.162547,1.374411,0.379146,-0.232288,0.967013,0.083015,0.063537,-0.149608,1.363255,0.411009,-0.217723,0.971086,0.030193,0.09315,-0.154281,1.413381,0.411489,0.878292,0.477094,-0.009716,0.029845,-0.158403,1.387464,0.360968,0.968433,-0.239313,0.048949,-0.049704,-0.153812,1.378889,0.433887,0.293698,0.952884,0.012704,0.074789,-0.145402,1.372711,0.387469,-0.217723,0.971086,0.030193,0.09315,-0.059322,1.376818,0.407431,0.597485,-0.364848,0.35078,-0.621974,-0.111271,1.373044,0.361067,0.637816,-0.279133,0.286275,-0.658273,-0.086146,1.37233,0.384394,0.702515,-0.316187,0.277229,-0.574146,-0.036138,1.377471,0.41911,0.597485,-0.364848,0.35078,-0.621974,56,-0.146632,1.374335,0.324572,0.968433,-0.239313,0.048949,-0.049704,34,Nummer10,Dynamic,Left
5,6,0.00372,1.547968,0.031661,0.993344,0.066717,-0.073192,-0.058819,-0.113595,1.370138,0.426759,-0.240501,0.965602,-0.096626,0.020866,-0.107128,1.411378,0.418211,0.927455,0.361288,-0.02375,-0.093457,-0.117961,1.381685,0.363431,0.9694,-0.236236,0.046934,-0.04748,-0.111592,1.384748,0.447725,0.301313,0.949992,-0.080513,-0.015597,-0.112045,1.380123,0.405417,-0.240501,0.965602,-0.096626,0.020866,-0.131041,1.368252,0.424429,-0.21198,0.969135,-0.075743,0.100524,-0.129632,1.41829,0.417135,0.916359,0.398037,-0.043005,0.001571,-0.135049,1.384052,0.361829,0.9694,-0.236236,0.046934,-0.04748,-0.133143,1.385256,0.447897,0.306565,0.950316,-0.027004,0.046772,-0.125506,1.377654,0.400432,-0.21198,0.969135,-0.075743,0.100524,-0.136161,1.396702,0.37199,0.9694,-0.236236,0.046934,-0.04748,-0.161144,1.365115,0.402543,-0.234451,0.965912,0.087365,0.066439,-0.171023,1.403838,0.408683,0.832032,0.544062,0.088326,0.062588,-0.163349,1.385404,0.36487,0.959162,-0.207881,-0.042574,0.187033,-0.164054,1.374861,0.421397,0.23823,0.967989,0.055119,0.056612,-0.158613,1.374769,0.381645,-0.234451,0.965912,0.087365,0.066439,-0.145862,1.363544,0.41318,-0.223977,0.969426,0.033151,0.094597,-0.150818,1.41356,0.413985,0.876785,0.479614,-0.010409,0.033308,-0.154645,1.387948,0.363285,0.9694,-0.236236,0.046934,-0.04748,-0.150254,1.37894,0.436183,0.289094,0.954029,0.014586,0.077725,-0.141622,1.373318,0.389776,-0.223977,0.969426,0.033151,0.094597,-0.055677,1.377541,0.41002,0.600846,-0.362996,0.350312,-0.620081,-0.107456,1.373749,0.363472,0.640933,-0.276612,0.285998,-0.656427,-0.082431,1.373033,0.386906,0.705159,-0.314491,0.277208,-0.571841,-0.032541,1.378259,0.421792,0.600846,-0.362996,0.350312,-0.620081,67,-0.142691,1.375115,0.326844,0.9694,-0.236236,0.046934,-0.04748,34,Nummer10,Dynamic,Left
6,7,0.003639,1.548006,0.031535,0.993311,0.066927,-0.073609,-0.058611,-0.109928,1.370459,0.429277,-0.239237,0.966162,-0.094086,0.021094,-0.103645,1.411736,0.420624,0.928078,0.360344,-0.023652,-0.09091,-0.114226,1.382296,0.365666,0.970215,-0.233558,0.045395,-0.045534,-0.108022,1.385153,0.450193,0.302984,0.949658,-0.078429,-0.01413,-0.108397,1.38039,0.407908,-0.239237,0.966162,-0.094086,0.021094,-0.127398,1.368413,0.42662,-0.213392,0.968923,-0.073734,0.101068,-0.126176,1.418557,0.419533,0.915311,0.400408,-0.043186,0.003827,-0.13132,1.384605,0.364033,0.970215,-0.233558,0.045395,-0.045534,-0.129616,1.385355,0.450122,0.305373,0.950661,-0.025529,0.048362,-0.121847,1.377892,0.402658,-0.213392,0.968923,-0.073734,0.101068,-0.132504,1.397195,0.374251,0.970215,-0.233558,0.045395,-0.045534,-0.157319,1.365371,0.404863,-0.236109,0.964959,0.091313,0.069049,-0.167484,1.403973,0.4109,0.832598,0.542855,0.087025,0.067193,-0.159626,1.385819,0.367003,0.959283,-0.20532,-0.044698,0.188737,-0.160425,1.375063,0.423713,0.237333,0.967821,0.057403,0.060839,-0.154713,1.375118,0.384017,-0.236109,0.964959,0.091313,0.069049,-0.142132,1.363847,0.415217,-0.229784,0.967867,0.035707,0.095697,-0.147334,1.413754,0.416305,0.87549,0.481751,-0.01091,0.036252,-0.15093,1.38841,0.365454,0.970215,-0.233558,0.045395,-0.045534,-0.146683,1.379027,0.438334,0.284903,0.955061,0.016273,0.08015,-0.137875,1.373915,0.391941,-0.229784,0.967867,0.035707,0.095697,-0.052042,1.378209,0.412384,0.603681,-0.361529,0.349953,-0.618384,-0.103694,1.374397,0.365701,0.643568,-0.274537,0.285813,-0.654799,-0.07875,1.373679,0.389221,0.707337,-0.313256,0.277362,-0.56975,-0.028945,1.378983,0.424228,0.603681,-0.361529,0.349953,-0.618384,77,-0.138833,1.375833,0.32897,0.970215,-0.233558,0.045395,-0.045534,34,Nummer10,Dynamic,Left
7,8,0.003557,1.548038,0.031386,0.993261,0.067197,-0.074113,-0.058525,-0.106648,1.371124,0.431638,-0.238448,0.966757,-0.090552,0.017994,-0.100747,1.412466,0.422921,0.92861,0.35996,-0.020142,-0.087786,-0.111297,1.383101,0.367921,0.970662,-0.232347,0.046329,-0.041032,-0.104771,1.385865,0.452525,0.303901,0.949726,-0.073775,-0.014933,-0.105295,1.381039,0.410249,-0.238448,0.966757,-0.090552,0.017994,-0.124126,1.368892,0.428949,-0.213524,0.969429,-0.070288,0.098355,-0.123337,1.419104,0.421935,0.914933,0.40158,-0.039833,0.006769,-0.128415,1.385277,0.366357,0.970662,-0.232347,0.046329,-0.041032,-0.126391,1.385809,0.452464,0.305078,0.950893,-0.021164,0.047775,-0.118743,1.378408,0.404963,-0.213524,0.969429,-0.070288,0.098355,-0.12966,1.397828,0.376612,0.970662,-0.232347,0.046329,-0.041032,-0.154074,1.365717,0.407272,-0.23805,0.964279,0.095097,0.066749,-0.164556,1.404207,0.413413,0.8317,0.543302,0.090442,0.070137,-0.156715,1.386251,0.369431,0.958893,-0.203314,-0.044024,0.193002,-0.157212,1.375336,0.426155,0.235804,0.967935,0.061865,0.060587,-0.151616,1.375551,0.38645,-0.23805,0.964279,0.095097,0.066749,-0.13885,1.364259,0.41753,-0.231315,0.967613,0.039232,0.093166,-0.144466,1.414136,0.418772,0.874632,0.483152,-0.007457,0.039092,-0.148046,1.388919,0.367857,0.970662,-0.232347,0.046329,-0.041032,-0.143449,1.379351,0.440695,0.283518,0.955422,0.02062,0.079755,-0.134755,1.374413,0.394263,-0.231315,0.967613,0.039232,0.093166,-0.048927,1.379359,0.41442,0.606027,-0.363058,0.350477,-0.614887,-0.100704,1.375284,0.3679,0.646074,-0.275675,0.286723,-0.651446,-0.075683,1.374688,0.391341,0.709503,-0.314341,0.278267,-0.566007,-0.025796,1.380279,0.426188,0.606027,-0.363058,0.350477,-0.614887,89,-0.135984,1.376552,0.33129,0.970662,-0.232347,0.046329,-0.041032,34,Nummer10,Dynamic,Left
8,9,0.003528,1.548054,0.031199,0.993214,0.067594,-0.07443,-0.058464,-0.099086,1.370889,0.430671,-0.235379,0.967656,-0.089465,0.015321,-0.093369,1.412229,0.421736,0.929577,0.357784,-0.017407,-0.087033,-0.104083,1.382681,0.366871,0.970318,-0.233772,0.04817,-0.038917,-0.097154,1.385742,0.451473,0.306538,0.94903,-0.071409,-0.016635,-0.097879,1.380681,0.409217,-0.235379,0.967656,-0.089465,0.015321,-0.11658,1.368547,0.428047,-0.210535,0.970422,-0.069055,0.095857,-0.115985,1.418789,0.420839,0.915632,0.400246,-0.036976,0.007373,-0.121215,1.384801,0.36538,0.970318,-0.233772,0.04817,-0.038917,-0.118784,1.38558,0.451485,0.307518,0.950242,-0.018845,0.046015,-0.111344,1.377933,0.403977,-0.210535,0.970422,-0.069055,0.095857,-0.12245,1.397375,0.375602,0.970318,-0.233772,0.04817,-0.038917,-0.1466,1.365266,0.40654,-0.237073,0.964563,0.096498,0.06406,-0.157194,1.403732,0.412549,0.832659,0.541327,0.093268,0.07032,-0.149499,1.385689,0.368578,0.958406,-0.204021,-0.04186,0.195144,-0.149695,1.374948,0.425398,0.23748,0.967476,0.06423,0.058885,-0.14427,1.375053,0.38568,-0.237073,0.964563,0.096498,0.06406,-0.131331,1.363845,0.41672,-0.228971,0.968357,0.040538,0.090634,-0.137113,1.413742,0.417789,0.875423,0.481716,-0.004643,0.039544,-0.140847,1.388382,0.366956,0.970318,-0.233772,0.04817,-0.038917,-0.13588,1.379038,0.439828,0.285737,0.954842,0.022975,0.078122,-0.127367,1.373889,0.393382,-0.228971,0.968357,0.040538,0.090634,-0.041512,1.379173,0.413128,0.605425,-0.365545,0.350917,-0.613756,-0.09347,1.374894,0.366829,0.645904,-0.277905,0.287045,-0.650524,-0.068355,1.374398,0.390173,0.70918,-0.316561,0.278847,-0.564887,-0.018326,1.380165,0.424783,0.605425,-0.365545,0.350917,-0.613756,100,-0.128915,1.375961,0.330364,0.970318,-0.233772,0.04817,-0.038917,34,Nummer10,Dynamic,Left
9,10,0.003499,1.54809,0.031036,0.993194,0.067408,-0.074857,-0.058464,-0.091733,1.370667,0.429731,-0.232483,0.968471,-0.088623,0.012698,-0.086179,1.412008,0.420608,0.930383,0.355928,-0.014767,-0.086511,-0.097073,1.38228,0.36588,0.96995,-0.235197,0.050086,-0.037029,-0.089741,1.385617,0.450457,0.308826,0.948413,-0.06929,-0.018403,-0.090667,1.380343,0.408217,-0.232483,0.968471,-0.088623,0.012698,-0.10924,1.368228,0.427199,-0.207456,0.971397,-0.068061,0.093372,-0.108818,1.418501,0.419802,0.916306,0.398942,-0.03418,0.007738,-0.114218,1.384351,0.364463,0.96995,-0.235197,0.050086,-0.037029,-0.111375,1.385376,0.45056,0.309958,0.949577,-0.016745,0.044147,-0.104149,1.377476,0.403046,-0.207456,0.971397,-0.068061,0.093372,-0.115436,1.39695,0.374651,0.96995,-0.235197,0.050086,-0.037029,-0.139338,1.364855,0.405878,-0.236025,0.964885,0.097622,0.061312,-0.150022,1.403304,0.411747,0.833709,0.539237,0.096039,0.070209,-0.142484,1.385169,0.367786,0.957954,-0.204746,-0.039624,0.19706,-0.14238,1.374608,0.424707,0.23932,0.966991,0.066366,0.057012,-0.137136,1.374589,0.38498,-0.236025,0.964885,0.097622,0.061312,-0.124022,1.36346,0.415989,-0.226233,0.969185,0.04161,0.088137,-0.129945,1.413386,0.416865,0.876298,0.480122,-0.001917,0.039759,-0.133847,1.387881,0.366116,0.96995,-0.235197,0.050086,-0.037029,-0.128513,1.37877,0.439032,0.288258,0.954171,0.025105,0.076387,-0.120184,1.373372,0.392574,-0.226233,0.969185,0.04161,0.088137,-0.034304,1.378949,0.411899,0.604563,-0.367895,0.351625,-0.612794,-0.086442,1.374517,0.365817,0.645499,-0.279965,0.287543,-0.649823,-0.061235,1.374096,0.389063,0.708676,-0.318564,0.279575,-0.564033,-0.011061,1.379992,0.423434,0.604563,-0.367895,0.351625,-0.612794,111,-0.122054,1.3754,0.329501,0.96995,-0.235197,0.050086,-0.037029,34,Nummer10,Dynamic,Left
