Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;69007;1;-0.063607;1.590931;0.029690;0.968054;0.236010;0.059504;0.060245;0.203681;1.616899;0.302334;0.563438;0.818386;0.037772;0.106562;0.212563;1.608890;0.261438;0.907311;-0.402180;-0.105178;0.063044;0.228671;1.550171;0.265347;0.724124;-0.676181;-0.135053;-0.013577;0.203041;1.637133;0.287231;0.887209;0.446518;-0.040489;0.108821;0.208962;1.595322;0.295408;0.563438;0.818386;0.037772;0.106562;0.223391;1.627025;0.306696;0.625426;0.779022;-0.038375;0.022228;0.235477;1.612652;0.261433;0.889332;-0.442103;-0.115732;-0.015498;0.246017;1.551012;0.265356;0.724124;-0.676181;-0.135053;-0.013577;0.226905;1.647893;0.287411;0.912095;0.392107;-0.097285;0.069789;0.223260;1.601435;0.302250;0.625426;0.779022;-0.038375;0.022228;0.245416;1.564058;0.257896;0.724124;-0.676181;-0.135053;-0.013577;0.256215;1.614378;0.313991;0.686050;0.660435;-0.302571;0.040141;0.273218;1.599762;0.280009;0.881875;-0.412728;-0.176649;-0.144038;0.270120;1.553332;0.270762;0.729507;-0.611445;-0.169354;-0.255487;0.267067;1.624627;0.299066;0.921093;0.283563;-0.256997;-0.071638;0.247182;1.593424;0.313723;0.686050;0.660435;-0.302571;0.040141;2023/04/28 12:23:26.2851;0.239565;1.624074;0.312349;0.646266;0.741561;-0.167341;0.066513;0.255129;1.608447;0.269387;0.883107;-0.444997;-0.129293;-0.073376;0.262693;1.552994;0.265566;0.724124;-0.676181;-0.135053;-0.013577;0.248521;1.641068;0.292509;0.926815;0.329044;-0.180322;0.015116;0.236283;1.599054;0.310059;0.646266;0.741561;-0.167341;0.066513;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.201718;1.592640;0.317200;0.661924;0.049406;0.564088;0.491143;0.219103;1.547509;0.273503;0.473655;-0.421108;0.090243;0.768229;0.200130;1.565673;0.294758;0.639546;-0.281944;0.317809;0.640692;0.221326;1.606168;0.326543;0.661924;0.049406;0.564088;0.491143;10;0.255356;1.515463;0.254360;0.724124;-0.676181;-0.135053;-0.013577
NA;69008;2;-0.063490;1.591186;0.029712;0.968279;0.235081;0.059775;0.060004;0.203287;1.617426;0.302776;0.565484;0.817044;0.041032;0.104802;0.211946;1.609175;0.261893;0.906168;-0.404896;-0.102845;0.065891;0.228304;1.550530;0.265891;0.723415;-0.677218;-0.133992;-0.009679;0.202496;1.637564;0.287551;0.888550;0.444142;-0.036818;0.108910;0.208591;1.595827;0.295941;0.565484;0.817044;0.041032;0.104802;0.222994;1.627746;0.306950;0.628747;0.776533;-0.035190;0.020882;0.234844;1.613026;0.261723;0.887880;-0.445637;-0.113690;-0.012305;0.245646;1.551438;0.265784;0.723415;-0.677218;-0.133992;-0.009679;0.226327;1.648455;0.287462;0.913991;0.388481;-0.093583;0.070319;0.222911;1.602119;0.302718;0.628747;0.776533;-0.035190;0.020882;0.244951;1.564459;0.258289;0.723415;-0.677218;-0.133992;-0.009679;0.255915;1.615052;0.314144;0.688572;0.659534;-0.298800;0.040034;0.272758;1.600348;0.280091;0.881939;-0.414572;-0.174943;-0.140389;0.269782;1.553875;0.271027;0.729498;-0.613228;-0.168570;-0.251731;0.266623;1.625263;0.299089;0.922867;0.281348;-0.253444;-0.070191;0.246965;1.594061;0.314038;0.688572;0.659534;-0.298800;0.040034;2023/04/28 12:23:26.2963;0.239238;1.624871;0.312536;0.650159;0.738984;-0.164051;0.065445;0.254565;1.608926;0.269560;0.881955;-0.448373;-0.127225;-0.070216;0.262321;1.553490;0.265882;0.723415;-0.677218;-0.133992;-0.009679;0.248022;1.641702;0.292480;0.928903;0.325036;-0.176751;0.015809;0.235994;1.599825;0.310498;0.650159;0.738984;-0.164051;0.065445;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.201515;1.593054;0.317763;0.659209;0.049309;0.567496;0.490877;0.218795;1.547855;0.274112;0.471014;-0.419768;0.092008;0.770374;0.199870;1.566007;0.295421;0.636860;-0.281386;0.320537;0.642252;0.221155;1.606668;0.326910;0.659209;0.049309;0.567496;0.490877;21;0.255057;1.515892;0.254855;0.723415;-0.677218;-0.133992;-0.009679
NA;69009;3;-0.063259;1.591595;0.029924;0.968621;0.233625;0.060279;0.059665;0.202885;1.617920;0.303199;0.567472;0.815712;0.043975;0.103228;0.211347;1.609431;0.262334;0.905029;-0.407532;-0.100756;0.068466;0.227941;1.550857;0.266404;0.722794;-0.678101;-0.133081;-0.006081;0.201959;1.637963;0.287857;0.889840;0.441789;-0.033515;0.109009;0.208210;1.596297;0.296454;0.567472;0.815712;0.043975;0.103228;0.222585;1.628440;0.307198;0.632129;0.773938;-0.032329;0.019708;0.234229;1.613367;0.262013;0.886371;-0.449156;-0.111884;-0.009368;0.245278;1.551829;0.266193;0.722794;-0.678101;-0.133081;-0.006081;0.225756;1.648983;0.287508;0.915875;0.384720;-0.090236;0.070855;0.222547;1.602778;0.303186;0.632129;0.773938;-0.032329;0.019708;0.244496;1.564827;0.258667;0.722794;-0.678101;-0.133081;-0.006081;0.255597;1.615679;0.314309;0.691012;0.658564;-0.295288;0.040023;0.272300;1.600887;0.280191;0.881970;-0.416279;-0.173455;-0.136943;0.269442;1.554375;0.271287;0.729530;-0.614789;-0.167892;-0.248261;0.266172;1.625847;0.299132;0.924543;0.279115;-0.250171;-0.068771;0.246728;1.594653;0.314359;0.691012;0.658564;-0.295288;0.040023;2023/04/28 12:23:26.3080;0.238897;1.625639;0.312725;0.654100;0.736238;-0.161079;0.064507;0.254012;1.609364;0.269744;0.880733;-0.451732;-0.125367;-0.067314;0.261952;1.553946;0.266188;0.722794;-0.678101;-0.133081;-0.006081;0.247527;1.642296;0.292457;0.930950;0.320864;-0.173515;0.016462;0.235686;1.600569;0.310944;0.654100;0.736238;-0.161079;0.064507;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.201296;1.593418;0.318296;0.656688;0.049277;0.570598;0.490664;0.218486;1.548168;0.274682;0.468554;-0.418543;0.093497;0.772358;0.199600;1.566301;0.296043;0.634391;-0.280819;0.322987;0.643714;0.220963;1.607110;0.327265;0.656688;0.049277;0.570598;0.490664;33;0.254763;1.516288;0.255320;0.722794;-0.678101;-0.133081;-0.006081
NA;69010;4;-0.063028;1.591914;0.030074;0.968991;0.232038;0.060869;0.059250;0.202520;1.618368;0.303565;0.569376;0.814419;0.046427;0.101870;0.210818;1.609651;0.262725;0.903918;-0.410065;-0.098973;0.070602;0.227617;1.551138;0.266852;0.722265;-0.678835;-0.132318;-0.002973;0.201483;1.638321;0.288113;0.891067;0.439500;-0.030746;0.109061;0.207862;1.596722;0.296908;0.569376;0.814419;0.046427;0.101870;0.222212;1.629087;0.307409;0.635485;0.771304;-0.029961;0.018722;0.233685;1.613660;0.262276;0.884828;-0.452606;-0.110364;-0.006863;0.244949;1.552166;0.266552;0.722265;-0.678835;-0.132318;-0.002973;0.225249;1.649461;0.287523;0.917706;0.380905;-0.087408;0.071323;0.222210;1.603392;0.303616;0.635485;0.771304;-0.029961;0.018722;0.244093;1.565146;0.259001;0.722265;-0.678835;-0.132318;-0.002973;0.255304;1.616231;0.314462;0.693279;0.657545;-0.292219;0.040084;0.271890;1.601351;0.280288;0.881954;-0.417813;-0.172231;-0.133890;0.269138;1.554807;0.271519;0.729568;-0.616102;-0.167322;-0.245259;0.265763;1.626353;0.299173;0.926060;0.276919;-0.247335;-0.067482;0.246507;1.595177;0.314658;0.693279;0.657545;-0.292219;0.040084;2023/04/28 12:23:26.3182;0.238588;1.626353;0.312887;0.657989;0.733375;-0.158599;0.063702;0.253521;1.609742;0.269914;0.879455;-0.455011;-0.123770;-0.064849;0.261623;1.554341;0.266460;0.722265;-0.678835;-0.132318;-0.002973;0.247090;1.642827;0.292418;0.932901;0.316614;-0.170771;0.016990;0.235397;1.601263;0.311362;0.657989;0.733375;-0.158599;0.063702;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.201093;1.593724;0.318760;0.654504;0.049337;0.573290;0.490438;0.218208;1.548437;0.275178;0.466407;-0.417508;0.094691;0.774071;0.199352;1.566550;0.296582;0.632276;-0.280275;0.325096;0.644970;0.220787;1.607480;0.327573;0.654504;0.049337;0.573290;0.490438;43;0.254500;1.516631;0.255727;0.722265;-0.678835;-0.132318;-0.002973
NA;69011;5;-0.062393;1.592431;0.030519;0.969261;0.230845;0.061660;0.058669;0.202066;1.618237;0.304043;0.570649;0.813543;0.046920;0.101520;0.210328;1.609426;0.263203;0.903508;-0.410994;-0.098511;0.071080;0.227180;1.550918;0.267230;0.722696;-0.678437;-0.132018;-0.002089;0.201009;1.638147;0.288538;0.891654;0.438361;-0.030125;0.109024;0.207407;1.596571;0.297450;0.570649;0.813543;0.046920;0.101520;0.221789;1.628802;0.307908;0.634999;0.771749;-0.029148;0.018190;0.233191;1.613458;0.262717;0.885348;-0.451761;-0.109690;-0.006221;0.244508;1.551962;0.266907;0.722696;-0.678437;-0.132018;-0.002089;0.224777;1.649206;0.288046;0.917489;0.381660;-0.086490;0.071199;0.221796;1.603111;0.304081;0.634999;0.771749;-0.029148;0.018190;0.243640;1.564957;0.259379;0.722696;-0.678437;-0.132018;-0.002089;0.254907;1.615934;0.314871;0.692137;0.659127;-0.291444;0.039496;0.271439;1.601169;0.280651;0.882622;-0.416867;-0.171393;-0.133510;0.268717;1.554631;0.271844;0.730119;-0.615896;-0.166873;-0.244443;0.265334;1.626124;0.299606;0.925748;0.278741;-0.246415;-0.067631;0.246136;1.594868;0.314995;0.692137;0.659127;-0.291444;0.039496;2023/04/28 12:23:26.3299;0.238176;1.626003;0.313359;0.656662;0.734809;-0.157680;0.063149;0.253044;1.609552;0.270317;0.880298;-0.453659;-0.123083;-0.064191;0.261194;1.554162;0.266798;0.722696;-0.678437;-0.132018;-0.002089;0.246622;1.642561;0.292935;0.932466;0.318429;-0.169777;0.016937;0.235013;1.600915;0.311742;0.656662;0.734809;-0.157680;0.063149;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.200532;1.593403;0.319192;0.654003;0.048687;0.572827;0.491711;0.217774;1.548193;0.275553;0.465930;-0.417257;0.093954;0.774583;0.198891;1.566249;0.296980;0.631625;-0.280682;0.324032;0.645965;0.220179;1.607206;0.328036;0.654003;0.048687;0.572827;0.491711;54;0.254089;1.516455;0.256042;0.722696;-0.678437;-0.132018;-0.002089
NA;69012;6;-0.061969;1.592631;0.030461;0.969318;0.230518;0.062433;0.058188;0.201089;1.618431;0.303670;0.573490;0.811151;0.045446;0.105258;0.209709;1.609418;0.262918;0.902034;-0.413384;-0.102406;0.070437;0.226638;1.550946;0.267165;0.721571;-0.678959;-0.135409;-0.003753;0.200131;1.638245;0.288036;0.892766;0.435200;-0.033195;0.111663;0.206518;1.596729;0.297269;0.573490;0.811151;0.045446;0.105258;0.220795;1.628895;0.307687;0.635647;0.771062;-0.030751;0.021704;0.232566;1.613496;0.262595;0.884597;-0.452299;-0.113435;-0.006911;0.243966;1.552025;0.266975;0.721571;-0.678959;-0.135409;-0.003753;0.223892;1.649265;0.287806;0.917479;0.380542;-0.089466;0.073590;0.220880;1.603197;0.303912;0.635647;0.771062;-0.030751;0.021704;0.243139;1.565010;0.259426;0.721571;-0.678959;-0.135409;-0.003753;0.253916;1.616148;0.314907;0.691794;0.658335;-0.293623;0.042454;0.270705;1.601319;0.280836;0.881602;-0.417272;-0.174867;-0.134473;0.268144;1.554759;0.272096;0.729170;-0.615486;-0.170452;-0.245832;0.264444;1.626310;0.299693;0.925216;0.277975;-0.249693;-0.066023;0.245160;1.595076;0.315014;0.691794;0.658335;-0.293623;0.042454;2023/04/28 12:23:26.3411;0.237148;1.626162;0.313272;0.657097;0.733734;-0.159471;0.066535;0.252369;1.609645;0.270350;0.879532;-0.454006;-0.126817;-0.064960;0.260659;1.554266;0.266995;0.721571;-0.678959;-0.135409;-0.003753;0.245719;1.642678;0.292866;0.932249;0.317241;-0.172940;0.019029;0.234033;1.601065;0.311705;0.657097;0.733734;-0.159471;0.066535;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.199400;1.593465;0.318798;0.655991;0.044981;0.570418;0.492216;0.217166;1.548211;0.275410;0.464908;-0.421344;0.092107;0.773205;0.198044;1.566261;0.296629;0.631900;-0.284787;0.321355;0.645237;0.218929;1.607339;0.327792;0.655991;0.044981;0.570418;0.492216;66;0.253712;1.516524;0.256257;0.721571;-0.678959;-0.135409;-0.003753
NA;69013;7;-0.061683;1.592658;0.030483;0.969344;0.230208;0.063528;0.057797;0.200156;1.618621;0.303347;0.576265;0.808797;0.044137;0.108707;0.209105;1.609411;0.262678;0.900600;-0.415691;-0.105987;0.069914;0.226116;1.550975;0.267125;0.720538;-0.679413;-0.138547;-0.005185;0.199290;1.638340;0.287586;0.893852;0.432098;-0.035979;0.114129;0.205667;1.596887;0.297132;0.576265;0.808797;0.044137;0.108707;0.219847;1.628996;0.307500;0.636359;0.770319;-0.032154;0.024949;0.231956;1.613536;0.262502;0.883849;-0.452875;-0.116875;-0.007451;0.243441;1.552089;0.267055;0.720538;-0.679413;-0.138547;-0.005185;0.223040;1.649328;0.287596;0.917519;0.379365;-0.092136;0.075841;0.220006;1.603290;0.303783;0.636359;0.770319;-0.032154;0.024949;0.242650;1.565067;0.259487;0.720538;-0.679413;-0.138547;-0.005185;0.252975;1.616365;0.314955;0.691614;0.657477;-0.295560;0.045156;0.269996;1.601469;0.281021;0.880636;-0.417716;-0.178023;-0.135288;0.267589;1.554889;0.272343;0.728323;-0.615094;-0.173754;-0.247011;0.263594;1.626495;0.299783;0.924787;0.277092;-0.252633;-0.064539;0.244233;1.595287;0.315057;0.691614;0.657477;-0.295560;0.045156;2023/04/28 12:23:26.3523;0.236170;1.626332;0.313209;0.657718;0.732540;-0.161066;0.069644;0.251715;1.609739;0.270397;0.878764;-0.454435;-0.130235;-0.065584;0.260141;1.554371;0.267192;0.720538;-0.679413;-0.138547;-0.005185;0.244854;1.642799;0.292811;0.932133;0.315892;-0.175787;0.020978;0.233097;1.601226;0.311703;0.657718;0.732540;-0.161066;0.069644;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.198331;1.593518;0.318449;0.657756;0.041546;0.568221;0.492703;0.216584;1.548228;0.275296;0.463876;-0.425111;0.090366;0.771967;0.197239;1.566269;0.296321;0.632082;-0.288570;0.318886;0.644602;0.217748;1.607461;0.327578;0.657756;0.041546;0.568221;0.492703;77;0.253344;1.516598;0.256471;0.720538;-0.679413;-0.138547;-0.005185
NA;69014;8;-0.061341;1.592797;0.030482;0.969326;0.230213;0.064406;0.057102;0.199993;1.618774;0.304568;0.575981;0.809277;0.044661;0.106403;0.208745;1.609583;0.263838;0.901118;-0.415144;-0.103629;0.070024;0.225710;1.551117;0.268045;0.721840;-0.678488;-0.136322;-0.004163;0.199092;1.638501;0.288822;0.893924;0.432541;-0.034421;0.112354;0.205436;1.597033;0.298315;0.575981;0.809277;0.044661;0.106403;0.219737;1.629134;0.308629;0.636130;0.770615;-0.031434;0.022442;0.231600;1.613679;0.263561;0.884275;-0.452703;-0.114300;-0.007322;0.243036;1.552210;0.267889;0.721840;-0.678488;-0.136322;-0.004163;0.222877;1.649471;0.288722;0.917694;0.379739;-0.090368;0.073958;0.219825;1.603431;0.304889;0.636130;0.770615;-0.031434;0.022442;0.242216;1.565205;0.260356;0.721840;-0.678488;-0.136322;-0.004163;0.252848;1.616246;0.315926;0.690424;0.659566;-0.293973;0.043217;0.269715;1.601511;0.281858;0.881957;-0.416094;-0.175756;-0.134637;0.267206;1.554959;0.273059;0.729466;-0.614779;-0.171208;-0.246201;0.263395;1.626454;0.300757;0.924675;0.279271;-0.250370;-0.065567;0.244122;1.595160;0.315950;0.690424;0.659566;-0.293973;0.043217;2023/04/28 12:23:26.3641;0.236074;1.626330;0.314290;0.657254;0.733422;-0.159965;0.067239;0.251392;1.609834;0.271348;0.879698;-0.453403;-0.127737;-0.065119;0.259731;1.554466;0.267944;0.721840;-0.678488;-0.136322;-0.004163;0.244678;1.642837;0.293890;0.932186;0.316989;-0.173697;0.019422;0.232964;1.601232;0.312738;0.657254;0.733422;-0.159965;0.067239;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.198331;1.593505;0.319720;0.656036;0.045537;0.569965;0.492630;0.216222;1.548363;0.276265;0.464893;-0.421504;0.090683;0.773296;0.197044;1.566344;0.297493;0.632002;-0.284830;0.320031;0.645776;0.217861;1.607360;0.328739;0.656036;0.045537;0.569965;0.492630;88;0.252833;1.516731;0.257150;0.721840;-0.678488;-0.136322;-0.004163
NA;69015;9;-0.061015;1.592881;0.030587;0.969418;0.229797;0.065444;0.056019;0.199632;1.618927;0.304758;0.574631;0.810158;0.043641;0.107419;0.208485;1.609881;0.264011;0.901764;-0.413573;-0.104826;0.069211;0.225405;1.551392;0.268075;0.722739;-0.677373;-0.137058;-0.005459;0.198776;1.638709;0.289077;0.893147;0.433938;-0.035802;0.112715;0.205085;1.597207;0.298441;0.574631;0.810158;0.043641;0.107419;0.219375;1.629241;0.308898;0.634193;0.772148;-0.032385;0.023200;0.231342;1.613965;0.263806;0.885022;-0.450971;-0.115291;-0.008312;0.242732;1.552475;0.267967;0.722739;-0.677373;-0.137058;-0.005459;0.222573;1.649662;0.289086;0.916790;0.381570;-0.091737;0.074062;0.219465;1.603557;0.305032;0.634193;0.772148;-0.032385;0.023200;0.241940;1.565496;0.260473;0.722739;-0.677373;-0.137058;-0.005459;0.252462;1.616372;0.316234;0.689209;0.660290;-0.295182;0.043311;0.269403;1.601717;0.282162;0.882286;-0.414710;-0.176500;-0.135777;0.266891;1.555195;0.273209;0.730150;-0.613349;-0.171587;-0.247472;0.263055;1.626611;0.301117;0.923966;0.280462;-0.251544;-0.065989;0.243716;1.595295;0.316180;0.689209;0.660290;-0.295182;0.043311;2023/04/28 12:23:26.3743;0.235694;1.626458;0.314597;0.655903;0.734322;-0.161195;0.067661;0.251112;1.610084;0.271631;0.880270;-0.451888;-0.128587;-0.066231;0.259429;1.554722;0.268073;0.722739;-0.677373;-0.137058;-0.005459;0.244364;1.643017;0.294266;0.931517;0.318229;-0.175041;0.019159;0.232568;1.601368;0.312957;0.655903;0.734322;-0.161195;0.067661;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.197941;1.593622;0.319817;0.656785;0.046999;0.568935;0.492684;0.215893;1.548617;0.276260;0.465883;-0.421707;0.088891;0.772797;0.196669;1.566536;0.297498;0.633136;-0.284255;0.318495;0.645678;0.217497;1.607404;0.328892;0.656785;0.046999;0.568935;0.492684;99;0.252538;1.517026;0.257141;0.722739;-0.677373;-0.137058;-0.005459
NA;69016;10;-0.060659;1.592953;0.030629;0.969573;0.229158;0.066498;0.054711;0.199260;1.619059;0.304945;0.573267;0.811034;0.042791;0.108431;0.208207;1.610159;0.264181;0.902396;-0.412004;-0.105988;0.068562;0.225095;1.551652;0.268113;0.723560;-0.676333;-0.137806;-0.006614;0.198440;1.638895;0.289330;0.892358;0.435340;-0.037032;0.113155;0.204728;1.597362;0.298566;0.573267;0.811034;0.042791;0.108431;0.218998;1.629332;0.309161;0.632240;0.773691;-0.033168;0.023984;0.231067;1.614236;0.264044;0.885763;-0.449247;-0.116270;-0.009138;0.242423;1.552729;0.268052;0.723560;-0.676333;-0.137806;-0.006614;0.222244;1.649835;0.289443;0.915883;0.383404;-0.092973;0.074266;0.219096;1.603667;0.305168;0.632240;0.773691;-0.033168;0.023984;0.241655;1.565772;0.260596;0.723560;-0.676333;-0.137806;-0.006614;0.252070;1.616513;0.316531;0.688255;0.660776;-0.296306;0.043400;0.269079;1.601920;0.282457;0.882532;-0.413546;-0.177195;-0.136817;0.266572;1.555425;0.273362;0.730792;-0.612010;-0.172001;-0.248601;0.262706;1.626773;0.301458;0.923369;0.281355;-0.252632;-0.066378;0.243303;1.595444;0.316416;0.688255;0.660776;-0.296306;0.043400;2023/04/28 12:23:26.3859;0.235302;1.626590;0.314894;0.654688;0.735120;-0.162311;0.068098;0.250816;1.610325;0.271906;0.880780;-0.450512;-0.129411;-0.067222;0.259122;1.554970;0.268206;0.723560;-0.676333;-0.137806;-0.006614;0.244032;1.643192;0.294625;0.930919;0.319301;-0.176286;0.018961;0.232164;1.601506;0.313175;0.654688;0.735120;-0.162311;0.068098;21bb70c4-358d-41f1-89ea-52f9b694cfca;0.197542;1.593734;0.319908;0.657490;0.048342;0.568025;0.492665;0.215561;1.548855;0.276266;0.466721;-0.422003;0.087190;0.772323;0.196286;1.566716;0.297506;0.634170;-0.283783;0.317078;0.645568;0.217124;1.607447;0.329031;0.657490;0.048342;0.568025;0.492665;110;0.252243;1.517309;0.257147;0.723560;-0.676333;-0.137806;-0.006614
