,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.028764,3.18786,0.093707,0.979363,0.200396,0.004274,0.025914,0.075747,3.063609,0.472233,-0.547376,-0.743928,-0.291799,-0.248604,0.067769,3.079145,0.423577,-0.918321,0.050341,0.071819,-0.385998,0.1149,3.051314,0.399135,-0.812082,0.412905,0.282053,-0.300797,0.061171,3.080575,0.461619,-0.777356,-0.509573,-0.161201,-0.331766,0.091833,3.048332,0.466936,-0.547376,-0.743928,-0.291799,-0.248604,0.092395,3.073586,0.468082,-0.322404,-0.882131,-0.329126,-0.09786,0.08145,3.097332,0.423975,-0.938929,0.006824,0.074302,-0.335925,0.126539,3.063646,0.39882,-0.812082,0.412905,0.282053,-0.300797,0.075148,3.095709,0.467218,-0.662878,-0.671271,-0.184357,-0.275682,0.103023,3.060294,0.449146,-0.322404,-0.882131,-0.329126,-0.09786,0.116118,3.07418,0.398716,-0.812082,0.412905,0.282053,-0.300797,0.113098,3.142146,0.471996,-0.94778,0.298861,0.090421,-0.064955,0.121855,3.109876,0.432335,-0.925808,0.357421,0.071712,-0.099944,0.144178,3.080732,0.403786,-0.89555,0.368658,0.239047,-0.07027,0.115464,3.130138,0.455312,-0.94909,0.308012,0.044378,-0.04886,0.108073,3.155498,0.489224,-0.94778,0.298861,0.090421,-0.064955,0.104577,3.082808,0.472657,-0.400115,-0.893677,-0.172505,-0.107197,0.100394,3.105947,0.427946,-0.961178,0.034627,0.078333,-0.262302,0.137404,3.076864,0.399519,-0.812082,0.412905,0.282053,-0.300797,0.09369,3.106959,0.467088,-0.748067,-0.622895,-0.095606,-0.207982,0.113351,3.065089,0.457627,-0.400115,-0.893677,-0.172505,-0.107197,0.069087,3.051,0.452045,-0.41731,0.231257,-0.148972,-0.866129,0.11222,3.040352,0.404764,-0.272714,0.399272,0.171334,-0.858402,0.086421,3.037823,0.425381,-0.447522,0.331721,-0.051796,-0.828857,0.060966,3.06211,0.473014,-0.41731,0.231257,-0.148972,-0.866129,12,0.150786,3.051029,0.373457,-0.812082,0.412905,0.282053,-0.300797,29,J,Dynamic,Right
1,2,0.029161,3.187812,0.093879,0.979445,0.200038,0.004707,0.025504,0.075441,3.063554,0.471787,-0.545101,-0.746553,-0.290253,-0.247542,0.067465,3.079364,0.423246,-0.919251,0.048082,0.072177,-0.384,0.114485,3.051464,0.39866,-0.813506,0.411638,0.281996,-0.298733,0.060911,3.080638,0.461301,-0.776356,-0.512472,-0.160002,-0.330217,0.091455,3.048249,0.466352,-0.545101,-0.746553,-0.290253,-0.247542,0.092012,3.073574,0.46782,-0.322813,-0.882797,-0.326718,-0.098569,0.08121,3.0975,0.423724,-0.939579,0.005706,0.075226,-0.333917,0.126171,3.063751,0.398408,-0.813506,0.411638,0.281996,-0.298733,0.074862,3.095772,0.466956,-0.663115,-0.671911,-0.18203,-0.2751,0.102638,3.060249,0.448906,-0.322813,-0.882797,-0.326718,-0.098569,0.115797,3.074337,0.398365,-0.813506,0.411638,0.281996,-0.298733,0.113026,3.142123,0.47184,-0.94792,0.298988,0.089962,-0.062931,0.121659,3.109865,0.43214,-0.926295,0.356819,0.07114,-0.097961,0.143879,3.080768,0.403465,-0.89647,0.367128,0.238567,-0.068154,0.115346,3.130116,0.455149,-0.949273,0.307829,0.043885,-0.046857,0.10805,3.155493,0.489068,-0.94792,0.298988,0.089962,-0.062931,0.104208,3.082788,0.472441,-0.400498,-0.89395,-0.170104,-0.107327,0.100184,3.106031,0.427733,-0.961703,0.033958,0.079127,-0.260218,0.137092,3.076942,0.399181,-0.813506,0.411638,0.281996,-0.298733,0.093436,3.10699,0.466869,-0.748369,-0.623181,-0.093481,-0.207006,0.112939,3.065033,0.457428,-0.400498,-0.89395,-0.170104,-0.107327,0.068495,3.051068,0.451401,-0.420082,0.231631,-0.145754,-0.865237,0.111754,3.040478,0.404217,-0.275605,0.400447,0.173188,-0.856557,0.085871,3.037961,0.424729,-0.450483,0.331923,-0.049357,-0.827319,0.060322,3.062079,0.472402,-0.420082,0.231631,-0.145754,-0.865237,24,0.150385,3.051173,0.373007,-0.813506,0.411638,0.281996,-0.298733,29,J,Dynamic,Right
2,3,0.02937,3.187696,0.094166,0.979503,0.199788,0.005557,0.025057,0.075167,3.063502,0.471379,-0.542829,-0.749095,-0.288894,-0.246444,0.067183,3.079569,0.42295,-0.920116,0.045952,0.072428,-0.382138,0.114099,3.051603,0.398228,-0.814809,0.410475,0.28192,-0.296846,0.060676,3.080697,0.461018,-0.775357,-0.515263,-0.15898,-0.32871,0.09111,3.048175,0.465805,-0.542829,-0.749095,-0.288894,-0.246444,0.091658,3.073569,0.467589,-0.323296,-0.883377,-0.324475,-0.099203,0.080987,3.097658,0.4235,-0.940179,0.004701,0.076041,-0.332052,0.125827,3.063848,0.398033,-0.814809,0.410475,0.28192,-0.296846,0.074598,3.095836,0.466723,-0.663381,-0.672456,-0.179891,-0.274531,0.102283,3.060208,0.4487,-0.323296,-0.883377,-0.324475,-0.099203,0.115499,3.074483,0.39805,-0.814809,0.410475,0.28192,-0.296846,0.11296,3.14211,0.471697,-0.948007,0.299236,0.089503,-0.061071,0.121475,3.109857,0.431966,-0.926726,0.356308,0.070575,-0.09614,0.143602,3.080802,0.403175,-0.897309,0.365729,0.238105,-0.06622,0.115238,3.130099,0.455003,-0.94941,0.307751,0.043394,-0.045013,0.108031,3.155501,0.488922,-0.948007,0.299236,0.089503,-0.061071,0.103868,3.082775,0.472248,-0.400867,-0.894194,-0.167894,-0.107399,0.099989,3.106111,0.427544,-0.962187,0.033361,0.079817,-0.258286,0.136802,3.077015,0.398876,-0.814809,0.410475,0.28192,-0.296846,0.093202,3.107023,0.466675,-0.748655,-0.623435,-0.091547,-0.206066,0.112557,3.064985,0.457252,-0.400867,-0.894194,-0.167894,-0.107399,0.067928,3.051132,0.450796,-0.422706,0.232112,-0.142639,-0.864349,0.111319,3.040594,0.403716,-0.278316,0.401656,0.174958,-0.854753,0.085351,3.038093,0.424122,-0.453276,0.332225,-0.046982,-0.825809,0.059699,3.062049,0.471825,-0.422706,0.232112,-0.142639,-0.864349,33,0.150011,3.051308,0.3726,-0.814809,0.410475,0.28192,-0.296846,29,J,Dynamic,Right
3,4,0.029734,3.187543,0.094154,0.979281,0.200869,0.006417,0.024887,0.074829,3.063038,0.472459,-0.540444,-0.750059,-0.2907,-0.246627,0.066604,3.079275,0.424128,-0.919667,0.043195,0.071542,-0.383704,0.113496,3.051589,0.399049,-0.815958,0.407328,0.281376,-0.298537,0.060239,3.080224,0.462225,-0.773407,-0.517201,-0.160691,-0.329428,0.090807,3.047788,0.46677,-0.540444,-0.750059,-0.2907,-0.246627,0.091235,3.073219,0.468727,-0.322539,-0.883161,-0.325864,-0.099037,0.080349,3.097408,0.424699,-0.939832,0.002643,0.074925,-0.33331,0.125182,3.063876,0.398856,-0.815958,0.407328,0.281376,-0.298537,0.074113,3.095441,0.467937,-0.662244,-0.673088,-0.181369,-0.274756,0.101865,3.059901,0.449809,-0.322539,-0.883161,-0.325864,-0.099037,0.114817,3.074473,0.398973,-0.815958,0.407328,0.281376,-0.298537,0.112414,3.141826,0.472888,-0.948408,0.298059,0.08778,-0.063076,0.120836,3.109705,0.433029,-0.927287,0.354567,0.069027,-0.098265,0.142922,3.080863,0.403994,-0.898637,0.363012,0.236734,-0.06805,0.114649,3.129859,0.456157,-0.94978,0.306536,0.041656,-0.047097,0.107528,3.15517,0.490162,-0.948408,0.298059,0.08778,-0.063076,0.103428,3.082489,0.473393,-0.401055,-0.893874,-0.169394,-0.107006,0.099341,3.105906,0.428692,-0.961991,0.031711,0.078512,-0.259622,0.136115,3.077075,0.399709,-0.815958,0.407328,0.281376,-0.298537,0.092686,3.106711,0.467848,-0.748241,-0.623607,-0.093216,-0.206303,0.112133,3.064705,0.4584,-0.401055,-0.893874,-0.169394,-0.107006,0.067615,3.050703,0.451864,-0.421325,0.228935,-0.141407,-0.866071,0.110781,3.040545,0.404499,-0.278158,0.398375,0.177026,-0.855913,0.084932,3.037848,0.425031,-0.452471,0.328912,-0.045766,-0.827643,0.059466,3.061492,0.472989,-0.421325,0.228935,-0.141407,-0.866071,45,0.149284,3.051538,0.373247,-0.815958,0.407328,0.281376,-0.298537,29,J,Dynamic,Right
4,5,0.030089,3.187563,0.094204,0.978999,0.202195,0.007172,0.025034,0.074502,3.062616,0.473456,-0.538245,-0.75096,-0.292298,-0.246807,0.066058,3.079013,0.425217,-0.919261,0.040642,0.070768,-0.385097,0.112922,3.051585,0.399805,-0.817059,0.404375,0.280845,-0.300036,0.059822,3.079794,0.463339,-0.771605,-0.519006,-0.162205,-0.330073,0.090509,3.047437,0.467662,-0.538245,-0.75096,-0.292298,-0.246807,0.09083,3.072901,0.469782,-0.32192,-0.882962,-0.327052,-0.098905,0.079751,3.097185,0.425809,-0.93953,0.000749,0.073915,-0.334395,0.124569,3.063908,0.399615,-0.817059,0.404375,0.280845,-0.300036,0.073655,3.095085,0.469061,-0.661242,-0.673653,-0.182652,-0.274935,0.101464,3.059619,0.450841,-0.32192,-0.882962,-0.327052,-0.098905,0.114172,3.074472,0.399825,-0.817059,0.404375,0.280845,-0.300036,0.11191,3.141564,0.473994,-0.948775,0.296979,0.086149,-0.064868,0.120238,3.109566,0.434015,-0.927821,0.352917,0.067552,-0.10017,0.14228,3.080925,0.40475,-0.899885,0.360453,0.235427,-0.069678,0.114102,3.129637,0.457229,-0.950123,0.3054,0.040009,-0.048965,0.107065,3.154866,0.491312,-0.948775,0.296979,0.086149,-0.064868,0.103008,3.08223,0.474457,-0.401339,-0.893543,-0.170686,-0.106651,0.098735,3.105723,0.429756,-0.961824,0.030187,0.077313,-0.260782,0.135465,3.077135,0.400479,-0.817059,0.404375,0.280845,-0.300036,0.092202,3.106428,0.468934,-0.747914,-0.623719,-0.094685,-0.206481,0.111727,3.064446,0.459472,-0.401339,-0.893543,-0.170686,-0.106651,0.06732,3.050312,0.452852,-0.420081,0.225872,-0.140299,-0.867658,0.110265,3.040508,0.405218,-0.278069,0.395255,0.178951,-0.856988,0.084531,3.03763,0.425869,-0.451763,0.325739,-0.04466,-0.829343,0.059253,3.060983,0.474068,-0.420081,0.225872,-0.140299,-0.867658,55,0.148593,3.051759,0.373841,-0.817059,0.404375,0.280845,-0.300036,29,J,Dynamic,Right
5,6,0.030379,3.187651,0.094306,0.978754,0.203293,0.008073,0.025429,0.07464,3.062825,0.473323,-0.539004,-0.751002,-0.291933,-0.24545,0.066226,3.079108,0.425057,-0.919689,0.042067,0.070118,-0.384038,0.113013,3.051485,0.399706,-0.816836,0.405902,0.279914,-0.299449,0.059995,3.080017,0.463177,-0.772533,-0.518453,-0.162215,-0.328764,0.090603,3.047599,0.467535,-0.539004,-0.751002,-0.291933,-0.24545,0.090986,3.073056,0.469678,-0.324426,-0.882549,-0.325849,-0.098378,0.079963,3.097249,0.425597,-0.939942,0.0021,0.073374,-0.333348,0.124692,3.063775,0.399486,-0.816836,0.405902,0.279914,-0.299449,0.07387,3.095282,0.468855,-0.663021,-0.672463,-0.182044,-0.273964,0.101613,3.059655,0.450818,-0.324426,-0.882549,-0.325849,-0.098378,0.114329,3.074377,0.399679,-0.816836,0.405902,0.279914,-0.299449,0.11228,3.14179,0.47358,-0.9482,0.29935,0.085254,-0.063543,0.12048,3.109555,0.433766,-0.927074,0.355452,0.066485,-0.098835,0.142453,3.080775,0.404584,-0.899445,0.362046,0.234885,-0.068925,0.114424,3.129769,0.456876,-0.949414,0.307933,0.039153,-0.047509,0.107488,3.15519,0.490838,-0.9482,0.29935,0.085254,-0.063543,0.103141,3.08244,0.474353,-0.404167,-0.892574,-0.169378,-0.106175,0.098968,3.105751,0.429519,-0.962099,0.032405,0.07702,-0.259583,0.135628,3.076989,0.400324,-0.816836,0.405902,0.279914,-0.299449,0.092413,3.10664,0.468689,-0.749927,-0.621747,-0.093876,-0.205492,0.111828,3.064545,0.459482,-0.404167,-0.892574,-0.169378,-0.106175,0.067263,3.050497,0.45261,-0.421431,0.227822,-0.140207,-0.866508,0.11032,3.040423,0.405133,-0.279011,0.397235,0.177669,-0.856032,0.084511,3.037691,0.42571,-0.453061,0.327459,-0.045465,-0.827912,0.059132,3.061215,0.473778,-0.421431,0.227822,-0.140207,-0.866508,66,0.148694,3.051504,0.37376,-0.816836,0.405902,0.279914,-0.299449,29,J,Dynamic,Right
6,7,0.030633,3.187863,0.09451,0.978579,0.204048,0.008977,0.025849,0.074783,3.062438,0.473177,-0.536701,-0.752315,-0.292691,-0.245573,0.066271,3.078869,0.425001,-0.919515,0.040288,0.07015,-0.384641,0.113081,3.051412,0.399509,-0.817366,0.404165,0.280348,-0.299948,0.060089,3.079646,0.463132,-0.771056,-0.52022,-0.162776,-0.329163,0.090756,3.047264,0.467278,-0.536701,-0.752315,-0.292691,-0.245573,0.091067,3.072732,0.469625,-0.324088,-0.882411,-0.326317,-0.099169,0.079976,3.097032,0.425585,-0.939686,0.000592,0.073507,-0.334046,0.124737,3.063724,0.399318,-0.817366,0.404165,0.280348,-0.299948,0.073918,3.094933,0.468842,-0.662199,-0.672922,-0.182294,-0.274659,0.101731,3.059365,0.450762,-0.324088,-0.882411,-0.326317,-0.099169,0.114356,3.074307,0.399557,-0.817366,0.404165,0.280348,-0.299948,0.112258,3.141612,0.473571,-0.948058,0.299657,0.085169,-0.064334,0.120479,3.109385,0.433753,-0.927041,0.355325,0.066434,-0.09963,0.142473,3.08074,0.404455,-0.90009,0.360335,0.234861,-0.06955,0.114408,3.129589,0.456869,-0.949345,0.308034,0.039064,-0.048306,0.107457,3.155019,0.49082,-0.948058,0.299657,0.085169,-0.064334,0.103164,3.082206,0.47435,-0.404499,-0.89229,-0.169703,-0.106769,0.098969,3.105557,0.429515,-0.961945,0.031837,0.077223,-0.260165,0.135651,3.076956,0.40019,-0.817366,0.404165,0.280348,-0.299948,0.092409,3.106394,0.468686,-0.749753,-0.62173,-0.094031,-0.20611,0.111884,3.06431,0.459499,-0.404499,-0.89229,-0.169703,-0.106769,0.067366,3.050206,0.452419,-0.421286,0.227051,-0.138847,-0.867,0.110411,3.040327,0.404899,-0.279114,0.396626,0.179284,-0.855944,0.084608,3.037495,0.42547,-0.453153,0.326552,-0.044249,-0.828287,0.059234,3.060851,0.473624,-0.421286,0.227051,-0.138847,-0.867,80,0.148736,3.051582,0.37353,-0.817366,0.404165,0.280348,-0.299948,29,J,Dynamic,Right
7,8,0.030821,3.187975,0.094743,0.978541,0.204169,0.009809,0.025998,0.074908,3.062069,0.47305,-0.534414,-0.75365,-0.293407,-0.245614,0.066298,3.078648,0.424963,-0.919372,0.038528,0.070143,-0.385164,0.113125,3.05135,0.399332,-0.817911,0.402463,0.280728,-0.300395,0.060168,3.079297,0.463105,-0.769606,-0.521996,-0.163325,-0.329473,0.090887,3.046946,0.467039,-0.534414,-0.75365,-0.293407,-0.245614,0.09113,3.072426,0.469591,-0.323778,-0.882292,-0.32672,-0.099915,0.079973,3.096832,0.425591,-0.939455,-0.00087,0.073623,-0.334669,0.124761,3.063681,0.399169,-0.817911,0.402463,0.280728,-0.300395,0.073949,3.094605,0.468847,-0.661412,-0.673381,-0.182508,-0.275287,0.101828,3.05909,0.450725,-0.323778,-0.882292,-0.32672,-0.099915,0.114363,3.074247,0.399454,-0.817911,0.402463,0.280728,-0.300395,0.112224,3.141449,0.473573,-0.947882,0.300075,0.085089,-0.065078,0.120464,3.109227,0.433755,-0.926994,0.355245,0.066378,-0.10038,0.142475,3.080712,0.404343,-0.900732,0.358661,0.234792,-0.070116,0.114381,3.129421,0.456876,-0.949257,0.308198,0.038976,-0.049057,0.107415,3.154867,0.490811,-0.947882,0.300075,0.085089,-0.065078,0.10317,3.081988,0.474364,-0.404882,-0.892002,-0.16996,-0.107318,0.098957,3.105375,0.429528,-0.96181,0.03132,0.077407,-0.26067,0.135655,3.07693,0.400072,-0.817911,0.402463,0.280728,-0.300395,0.092393,3.106166,0.4687,-0.749609,-0.621703,-0.094151,-0.206655,0.111921,3.064088,0.459536,-0.404882,-0.892002,-0.16996,-0.107318,0.06746,3.049939,0.45226,-0.421173,0.226137,-0.137694,-0.867477,0.110479,3.040243,0.404688,-0.279246,0.395931,0.180802,-0.855904,0.084686,3.037315,0.42526,-0.453258,0.325547,-0.043183,-0.828681,0.059337,3.060516,0.473502,-0.421173,0.226137,-0.137694,-0.867477,89,0.148753,3.051663,0.373318,-0.817911,0.402463,0.280728,-0.300395,29,J,Dynamic,Right
8,9,0.030971,3.188081,0.094973,0.978563,0.204048,0.010556,0.02584,0.07483,3.062207,0.473211,-0.534398,-0.752835,-0.295317,-0.245857,0.066123,3.078648,0.425105,-0.918665,0.039314,0.069455,-0.386892,0.113025,3.051464,0.399488,-0.817078,0.402678,0.280765,-0.302333,0.060018,3.079362,0.463249,-0.769411,-0.521155,-0.164986,-0.33043,0.090856,3.047132,0.467203,-0.534398,-0.752835,-0.295317,-0.245857,0.091023,3.072596,0.469742,-0.324905,-0.881193,-0.32851,-0.100088,0.079734,3.096882,0.425682,-0.938832,-0.000354,0.072899,-0.33657,0.124616,3.063837,0.399288,-0.817078,0.402678,0.280765,-0.302333,0.073759,3.094707,0.468947,-0.661712,-0.672241,-0.184228,-0.276207,0.101774,3.059244,0.450917,-0.324905,-0.881193,-0.32851,-0.100088,0.114181,3.074367,0.399561,-0.817078,0.402678,0.280765,-0.302333,0.111862,3.141814,0.47346,-0.947168,0.30189,0.085162,-0.06696,0.120188,3.109439,0.433783,-0.926047,0.357178,0.066481,-0.102188,0.142274,3.080942,0.404411,-0.900336,0.359149,0.234954,-0.072135,0.11405,3.129716,0.456817,-0.948472,0.310303,0.039111,-0.050828,0.107018,3.155287,0.490645,-0.947168,0.30189,0.085162,-0.06696,0.102985,3.082277,0.474524,-0.406803,-0.890752,-0.171578,-0.107861,0.09869,3.105502,0.429584,-0.961305,0.032705,0.076983,-0.262483,0.135464,3.077127,0.400154,-0.817078,0.402678,0.280765,-0.302333,0.092128,3.106395,0.468754,-0.750591,-0.619915,-0.095491,-0.207845,0.111804,3.064339,0.459784,-0.406803,-0.890752,-0.171578,-0.107861,0.067364,3.050082,0.452393,-0.419894,0.22702,-0.138516,-0.867735,0.110423,3.040359,0.404869,-0.27763,0.396331,0.180271,-0.856356,0.084625,3.037421,0.425432,-0.451901,0.326327,-0.043918,-0.829077,0.059208,3.060697,0.473603,-0.419894,0.22702,-0.138516,-0.867735,100,0.148628,3.051851,0.37344,-0.817078,0.402678,0.280765,-0.302333,29,J,Dynamic,Right
9,10,0.031122,3.188133,0.09518,0.978622,0.203751,0.011094,0.025738,0.074749,3.062325,0.473369,-0.534307,-0.752128,-0.297088,-0.246086,0.06595,3.078647,0.425249,-0.918008,0.039955,0.068824,-0.388494,0.112917,3.051575,0.399636,-0.816354,0.402785,0.280787,-0.304122,0.059868,3.079416,0.463396,-0.769175,-0.520449,-0.166524,-0.331319,0.090818,3.047296,0.467362,-0.534307,-0.752128,-0.297088,-0.246086,0.090918,3.072741,0.469891,-0.325833,-0.880202,-0.330191,-0.100255,0.0795,3.096928,0.425782,-0.938247,-1e-05,0.072218,-0.338346,0.124468,3.063985,0.399404,-0.816354,0.402785,0.280787,-0.304122,0.073574,3.09479,0.469056,-0.661899,-0.67126,-0.185834,-0.277067,0.101716,3.059381,0.451099,-0.325833,-0.880202,-0.330191,-0.100255,0.113998,3.074481,0.399668,-0.816354,0.402785,0.280787,-0.304122,0.111515,3.142145,0.473371,-0.946515,0.303521,0.085212,-0.06872,0.11992,3.109633,0.433824,-0.925171,0.358939,0.066563,-0.10388,0.142073,3.081158,0.40448,-0.900011,0.359512,0.235066,-0.074002,0.113731,3.129985,0.456777,-0.947745,0.312229,0.03922,-0.052486,0.106639,3.155669,0.490508,-0.946515,0.303521,0.085212,-0.06872,0.102803,3.082537,0.474686,-0.40854,-0.889603,-0.173081,-0.108371,0.098431,3.105617,0.429651,-0.960833,0.033907,0.076588,-0.264168,0.135271,3.077312,0.400237,-0.816354,0.402785,0.280787,-0.304122,0.091873,3.106598,0.468819,-0.751467,-0.618287,-0.096732,-0.208954,0.111686,3.064565,0.460025,-0.40854,-0.889603,-0.173081,-0.108371,0.067266,3.050217,0.452522,-0.418763,0.227769,-0.139297,-0.86796,0.110358,3.04047,0.40504,-0.276187,0.396676,0.179799,-0.856762,0.084555,3.037523,0.425596,-0.450694,0.326998,-0.044601,-0.829433,0.059084,3.060868,0.473705,-0.418763,0.227769,-0.139297,-0.86796,111,0.148495,3.052034,0.373555,-0.816354,0.402785,0.280787,-0.304122,29,J,Dynamic,Right
