Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;48657;1;0.055981;1.584655;0.059244;0.973296;0.216853;-0.074569;-0.010467;0.165913;1.660668;0.396842;0.647937;-0.347970;-0.516561;-0.438474;0.184029;1.590857;0.385365;0.596342;-0.462311;-0.462901;-0.465153;0.181767;1.521276;0.390460;0.562761;-0.469930;-0.475911;-0.485772;0.178526;1.635148;0.391859;0.653443;-0.343632;-0.543790;-0.399026;0.157386;1.685088;0.403148;0.647937;-0.347970;-0.516561;-0.438474;0.121436;1.593012;0.415570;0.583024;0.486229;-0.593522;0.267200;0.191652;1.588354;0.410694;0.718085;-0.134538;-0.645402;-0.222957;0.188593;1.517259;0.408968;0.562761;-0.469930;-0.475911;-0.485772;0.147399;1.612908;0.417366;0.667972;0.293006;-0.664508;0.162451;0.107458;1.567187;0.410991;0.583024;0.486229;-0.593522;0.267200;0.197730;1.532010;0.405620;0.562761;-0.469930;-0.475911;-0.485772;0.138719;1.557036;0.439707;0.203125;0.633301;-0.574247;0.477399;0.183427;1.561935;0.452748;0.639001;-0.007636;-0.727169;-0.250689;0.191521;1.512143;0.432696;0.519600;-0.277902;-0.487910;-0.643996;0.149618;1.575610;0.450641;0.470919;0.473895;-0.708357;0.227792;0.147102;1.535819;0.427006;0.203125;0.633301;-0.574247;0.477399;2023/04/28 09:28:09.0433;0.131508;1.562446;0.426128;0.318658;0.641625;-0.516286;0.469280;0.189307;1.577479;0.432781;0.703264;-0.018997;-0.689356;-0.172761;0.194765;1.514267;0.423068;0.562761;-0.469930;-0.475911;-0.485772;0.144650;1.589764;0.435047;0.525919;0.467246;-0.650238;0.286847;0.137579;1.535984;0.415957;0.318658;0.641625;-0.516286;0.469280;4fad4b11-e082-4450-bc91-cd45055286dd;0.110104;1.568359;0.408187;0.742297;-0.442096;-0.119642;0.489115;0.167637;1.520809;0.386447;0.605702;-0.619406;-0.216061;0.450310;0.135950;1.542296;0.391833;0.741735;-0.520922;-0.158577;0.391566;0.091899;1.584951;0.424014;0.742297;-0.442096;-0.119642;0.489115;11;0.203808;1.475666;0.400547;0.562761;-0.469930;-0.475911;-0.485772
NA;48658;2;0.056123;1.585140;0.059266;0.973706;0.215409;-0.073431;-0.010177;0.166206;1.660960;0.398126;0.648090;-0.346743;-0.516269;-0.439562;0.184340;1.591187;0.386458;0.596722;-0.461103;-0.462560;-0.466203;0.181999;1.521589;0.391289;0.563151;-0.468815;-0.475046;-0.487242;0.178833;1.635458;0.393081;0.653653;-0.342265;-0.543668;-0.400023;0.157676;1.685362;0.404496;0.648090;-0.346743;-0.516269;-0.439562;0.121771;1.593214;0.416584;0.581136;0.487978;-0.593981;0.267104;0.191933;1.588579;0.411786;0.717876;-0.133321;-0.645304;-0.224638;0.188802;1.517494;0.409788;0.563151;-0.468815;-0.475046;-0.487242;0.147696;1.613149;0.418504;0.666691;0.294834;-0.665113;0.161926;0.107867;1.567373;0.411872;0.581136;0.487978;-0.593981;0.267104;0.197958;1.532248;0.406502;0.563151;-0.468815;-0.475046;-0.487242;0.138927;1.557323;0.440659;0.202872;0.632527;-0.576534;0.475775;0.183634;1.562006;0.453728;0.638465;-0.007760;-0.726709;-0.253370;0.191699;1.512284;0.433493;0.519531;-0.276788;-0.486814;-0.645359;0.149878;1.575821;0.451670;0.470167;0.473642;-0.709663;0.225801;0.147220;1.536122;0.427871;0.202872;0.632527;-0.576534;0.475775;2023/04/28 09:28:09.0541;0.131706;1.562754;0.427071;0.318352;0.641082;-0.518563;0.467716;0.189552;1.577621;0.433828;0.702807;-0.018381;-0.689302;-0.174891;0.194955;1.514441;0.423878;0.563151;-0.468815;-0.475046;-0.487242;0.144921;1.590000;0.436103;0.525228;0.467206;-0.651635;0.285002;0.137669;1.536306;0.416802;0.318352;0.641082;-0.518563;0.467716;4fad4b11-e082-4450-bc91-cd45055286dd;0.110411;1.568740;0.409119;0.743451;-0.441276;-0.120587;0.487867;0.167872;1.521152;0.387264;0.607250;-0.618684;-0.216561;0.448976;0.136225;1.542684;0.392702;0.742970;-0.519987;-0.159209;0.390208;0.092216;1.585313;0.424977;0.743451;-0.441276;-0.120587;0.487867;22;0.203984;1.475918;0.401217;0.563151;-0.468815;-0.475046;-0.487242
NA;48659;3;0.056191;1.585857;0.059376;0.974005;0.214425;-0.072348;-0.010126;0.166476;1.661227;0.399345;0.648171;-0.345696;-0.515880;-0.440723;0.184627;1.591490;0.387491;0.597131;-0.459900;-0.462248;-0.467176;0.182213;1.521876;0.392068;0.563532;-0.467744;-0.474222;-0.488632;0.179110;1.635740;0.394240;0.653825;-0.341026;-0.543483;-0.401050;0.157954;1.685615;0.405778;0.648171;-0.345696;-0.515880;-0.440723;0.122081;1.593349;0.417538;0.579067;0.490030;-0.594245;0.267254;0.192190;1.588781;0.412816;0.717741;-0.131876;-0.645234;-0.226120;0.188993;1.517707;0.410560;0.563532;-0.467744;-0.474222;-0.488632;0.147955;1.613340;0.419583;0.665339;0.296902;-0.665628;0.161592;0.108275;1.567482;0.412688;0.579067;0.490030;-0.594245;0.267254;0.198168;1.532465;0.407331;0.563532;-0.467744;-0.474222;-0.488632;0.139123;1.557588;0.441557;0.202491;0.631864;-0.578712;0.474171;0.183822;1.562062;0.454652;0.637978;-0.007824;-0.726196;-0.256052;0.191862;1.512406;0.434242;0.519477;-0.275719;-0.485766;-0.646648;0.150119;1.576012;0.452648;0.469341;0.473537;-0.710887;0.223878;0.147334;1.536409;0.428681;0.202491;0.631864;-0.578712;0.474171;2023/04/28 09:28:09.0663;0.131891;1.563011;0.427954;0.317822;0.640733;-0.520626;0.466260;0.189776;1.577744;0.434816;0.702395;-0.017523;-0.689247;-0.176841;0.195130;1.514597;0.424638;0.563532;-0.467744;-0.474222;-0.488632;0.145164;1.590190;0.437100;0.524432;0.467371;-0.652912;0.283271;0.137767;1.536583;0.417583;0.317822;0.640733;-0.520626;0.466260;4fad4b11-e082-4450-bc91-cd45055286dd;0.110711;1.569116;0.409987;0.744603;-0.440596;-0.121424;0.486516;0.168088;1.521467;0.388033;0.608778;-0.618071;-0.216921;0.447574;0.136486;1.543054;0.393518;0.744172;-0.519197;-0.159739;0.388749;0.092529;1.585680;0.425871;0.744603;-0.440596;-0.121424;0.486516;34;0.204146;1.476148;0.401845;0.563532;-0.467744;-0.474222;-0.488632
NA;48660;4;0.056393;1.586390;0.059497;0.974367;0.213042;-0.071594;-0.009835;0.166726;1.661473;0.400509;0.648199;-0.344786;-0.515421;-0.441930;0.184894;1.591770;0.388473;0.597560;-0.458704;-0.461962;-0.468085;0.182412;1.522142;0.392808;0.563906;-0.466709;-0.473431;-0.489956;0.179361;1.635999;0.395345;0.653970;-0.339886;-0.543254;-0.402089;0.158219;1.685851;0.407003;0.648199;-0.344786;-0.515421;-0.441930;0.122372;1.593434;0.418442;0.576868;0.492296;-0.594362;0.267587;0.192429;1.588964;0.413796;0.717660;-0.130268;-0.645183;-0.227450;0.189171;1.517902;0.411291;0.563906;-0.466709;-0.473431;-0.489956;0.148183;1.613491;0.420613;0.663935;0.299140;-0.666073;0.161406;0.108682;1.567531;0.413451;0.576868;0.492296;-0.594362;0.267587;0.198363;1.532663;0.408117;0.563906;-0.466709;-0.473431;-0.489956;0.139309;1.557834;0.442413;0.202020;0.631284;-0.580801;0.472587;0.183995;1.562104;0.455528;0.637531;-0.007847;-0.725641;-0.258725;0.192011;1.512515;0.434951;0.519435;-0.274688;-0.484758;-0.647876;0.150344;1.576187;0.453584;0.468465;0.473542;-0.712045;0.222012;0.147445;1.536681;0.429448;0.202020;0.631284;-0.580801;0.472587;2023/04/28 09:28:09.0765;0.132066;1.563228;0.428786;0.317134;0.640526;-0.522525;0.464888;0.189983;1.577852;0.435754;0.702018;-0.016491;-0.689191;-0.178650;0.195291;1.514736;0.425358;0.563906;-0.466709;-0.473431;-0.489956;0.145385;1.590345;0.438049;0.523564;0.467683;-0.654094;0.281629;0.137869;1.536824;0.418313;0.317134;0.640526;-0.522525;0.464888;4fad4b11-e082-4450-bc91-cd45055286dd;0.111005;1.569485;0.410805;0.745747;-0.440021;-0.122174;0.485094;0.168289;1.521760;0.388763;0.610285;-0.617541;-0.217174;0.446130;0.136737;1.543410;0.394290;0.745344;-0.518517;-0.160189;0.387223;0.092839;1.586046;0.426709;0.745747;-0.440021;-0.122174;0.485094;44;0.204297;1.476361;0.402438;0.563906;-0.466709;-0.473431;-0.489956
NA;48661;5;0.056626;1.586931;0.059617;0.974798;0.211289;-0.070897;-0.009992;0.167102;1.661567;0.398953;0.645976;-0.345426;-0.517020;-0.442816;0.185042;1.591762;0.387199;0.594915;-0.459621;-0.462906;-0.469619;0.182415;1.522151;0.391634;0.561886;-0.466745;-0.474714;-0.490999;0.179671;1.636036;0.393916;0.651624;-0.340917;-0.544644;-0.403143;0.158632;1.685986;0.405339;0.645976;-0.345426;-0.517020;-0.442816;0.122526;1.593522;0.416873;0.574620;0.492962;-0.594443;0.270995;0.192463;1.588998;0.412561;0.715874;-0.131425;-0.646686;-0.228143;0.189079;1.517937;0.410156;0.561886;-0.466745;-0.474714;-0.490999;0.148261;1.613665;0.419149;0.662155;0.299271;-0.667209;0.163768;0.109017;1.567535;0.411830;0.574620;0.492962;-0.594443;0.270995;0.198309;1.532672;0.407031;0.561886;-0.466745;-0.474714;-0.490999;0.139136;1.558055;0.441023;0.202324;0.629252;-0.581542;0.474253;0.183796;1.562246;0.454315;0.635681;-0.008916;-0.727308;-0.258558;0.191802;1.512596;0.433881;0.517444;-0.274348;-0.486310;-0.648450;0.150185;1.576400;0.452192;0.468007;0.471442;-0.713414;0.223052;0.147262;1.536846;0.428142;0.202324;0.629252;-0.581542;0.474253;2023/04/28 09:28:09.0883;0.132012;1.563488;0.427362;0.316945;0.638741;-0.523225;0.466682;0.189900;1.577938;0.434532;0.700324;-0.018151;-0.690714;-0.179252;0.195127;1.514789;0.424297;0.561886;-0.466745;-0.474714;-0.490999;0.145340;1.590600;0.436627;0.522860;0.465887;-0.655400;0.282874;0.137824;1.537054;0.416972;0.316945;0.638741;-0.523225;0.466682;4fad4b11-e082-4450-bc91-cd45055286dd;0.110900;1.569643;0.408924;0.744803;-0.443074;-0.123739;0.483366;0.168321;1.521789;0.387488;0.608760;-0.620098;-0.218276;0.444124;0.136751;1.543482;0.392734;0.743682;-0.521745;-0.162274;0.385209;0.092639;1.586277;0.424642;0.744803;-0.443074;-0.123739;0.483366;56;0.204154;1.476346;0.401501;0.561886;-0.466745;-0.474714;-0.490999
NA;48662;6;0.056873;1.587217;0.059689;0.975315;0.209121;-0.070171;-0.010209;0.167478;1.661661;0.397567;0.643878;-0.346044;-0.518405;-0.443769;0.185185;1.591760;0.386063;0.592434;-0.460482;-0.463668;-0.471158;0.182424;1.522163;0.390572;0.560051;-0.466720;-0.475853;-0.492015;0.179978;1.636073;0.392645;0.649412;-0.341910;-0.545831;-0.404265;0.159051;1.686119;0.403859;0.643878;-0.346044;-0.518405;-0.443769;0.122685;1.593585;0.415461;0.572267;0.493926;-0.594378;0.274342;0.192499;1.589028;0.411459;0.714238;-0.132363;-0.648049;-0.228860;0.188998;1.517970;0.409129;0.560051;-0.466720;-0.475853;-0.492015;0.148338;1.613821;0.417841;0.660374;0.299676;-0.668226;0.166057;0.109369;1.567509;0.410360;0.572267;0.493926;-0.594378;0.274342;0.198262;1.532682;0.406056;0.560051;-0.466720;-0.475853;-0.492015;0.138982;1.558253;0.439769;0.202494;0.627402;-0.582263;0.475744;0.183616;1.562370;0.453227;0.633962;-0.009809;-0.728823;-0.258482;0.191611;1.512667;0.432917;0.515617;-0.273979;-0.487684;-0.649029;0.150043;1.576588;0.450942;0.467513;0.469558;-0.714705;0.223928;0.147100;1.536997;0.426961;0.202494;0.627402;-0.582263;0.475744;2023/04/28 09:28:09.1000;0.131973;1.563723;0.426077;0.316562;0.637197;-0.523838;0.468361;0.189828;1.578014;0.433440;0.698750;-0.019573;-0.692099;-0.179901;0.194979;1.514837;0.423342;0.560051;-0.466720;-0.475853;-0.492015;0.145304;1.590830;0.435352;0.522083;0.464358;-0.656614;0.284005;0.137806;1.537266;0.415756;0.316562;0.637197;-0.523838;0.468361;4fad4b11-e082-4450-bc91-cd45055286dd;0.110803;1.569789;0.407180;0.743900;-0.445959;-0.125316;0.481695;0.168359;1.521821;0.386328;0.607321;-0.622495;-0.219407;0.442179;0.136772;1.543552;0.391304;0.742063;-0.524828;-0.164371;0.383250;0.092452;1.586490;0.422721;0.743900;-0.445959;-0.125316;0.481695;67;0.204025;1.476335;0.400652;0.560051;-0.466720;-0.475853;-0.492015
NA;48663;7;0.057132;1.587558;0.059669;0.975666;0.207777;-0.069235;-0.010568;0.168050;1.661636;0.397935;0.645317;-0.347505;-0.515564;-0.443846;0.185511;1.591717;0.386200;0.593656;-0.462147;-0.460722;-0.470881;0.182662;1.522108;0.390508;0.562054;-0.467700;-0.472775;-0.491768;0.180470;1.636033;0.392889;0.651049;-0.343129;-0.543106;-0.404269;0.159719;1.686103;0.404321;0.645317;-0.347505;-0.515564;-0.443846;0.123202;1.593637;0.416028;0.573943;0.494795;-0.593716;0.270682;0.192987;1.588883;0.411538;0.716315;-0.132838;-0.645071;-0.230501;0.189356;1.517839;0.409005;0.562054;-0.467700;-0.472775;-0.491768;0.148939;1.613778;0.418300;0.662442;0.300191;-0.666751;0.162784;0.109761;1.567624;0.410932;0.573943;0.494795;-0.593716;0.270682;0.198626;1.532547;0.405896;0.562054;-0.467700;-0.472775;-0.491768;0.139610;1.558068;0.440081;0.203535;0.628939;-0.582783;0.472623;0.184336;1.562090;0.453268;0.636157;-0.009936;-0.726347;-0.260051;0.192119;1.512447;0.432729;0.517193;-0.275563;-0.484622;-0.649399;0.150765;1.576352;0.451246;0.469122;0.470661;-0.713864;0.220911;0.147622;1.536848;0.427148;0.203535;0.628939;-0.582783;0.472623;2023/04/28 09:28:09.1091;0.132549;1.563578;0.426454;0.317150;0.639107;-0.523643;0.465571;0.190443;1.577795;0.433497;0.700894;-0.019386;-0.689563;-0.181312;0.195428;1.514646;0.423140;0.562054;-0.467700;-0.472775;-0.491768;0.145945;1.590650;0.435734;0.523406;0.465962;-0.655530;0.281437;0.138316;1.537153;0.416014;0.317150;0.639107;-0.523643;0.465571;4fad4b11-e082-4450-bc91-cd45055286dd;0.111334;1.569869;0.407897;0.745996;-0.442830;-0.122659;0.482023;0.168561;1.521801;0.386383;0.610170;-0.619840;-0.216852;0.443245;0.137085;1.543614;0.391701;0.744446;-0.521977;-0.161274;0.383838;0.093156;1.586566;0.423645;0.745996;-0.442830;-0.122659;0.482023;77;0.204265;1.476212;0.400254;0.562054;-0.467700;-0.472775;-0.491768
NA;48664;8;0.057504;1.588041;0.059470;0.975838;0.207263;-0.068352;-0.010475;0.168790;1.662465;0.395081;0.642155;-0.354237;-0.516024;-0.442576;0.185746;1.592285;0.384175;0.589839;-0.468027;-0.461303;-0.469298;0.182606;1.522745;0.389321;0.558821;-0.472692;-0.473934;-0.489559;0.181015;1.636714;0.390322;0.648230;-0.349698;-0.543489;-0.402653;0.160669;1.687074;0.401183;0.642155;-0.354237;-0.516024;-0.442576;0.123596;1.594777;0.414123;0.577667;0.491243;-0.591872;0.273257;0.193276;1.589719;0.409525;0.715809;-0.139001;-0.645166;-0.228162;0.189331;1.518666;0.407851;0.558821;-0.472692;-0.473934;-0.489559;0.149367;1.614905;0.416104;0.665010;0.295958;-0.665310;0.165932;0.110107;1.568726;0.409362;0.577667;0.491243;-0.591872;0.273257;0.198657;1.533297;0.404538;0.558821;-0.472692;-0.473934;-0.489559;0.139834;1.559548;0.438595;0.210575;0.626265;-0.581756;0.474353;0.184619;1.563460;0.451592;0.636363;-0.016836;-0.727032;-0.257262;0.192135;1.513545;0.431624;0.514774;-0.280525;-0.487191;-0.647270;0.151134;1.577909;0.449484;0.473954;0.465688;-0.713134;0.223479;0.147630;1.538101;0.425906;0.210575;0.626265;-0.581756;0.474353;2023/04/28 09:28:09.1208;0.132718;1.564960;0.424927;0.324387;0.635549;-0.523090;0.466076;0.190742;1.578903;0.431620;0.701212;-0.026125;-0.689608;-0.179056;0.195427;1.515615;0.422001;0.558821;-0.472692;-0.473934;-0.489559;0.146329;1.592054;0.433824;0.528323;0.460856;-0.654518;0.283007;0.138194;1.538353;0.414797;0.324387;0.635549;-0.523090;0.466076;4fad4b11-e082-4450-bc91-cd45055286dd;0.111474;1.570952;0.406357;0.743721;-0.447655;-0.118589;0.482100;0.168491;1.522451;0.385243;0.607671;-0.622957;-0.212322;0.444500;0.137103;1.544424;0.390411;0.742102;-0.526189;-0.157208;0.384311;0.093353;1.587899;0.421900;0.743721;-0.447655;-0.118589;0.482100;89;0.204038;1.476874;0.399550;0.558821;-0.472692;-0.473934;-0.489559
NA;48665;9;0.057922;1.588402;0.059347;0.976016;0.206695;-0.067505;-0.010683;0.168244;1.662425;0.396264;0.641062;-0.349169;-0.518195;-0.445639;0.185455;1.592359;0.385050;0.589428;-0.463079;-0.463191;-0.472850;0.182467;1.522770;0.389607;0.558947;-0.467126;-0.475586;-0.493143;0.180580;1.636736;0.391456;0.647012;-0.344645;-0.545928;-0.405659;0.160013;1.686977;0.402451;0.641062;-0.349169;-0.518195;-0.445639;0.122998;1.594474;0.414366;0.572255;0.492821;-0.595412;0.274110;0.192726;1.589610;0.410457;0.713229;-0.134231;-0.648112;-0.230731;0.189010;1.518561;0.408173;0.558947;-0.467126;-0.475586;-0.493143;0.148695;1.614650;0.416780;0.660089;0.298617;-0.669087;0.165631;0.109623;1.568432;0.409254;0.572255;0.492821;-0.595412;0.274110;0.198328;1.533245;0.405070;0.558947;-0.467126;-0.475586;-0.493143;0.139091;1.559073;0.438724;0.203863;0.625607;-0.583739;0.475714;0.183704;1.562984;0.452217;0.632980;-0.011984;-0.729183;-0.259778;0.191579;1.513255;0.431925;0.514284;-0.274290;-0.487685;-0.649954;0.150209;1.577378;0.449890;0.467735;0.467691;-0.715832;0.223773;0.147106;1.537762;0.425942;0.203863;0.625607;-0.583739;0.475714;2023/04/28 09:28:09.1341;0.132083;1.564599;0.425027;0.318593;0.634983;-0.525977;0.467594;0.189991;1.578607;0.432436;0.697910;-0.021676;-0.692522;-0.181291;0.194967;1.515413;0.422355;0.558947;-0.467126;-0.475586;-0.493143;0.145531;1.591654;0.434286;0.522648;0.462321;-0.657846;0.283439;0.137722;1.538087;0.414740;0.318593;0.634983;-0.525977;0.467594;4fad4b11-e082-4450-bc91-cd45055286dd;0.111032;1.570656;0.406294;0.744030;-0.447404;-0.125190;0.480184;0.168395;1.522468;0.385385;0.608586;-0.622431;-0.218027;0.441212;0.136899;1.544321;0.390414;0.742818;-0.525099;-0.163356;0.381848;0.092689;1.587436;0.421759;0.744030;-0.447404;-0.125190;0.480184;102;0.203930;1.476881;0.399683;0.558947;-0.467126;-0.475586;-0.493143
NA;48666;10;0.058341;1.588906;0.059241;0.976154;0.206334;-0.066558;-0.010981;0.167715;1.662378;0.397379;0.640046;-0.344295;-0.520315;-0.448414;0.185180;1.592425;0.385884;0.589011;-0.458384;-0.465002;-0.476155;0.182338;1.522795;0.389882;0.559039;-0.461848;-0.477101;-0.496534;0.180163;1.636751;0.392528;0.645863;-0.339789;-0.548294;-0.408385;0.159370;1.686871;0.403642;0.640046;-0.344295;-0.520315;-0.448414;0.122432;1.594207;0.414600;0.567224;0.494136;-0.598866;0.274674;0.192205;1.589499;0.411340;0.710762;-0.129731;-0.650841;-0.233226;0.188709;1.518460;0.408479;0.559039;-0.461848;-0.477101;-0.496534;0.148067;1.614409;0.417423;0.655487;0.300949;-0.672687;0.165102;0.109148;1.568184;0.409158;0.567224;0.494136;-0.598866;0.274674;0.198017;1.533193;0.405576;0.559039;-0.461848;-0.477101;-0.496534;0.138405;1.558618;0.438840;0.197073;0.625152;-0.585432;0.477092;0.182841;1.562527;0.452801;0.629784;-0.007204;-0.731116;-0.262279;0.191056;1.512977;0.432206;0.513788;-0.268389;-0.488108;-0.652487;0.149338;1.576868;0.450275;0.461629;0.469811;-0.718322;0.224033;0.146650;1.537449;0.425970;0.197073;0.625152;-0.585432;0.477092;2023/04/28 09:28:09.1432;0.131501;1.564253;0.425118;0.312815;0.634593;-0.528535;0.469137;0.189282;1.578319;0.433206;0.694769;-0.017395;-0.695221;-0.183470;0.194533;1.515218;0.422688;0.559039;-0.461848;-0.477101;-0.496534;0.144781;1.591269;0.434723;0.517141;0.463832;-0.660942;0.283868;0.137316;1.537838;0.414680;0.312815;0.634593;-0.528535;0.469137;4fad4b11-e082-4450-bc91-cd45055286dd;0.110637;1.570400;0.406229;0.744422;-0.447113;-0.131315;0.478208;0.168307;1.522487;0.385524;0.609494;-0.621963;-0.223315;0.437962;0.136720;1.544237;0.390418;0.743520;-0.524099;-0.169090;0.379352;0.092094;1.587029;0.421619;0.744422;-0.447113;-0.131315;0.478208;112;0.203829;1.476887;0.399811;0.559039;-0.461848;-0.477101;-0.496534
