Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;46785;1;0.040834;1.570877;0.030026;0.998957;0.033617;0.027028;0.014999;0.119802;1.447138;0.316288;-0.899746;0.419627;0.119816;0.003938;0.138635;1.400142;0.271810;-0.905213;0.400005;0.134139;-0.050915;0.155390;1.342567;0.250871;-0.856665;0.506800;0.092295;0.027590;0.126984;1.429335;0.298270;-0.917270;0.372820;0.137191;-0.028289;0.115089;1.466204;0.330519;-0.899746;0.419627;0.119816;0.003938;0.157073;1.462625;0.319359;-0.877626;0.463043;0.075222;0.098521;0.162617;1.403412;0.271568;-0.893876;0.440905;0.064229;0.049632;0.173572;1.343547;0.249098;-0.856665;0.506800;0.092295;0.027590;0.159313;1.440364;0.299607;-0.909623;0.405607;0.067618;0.059139;0.156593;1.485652;0.333592;-0.877626;0.463043;0.075222;0.098521;0.170472;1.358875;0.246241;-0.856665;0.506800;0.092295;0.027590;0.183751;1.367063;0.314881;-0.393577;-0.883665;0.253185;0.011457;0.202524;1.382607;0.280384;-0.977417;0.044900;0.156780;0.134388;0.196537;1.342782;0.251682;-0.845809;0.451935;0.074550;0.273505;0.192726;1.386930;0.311893;-0.749074;-0.625036;0.203586;0.082293;0.177727;1.350064;0.299372;-0.393577;-0.883665;0.253185;0.011457;2023/05/01 14:29:58.5747;0.169820;1.388191;0.327937;-0.569009;-0.804869;0.166783;0.024458;0.183393;1.395703;0.275630;-0.974404;0.190921;0.077179;0.090163;0.188445;1.344833;0.247241;-0.856665;0.506800;0.092295;0.027590;0.178494;1.412009;0.314292;-0.856727;-0.492122;0.144268;0.054980;0.163625;1.363668;0.320332;-0.569009;-0.804869;0.166783;0.024458;f015fe83-9c02-4a03-a6fd-8cd8b92848e7;0.150782;1.370056;0.318707;-0.632938;-0.141152;-0.462036;-0.604970;0.148330;1.336474;0.260470;-0.564629;0.249640;-0.070871;-0.783487;0.137371;1.350315;0.290947;-0.673042;0.070412;-0.340445;-0.652804;0.170090;1.381093;0.333431;-0.632938;-0.141152;-0.462036;-0.604970;11;0.178327;1.314337;0.220914;-0.856665;0.506800;0.092295;0.027590
NA;46786;2;0.040962;1.570961;0.029929;0.998956;0.033548;0.027000;0.015248;0.119815;1.447218;0.316780;-0.900729;0.417310;0.120477;0.004997;0.138685;1.400356;0.272178;-0.905655;0.398892;0.134939;-0.049658;0.155453;1.342768;0.251283;-0.856574;0.506672;0.093430;0.028916;0.127015;1.429491;0.298694;-0.918004;0.370804;0.137966;-0.027181;0.115090;1.466213;0.331102;-0.900729;0.417310;0.120477;0.004997;0.156947;1.462811;0.319782;-0.878109;0.461628;0.077021;0.099459;0.162670;1.403600;0.272017;-0.893499;0.441310;0.065915;0.050603;0.173642;1.343729;0.249569;-0.856574;0.506672;0.093430;0.028916;0.159270;1.440583;0.300003;-0.909826;0.404725;0.069431;0.059948;0.156399;1.485799;0.334076;-0.878109;0.461628;0.077021;0.099459;0.170560;1.359061;0.246703;-0.856574;0.506672;0.093430;0.028916;0.183636;1.367397;0.315480;-0.395291;-0.882569;0.254398;0.009928;0.202525;1.382747;0.280959;-0.976994;0.047171;0.158394;0.134796;0.196590;1.342938;0.252224;-0.845603;0.451393;0.075659;0.274730;0.192648;1.387236;0.312420;-0.750254;-0.623172;0.205258;0.081518;0.177629;1.350334;0.300034;-0.395291;-0.882569;0.254398;0.009928;2023/05/01 14:29:58.5864;0.169688;1.388932;0.328698;-0.577792;-0.798188;0.168724;0.024193;0.183425;1.395866;0.276146;-0.973449;0.194740;0.078621;0.091059;0.188515;1.344999;0.247758;-0.856574;0.506672;0.093430;0.028916;0.178457;1.412487;0.314664;-0.860646;-0.484729;0.145884;0.055180;0.163375;1.364277;0.321636;-0.577792;-0.798188;0.168724;0.024193;f015fe83-9c02-4a03-a6fd-8cd8b92848e7;0.150728;1.370249;0.319098;-0.633908;-0.140557;-0.460896;-0.604962;0.148362;1.336680;0.260863;-0.565186;0.250598;-0.070237;-0.782836;0.137339;1.350530;0.291313;-0.673879;0.070750;-0.339842;-0.652219;0.170002;1.381263;0.333885;-0.633908;-0.140557;-0.460896;-0.604962;22;0.178450;1.314523;0.221388;-0.856574;0.506672;0.093430;0.028916
NA;46787;3;0.040962;1.571172;0.029653;0.998956;0.033407;0.027205;0.015175;0.119824;1.447270;0.317275;-0.901717;0.415000;0.121019;0.005968;0.138720;1.400543;0.272546;-0.906112;0.397767;0.135616;-0.048485;0.155507;1.342945;0.251691;-0.856492;0.506542;0.094496;0.030117;0.127038;1.429620;0.299120;-0.918750;0.368782;0.138617;-0.026155;0.115091;1.466193;0.331689;-0.901717;0.415000;0.121019;0.005968;0.156806;1.462979;0.320191;-0.878597;0.460227;0.078784;0.100253;0.162709;1.403764;0.272459;-0.893086;0.441801;0.067552;0.051444;0.173702;1.343891;0.250031;-0.856492;0.506542;0.094496;0.030117;0.159212;1.440784;0.300384;-0.910032;0.403855;0.071198;0.060617;0.156188;1.485928;0.334544;-0.878597;0.460227;0.078784;0.100253;0.170634;1.359226;0.247156;-0.856492;0.506542;0.094496;0.030117;0.183523;1.367732;0.316076;-0.397315;-0.881344;0.255541;0.008507;0.202516;1.382871;0.281517;-0.976579;0.049716;0.159861;0.135156;0.196631;1.343076;0.252752;-0.845422;0.450879;0.076697;0.275838;0.192573;1.387540;0.312931;-0.751624;-0.621096;0.206813;0.080807;0.177528;1.350596;0.300707;-0.397315;-0.881344;0.255541;0.008507;2023/05/01 14:29:58.5975;0.169563;1.389720;0.329468;-0.587389;-0.790748;0.170619;0.024112;0.183444;1.396009;0.276649;-0.972397;0.199024;0.079915;0.091909;0.188572;1.345146;0.248261;-0.856492;0.506542;0.094496;0.030117;0.178423;1.412981;0.315007;-0.864925;-0.476562;0.147359;0.055491;0.163118;1.364935;0.323009;-0.587389;-0.790748;0.170619;0.024112;f015fe83-9c02-4a03-a6fd-8cd8b92848e7;0.150690;1.370418;0.319484;-0.634756;-0.140065;-0.459904;-0.604943;0.148390;1.336860;0.261253;-0.565673;0.251438;-0.069689;-0.782264;0.137311;1.350720;0.291679;-0.674615;0.070952;-0.339410;-0.651660;0.169935;1.381410;0.334325;-0.634756;-0.140065;-0.459904;-0.604943;33;0.178559;1.314687;0.221852;-0.856492;0.506542;0.094496;0.030117
NA;46788;4;0.041023;1.571239;0.029662;0.998969;0.032908;0.027441;0.015014;0.119838;1.447476;0.316548;-0.901811;0.414413;0.122143;0.008972;0.138723;1.400661;0.271908;-0.905742;0.398573;0.136819;-0.045302;0.155348;1.342920;0.251322;-0.855389;0.507952;0.095766;0.033530;0.127056;1.429817;0.298402;-0.918731;0.368542;0.139905;-0.023167;0.115122;1.466393;0.330975;-0.901811;0.414413;0.122143;0.008972;0.156775;1.463159;0.319444;-0.878171;0.459995;0.080879;0.103341;0.162728;1.403765;0.271950;-0.891742;0.443835;0.069455;0.054620;0.173557;1.343772;0.249763;-0.855389;0.507952;0.095766;0.033530;0.159222;1.440928;0.299683;-0.909410;0.404411;0.073365;0.063587;0.156142;1.486109;0.333795;-0.878171;0.459995;0.080879;0.103341;0.170580;1.359113;0.246824;-0.855389;0.507952;0.095766;0.033530;0.183127;1.367933;0.315879;-0.400051;-0.879121;0.258969;0.006355;0.202379;1.382704;0.281298;-0.975602;0.053511;0.162740;0.137306;0.196464;1.342853;0.252618;-0.843851;0.451522;0.078437;0.279088;0.192301;1.387666;0.312624;-0.753308;-0.617780;0.210710;0.080478;0.177117;1.350710;0.300612;-0.400051;-0.879121;0.258969;0.006355;2023/05/01 14:29:58.6087;0.169205;1.390469;0.329344;-0.597635;-0.782101;0.174872;0.023895;0.183399;1.395921;0.276282;-0.970794;0.204455;0.082299;0.094789;0.188441;1.344949;0.248074;-0.855389;0.507952;0.095766;0.033530;0.178286;1.413350;0.314422;-0.869462;-0.466932;0.150994;0.056658;0.162547;1.365578;0.323537;-0.597635;-0.782101;0.174872;0.023895;f015fe83-9c02-4a03-a6fd-8cd8b92848e7;0.150300;1.370603;0.319011;-0.637712;-0.138310;-0.458270;-0.603476;0.148149;1.336898;0.260862;-0.567404;0.254180;-0.069810;-0.780110;0.136971;1.350894;0.291189;-0.677018;0.072759;-0.338689;-0.649341;0.169495;1.381549;0.333950;-0.637712;-0.138310;-0.458270;-0.603476;45;0.178431;1.314461;0.221698;-0.855389;0.507952;0.095766;0.033530
NA;46789;5;0.041082;1.571294;0.029732;0.998994;0.032020;0.027769;0.014674;0.119992;1.447086;0.317052;-0.903036;0.412111;0.120987;0.007209;0.138830;1.400476;0.272183;-0.906500;0.397032;0.135749;-0.046867;0.155565;1.342798;0.251503;-0.855796;0.507461;0.095335;0.031749;0.127189;1.429528;0.298802;-0.919768;0.366289;0.138726;-0.024802;0.115278;1.465921;0.331588;-0.903036;0.412111;0.120987;0.007209;0.156788;1.463097;0.319570;-0.878569;0.459679;0.080850;0.101369;0.162826;1.403644;0.272166;-0.891322;0.444943;0.069218;0.052722;0.173767;1.343702;0.249897;-0.855796;0.507461;0.095335;0.031749;0.159270;1.440869;0.299810;-0.909527;0.404494;0.073134;0.061618;0.156100;1.486036;0.333935;-0.878569;0.459679;0.080850;0.101369;0.170735;1.359038;0.246977;-0.855796;0.507461;0.095335;0.031749;0.183467;1.368127;0.316151;-0.403560;-0.877924;0.257569;0.006904;0.202559;1.382683;0.281391;-0.975829;0.057071;0.161308;0.135944;0.196679;1.342843;0.252689;-0.844545;0.451379;0.077827;0.277388;0.192599;1.387850;0.312722;-0.755940;-0.615127;0.209050;0.080447;0.177422;1.350792;0.301026;-0.403560;-0.877924;0.257569;0.006904;2023/05/01 14:29:58.6204;0.169548;1.391476;0.330127;-0.615889;-0.767868;0.174261;0.026339;0.183530;1.395853;0.276437;-0.969560;0.211300;0.080854;0.093640;0.188638;1.344922;0.248168;-0.855796;0.507461;0.095335;0.031749;0.178579;1.413802;0.314357;-0.877811;-0.451576;0.148917;0.057891;0.162677;1.366394;0.325515;-0.615889;-0.767868;0.174261;0.026339;f015fe83-9c02-4a03-a6fd-8cd8b92848e7;0.150706;1.370380;0.319223;-0.636009;-0.139353;-0.459287;-0.604259;0.148411;1.336748;0.261060;-0.566350;0.252683;-0.069887;-0.781355;0.137292;1.350676;0.291439;-0.675627;0.071252;-0.339772;-0.650390;0.169933;1.381352;0.334102;-0.636009;-0.139353;-0.459287;-0.604259;56;0.178643;1.314431;0.221789;-0.855796;0.507461;0.095335;0.031749
NA;46790;6;0.041132;1.571350;0.029797;0.999005;0.031415;0.028123;0.014544;0.120129;1.446727;0.317532;-0.904066;0.410181;0.119940;0.005574;0.138926;1.400293;0.272464;-0.907159;0.395678;0.134775;-0.048344;0.155766;1.342678;0.251694;-0.856182;0.506985;0.094946;0.030058;0.127307;1.429253;0.299193;-0.920645;0.364380;0.137652;-0.026326;0.115417;1.465492;0.332158;-0.904066;0.410181;0.119940;0.005574;0.156798;1.463044;0.319697;-0.878795;0.459659;0.080793;0.099526;0.162914;1.403525;0.272391;-0.890907;0.446016;0.068988;0.050938;0.173962;1.343632;0.250044;-0.856182;0.506985;0.094946;0.030058;0.159311;1.440808;0.299950;-0.909542;0.404779;0.072894;0.059783;0.156062;1.485981;0.334063;-0.878795;0.459659;0.080793;0.099526;0.170877;1.358962;0.247143;-0.856182;0.506985;0.094946;0.030058;0.183780;1.368298;0.316423;-0.406750;-0.876838;0.256231;0.007409;0.202723;1.382659;0.281501;-0.976033;0.060321;0.159970;0.134649;0.196878;1.342830;0.252777;-0.845206;0.451229;0.077267;0.275771;0.192872;1.388012;0.312835;-0.758331;-0.612718;0.207479;0.080397;0.177705;1.350861;0.301428;-0.406750;-0.876838;0.256231;0.007409;2023/05/01 14:29:58.6305;0.169869;1.392417;0.330854;-0.632579;-0.754249;0.173598;0.028563;0.183648;1.395784;0.276605;-0.968396;0.217541;0.079508;0.092541;0.188821;1.344891;0.248278;-0.856182;0.506985;0.094946;0.030058;0.178844;1.414204;0.314317;-0.885299;-0.437236;0.146942;0.058984;0.162815;1.367206;0.327364;-0.632579;-0.754249;0.173598;0.028563;f015fe83-9c02-4a03-a6fd-8cd8b92848e7;0.151089;1.370163;0.319442;-0.634375;-0.140434;-0.460333;-0.604930;0.148657;1.336601;0.261266;-0.565340;0.251271;-0.069945;-0.782535;0.137591;1.350463;0.291695;-0.674301;0.069793;-0.340827;-0.651371;0.170351;1.381159;0.334258;-0.634375;-0.140434;-0.460333;-0.604930;66;0.178841;1.314399;0.221895;-0.856182;0.506985;0.094946;0.030058
NA;46791;7;0.041166;1.571339;0.029872;0.998997;0.031594;0.028354;0.014280;0.120260;1.446383;0.318003;-0.904999;0.408434;0.118922;0.004053;0.139012;1.400113;0.272749;-0.907781;0.394402;0.133824;-0.049729;0.155955;1.342560;0.251894;-0.856551;0.506522;0.094591;0.028439;0.127418;1.428987;0.299582;-0.921447;0.362634;0.136608;-0.027746;0.115553;1.465084;0.332711;-0.904999;0.408434;0.118922;0.004053;0.156803;1.463021;0.319796;-0.878787;0.460055;0.080765;0.097775;0.162992;1.403406;0.272625;-0.890366;0.447315;0.068795;0.049242;0.174146;1.343561;0.250202;-0.856551;0.506522;0.094591;0.028439;0.159343;1.440763;0.300078;-0.909383;0.405426;0.072687;0.058042;0.156024;1.485970;0.334140;-0.878787;0.460055;0.080765;0.097775;0.171010;1.358885;0.247319;-0.856551;0.506522;0.094591;0.028439;0.184078;1.368500;0.316717;-0.410229;-0.875570;0.255005;0.007874;0.202875;1.382633;0.281625;-0.976183;0.063958;0.158666;0.133423;0.197063;1.342814;0.252879;-0.845840;0.451074;0.076746;0.274222;0.193133;1.388197;0.312957;-0.760911;-0.610011;0.206013;0.080368;0.177969;1.350953;0.301864;-0.410229;-0.875570;0.255005;0.007874;2023/05/01 14:29:58.6427;0.170189;1.393510;0.331629;-0.650937;-0.738488;0.173082;0.030991;0.183755;1.395713;0.276784;-0.967011;0.224494;0.078149;0.091573;0.188991;1.344859;0.248400;-0.856551;0.506522;0.094591;0.028439;0.179107;1.414660;0.314254;-0.893384;-0.420963;0.144986;0.060285;0.162931;1.368213;0.329402;-0.650937;-0.738488;0.173082;0.030991;f015fe83-9c02-4a03-a6fd-8cd8b92848e7;0.151469;1.369947;0.319664;-0.632755;-0.141689;-0.461502;-0.605444;0.148889;1.336455;0.261481;-0.564363;0.249884;-0.069998;-0.783679;0.137877;1.350254;0.291959;-0.673014;0.068231;-0.341972;-0.652267;0.170776;1.380961;0.334408;-0.632755;-0.141689;-0.461502;-0.605444;79;0.179028;1.314364;0.222013;-0.856551;0.506522;0.094591;0.028439
NA;46792;8;0.041202;1.571321;0.029863;0.998977;0.032230;0.028387;0.014158;0.120100;1.446180;0.318113;-0.905314;0.407434;0.119908;0.005098;0.138927;1.399960;0.272842;-0.907776;0.394195;0.134886;-0.048567;0.155874;1.342373;0.252084;-0.856218;0.506795;0.095721;0.029779;0.127291;1.428827;0.299665;-0.921756;0.361519;0.137673;-0.026752;0.115371;1.464851;0.332853;-0.905314;0.407434;0.119908;0.005098;0.156592;1.463013;0.319720;-0.878475;0.460107;0.082554;0.098832;0.162910;1.403223;0.272796;-0.889103;0.449450;0.070359;0.050401;0.174072;1.343351;0.250450;-0.856218;0.506795;0.095721;0.029779;0.159199;1.440719;0.300051;-0.908871;0.406118;0.074429;0.059005;0.155759;1.485970;0.334049;-0.878475;0.460107;0.082554;0.098832;0.170958;1.358677;0.247544;-0.856218;0.506795;0.095721;0.029779;0.183854;1.368783;0.317176;-0.414943;-0.872847;0.256751;0.006280;0.202737;1.382407;0.281942;-0.975434;0.070372;0.159972;0.134112;0.196974;1.342578;0.253201;-0.845404;0.450923;0.077968;0.275468;0.192980;1.388404;0.313189;-0.764334;-0.605086;0.208022;0.079942;0.177718;1.351088;0.302512;-0.414943;-0.872847;0.256751;0.006280;2023/05/01 14:29:58.6539;0.170010;1.395322;0.332690;-0.679730;-0.711180;0.176250;0.033560;0.183650;1.395508;0.277029;-0.964161;0.235540;0.079202;0.092956;0.188919;1.344630;0.248694;-0.856218;0.506795;0.095721;0.029779;0.179048;1.415317;0.314057;-0.905375;-0.393717;0.146099;0.062754;0.162342;1.370049;0.332507;-0.679730;-0.711180;0.176250;0.033560;f015fe83-9c02-4a03-a6fd-8cd8b92848e7;0.151337;1.369781;0.319791;-0.633639;-0.142027;-0.461408;-0.604510;0.148774;1.336282;0.261654;-0.564862;0.251035;-0.069542;-0.782992;0.137695;1.350107;0.292096;-0.673882;0.068015;-0.342224;-0.651260;0.170668;1.380753;0.334533;-0.633639;-0.142027;-0.461408;-0.604510;89;0.179007;1.314131;0.222293;-0.856218;0.506795;0.095721;0.029779
NA;46793;9;0.041216;1.571235;0.029842;0.998945;0.033024;0.028407;0.014510;0.119946;1.445970;0.318249;-0.905634;0.406441;0.120818;0.005983;0.138846;1.399806;0.272954;-0.907789;0.393948;0.135869;-0.047566;0.155803;1.342190;0.252281;-0.855924;0.507022;0.096766;0.030954;0.127170;1.428662;0.299771;-0.922086;0.360363;0.138656;-0.025918;0.115195;1.464611;0.333019;-0.905634;0.406441;0.120818;0.005983;0.156390;1.463013;0.319647;-0.878156;0.460214;0.084257;0.099729;0.162833;1.403045;0.272978;-0.887808;0.451659;0.071824;0.051411;0.174007;1.343151;0.250701;-0.855924;0.507022;0.096766;0.030954;0.159062;1.440682;0.300029;-0.908349;0.406864;0.076070;0.059815;0.155505;1.485981;0.333957;-0.878156;0.460214;0.084257;0.099729;0.170912;1.358477;0.247774;-0.855924;0.507022;0.096766;0.030954;0.183659;1.369101;0.317639;-0.419873;-0.870013;0.258382;0.004781;0.202611;1.382193;0.282256;-0.974655;0.077100;0.161093;0.134726;0.196894;1.342355;0.253518;-0.845027;0.450767;0.079090;0.276557;0.192852;1.388640;0.313413;-0.767922;-0.599932;0.209873;0.079572;0.177490;1.351253;0.303175;-0.419873;-0.870013;0.258382;0.004781;2023/05/01 14:29:58.6645;0.169886;1.397312;0.333714;-0.709059;-0.681024;0.179191;0.036488;0.183552;1.395311;0.277278;-0.961069;0.247082;0.080085;0.094256;0.188855;1.344413;0.248986;-0.855924;0.507022;0.096766;0.030954;0.179017;1.416012;0.313823;-0.917170;-0.364601;0.146914;0.065430;0.161805;1.372245;0.335692;-0.709059;-0.681024;0.179191;0.036488;f015fe83-9c02-4a03-a6fd-8cd8b92848e7;0.151242;1.369611;0.319925;-0.634356;-0.142588;-0.461514;-0.603545;0.148674;1.336112;0.261837;-0.565276;0.252034;-0.069122;-0.782409;0.137535;1.349958;0.292248;-0.674631;0.067588;-0.342648;-0.650306;0.170607;1.380540;0.334654;-0.634356;-0.142588;-0.461514;-0.603545;100;0.178991;1.313910;0.222571;-0.855924;0.507022;0.096766;0.030954
NA;46794;10;0.041220;1.571116;0.029799;0.998940;0.033157;0.028272;0.014866;0.119934;1.446516;0.317121;-0.905186;0.406787;0.122785;0.009341;0.138902;1.400187;0.272026;-0.907044;0.395380;0.137843;-0.044110;0.155717;1.342457;0.251556;-0.855128;0.507821;0.098363;0.034625;0.127195;1.429157;0.298706;-0.921529;0.361189;0.140770;-0.022627;0.115173;1.465182;0.331858;-0.905186;0.406787;0.122785;0.009341;0.156352;1.463391;0.318706;-0.877644;0.460019;0.086745;0.102954;0.162904;1.403309;0.272203;-0.886855;0.452758;0.074208;0.054691;0.173935;1.343327;0.250094;-0.855128;0.507821;0.098363;0.034625;0.159086;1.441031;0.299128;-0.907766;0.407202;0.078681;0.062904;0.155439;1.486362;0.333007;-0.877644;0.460019;0.086745;0.102954;0.170931;1.358663;0.247122;-0.855128;0.507821;0.098363;0.034625;0.183273;1.369423;0.317083;-0.420508;-0.868706;0.261760;0.002220;0.202519;1.382279;0.281774;-0.973639;0.079082;0.164435;0.136872;0.196796;1.342424;0.253061;-0.843734;0.450709;0.080979;0.280029;0.192583;1.388902;0.312837;-0.768275;-0.598123;0.213964;0.078886;0.177126;1.351551;0.302639;-0.420508;-0.868706;0.261760;0.002220;2023/05/01 14:29:58.6757;0.169520;1.397969;0.333102;-0.713907;-0.674854;0.183339;0.036009;0.183557;1.395481;0.276651;-0.959927;0.249454;0.083030;0.097049;0.188797;1.344513;0.248473;-0.855128;0.507821;0.098363;0.034625;0.178868;1.416394;0.313056;-0.918578;-0.359264;0.150836;0.066277;0.161260;1.372992;0.335440;-0.713907;-0.674854;0.183339;0.036009;f015fe83-9c02-4a03-a6fd-8cd8b92848e7;0.150883;1.370001;0.319124;-0.637373;-0.141318;-0.459567;-0.602149;0.148499;1.336428;0.261078;-0.567196;0.254734;-0.068565;-0.780191;0.137238;1.350374;0.291397;-0.677227;0.069140;-0.341345;-0.648125;0.170206;1.380859;0.333961;-0.637373;-0.141318;-0.459567;-0.602149;111;0.178958;1.314017;0.222040;-0.855128;0.507821;0.098363;0.034625
