Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;58922;1;0.011296;1.523513;0.039720;0.997692;0.040100;-0.045956;0.029865;-0.035643;1.418350;0.411978;0.861924;0.377837;0.284867;-0.182146;-0.072127;1.400798;0.375353;0.858827;-0.369101;0.349355;0.064279;-0.092912;1.345849;0.387954;0.679566;-0.605405;0.383795;0.156132;-0.050638;1.427197;0.394152;0.919270;0.150835;0.345756;-0.112449;-0.027217;1.401747;0.425405;0.861924;0.377837;0.284867;-0.182146;-0.046541;1.423168;0.425211;0.816857;0.448000;0.315120;-0.180943;-0.090253;1.407178;0.387825;0.843825;-0.358311;0.391937;0.077189;-0.107387;1.348866;0.396893;0.679566;-0.605405;0.383795;0.156132;-0.063575;1.436455;0.407014;0.893636;0.199398;0.371650;-0.153401;-0.037072;1.402141;0.436384;0.816857;0.448000;0.315120;-0.180943;-0.108023;1.361464;0.388892;0.679566;-0.605405;0.383795;0.156132;-0.077644;1.418383;0.444067;0.783307;0.308623;0.531893;-0.090955;-0.113331;1.397049;0.423162;0.793693;-0.361098;0.445397;0.203177;-0.123122;1.352530;0.412540;0.690472;-0.472242;0.404357;0.369773;-0.095683;1.420804;0.433948;0.861109;0.089476;0.499045;0.037924;-0.059484;1.406377;0.449802;0.783307;0.308623;0.531893;-0.090955;2023/05/02 14:12:27.5592;-0.059375;1.425327;0.436113;0.793145;0.396372;0.427698;-0.175742;-0.102777;1.404534;0.404878;0.823317;-0.373143;0.404998;0.137440;-0.119854;1.351897;0.404233;0.679566;-0.605405;0.383795;0.156132;-0.080215;1.433551;0.420610;0.882969;0.135826;0.443891;-0.069843;-0.045061;1.406909;0.445098;0.793145;0.396372;0.427698;-0.175742;098488ab-54a2-432e-8612-2a6918f976ff;-0.036682;1.386039;0.415074;0.622321;-0.447708;-0.127583;-0.629282;-0.081497;1.341928;0.391791;0.478375;-0.596074;0.015896;-0.644671;-0.055371;1.360256;0.401421;0.616535;-0.546932;-0.061956;-0.562949;-0.025655;1.404393;0.428444;0.622321;-0.447708;-0.127583;-0.629282;10;-0.125794;1.315751;0.389959;0.679566;-0.605405;0.383795;0.156132
NA;58923;2;0.011013;1.524425;0.040935;0.997720;0.037225;-0.046435;0.031844;-0.035825;1.418586;0.412532;0.861272;0.379490;0.286906;-0.178558;-0.072226;1.401030;0.375805;0.859743;-0.367337;0.348227;0.068153;-0.092697;1.345886;0.388066;0.680944;-0.604247;0.381815;0.159433;-0.050890;1.427437;0.394767;0.919092;0.152344;0.346866;-0.108375;-0.027282;1.401957;0.425852;0.861272;0.379490;0.286906;-0.178558;-0.046730;1.423282;0.425817;0.816438;0.448514;0.317706;-0.176995;-0.090379;1.407229;0.388329;0.844703;-0.356653;0.390740;0.081222;-0.107183;1.348765;0.397033;0.680944;-0.604247;0.381815;0.159433;-0.063876;1.436541;0.407705;0.893528;0.200426;0.373117;-0.149067;-0.037078;1.402283;0.436885;0.816438;0.448514;0.317706;-0.176995;-0.107895;1.361411;0.389114;0.680944;-0.604247;0.381815;0.159433;-0.077873;1.418298;0.444648;0.783278;0.307246;0.533667;-0.085297;-0.113378;1.396746;0.423614;0.793844;-0.360678;0.443283;0.207903;-0.122928;1.352242;0.412714;0.690823;-0.471043;0.402067;0.373127;-0.095935;1.420588;0.434538;0.860728;0.089096;0.499319;0.043470;-0.059580;1.406476;0.450340;0.783278;0.307246;0.533667;-0.085297;2023/05/02 14:12:27.5704;-0.059593;1.425399;0.436748;0.793459;0.395083;0.430419;-0.170505;-0.102878;1.404407;0.405372;0.823969;-0.371868;0.403334;0.141813;-0.119663;1.351680;0.404401;0.680944;-0.604247;0.381815;0.159433;-0.080521;1.433482;0.421288;0.882927;0.135529;0.444879;-0.064457;-0.045062;1.407121;0.445669;0.793459;0.395083;0.430419;-0.170505;098488ab-54a2-432e-8612-2a6918f976ff;-0.036729;1.386328;0.415286;0.626066;-0.446086;-0.127188;-0.626795;-0.081258;1.342005;0.391870;0.482153;-0.595671;0.015883;-0.642224;-0.055243;1.360472;0.401532;0.620169;-0.545585;-0.062056;-0.560246;-0.025824;1.404698;0.428735;0.626066;-0.446086;-0.127188;-0.626795;21;-0.125410;1.315594;0.389899;0.680944;-0.604247;0.381815;0.159433
NA;58924;3;0.010881;1.524288;0.041148;0.997701;0.035843;-0.046861;0.033341;-0.035347;1.418382;0.412292;0.862009;0.377687;0.286166;-0.180005;-0.071811;1.400782;0.375609;0.859276;-0.368190;0.348848;0.066220;-0.092486;1.345743;0.387995;0.680563;-0.604409;0.382983;0.157633;-0.050395;1.427184;0.394488;0.919317;0.150644;0.346478;-0.110072;-0.026833;1.401801;0.425691;0.862009;0.377687;0.286166;-0.180005;-0.046233;1.423153;0.425579;0.817403;0.446733;0.317049;-0.178221;-0.089946;1.407077;0.388111;0.844373;-0.357260;0.391289;0.079325;-0.106964;1.348696;0.396950;0.680563;-0.604409;0.382983;0.157633;-0.063358;1.436363;0.407411;0.893834;0.198840;0.372633;-0.150561;-0.036605;1.402197;0.436747;0.817403;0.446733;0.317049;-0.178221;-0.107627;1.361326;0.389001;0.680563;-0.604409;0.382983;0.157633;-0.077439;1.418305;0.444400;0.783979;0.306133;0.533040;-0.086763;-0.112995;1.396764;0.423413;0.793661;-0.361324;0.443934;0.206082;-0.122702;1.352268;0.412618;0.690995;-0.471217;0.403252;0.371308;-0.095491;1.420592;0.434271;0.861064;0.087995;0.499077;0.041800;-0.059166;1.406479;0.450149;0.783979;0.306133;0.533040;-0.086763;2023/05/02 14:12:27.5816;-0.059114;1.425332;0.436496;0.794205;0.393812;0.429672;-0.171848;-0.102461;1.404342;0.405157;0.823731;-0.372431;0.403946;0.139965;-0.119436;1.351674;0.404308;0.680563;-0.604409;0.382983;0.157633;-0.080022;1.433394;0.420999;0.883193;0.134294;0.444494;-0.066040;-0.044611;1.407070;0.445496;0.794205;0.393812;0.429672;-0.171848;098488ab-54a2-432e-8612-2a6918f976ff;-0.036349;1.385995;0.415181;0.624019;-0.446917;-0.126835;-0.628314;-0.081062;1.341829;0.391812;0.480215;-0.595765;0.016380;-0.643575;-0.054975;1.360200;0.401465;0.618306;-0.546151;-0.061527;-0.561811;-0.025358;1.404338;0.428597;0.624019;-0.446917;-0.126835;-0.628314;33;-0.125309;1.315574;0.389891;0.680563;-0.604409;0.382983;0.157633
NA;58925;4;0.010693;1.524070;0.041271;0.997679;0.035436;-0.047173;0.033996;-0.034924;1.418203;0.412069;0.862738;0.375870;0.285563;-0.181269;-0.071448;1.400555;0.375429;0.858822;-0.369001;0.349435;0.064491;-0.092305;1.345610;0.387929;0.680207;-0.604552;0.384047;0.156025;-0.049959;1.426954;0.394229;0.919527;0.148957;0.346172;-0.111569;-0.026430;1.401673;0.425543;0.862738;0.375870;0.285563;-0.181269;-0.045792;1.423038;0.425359;0.818291;0.445051;0.316497;-0.179329;-0.089565;1.406936;0.387912;0.844049;-0.357830;0.391809;0.077619;-0.106775;1.348630;0.396874;0.680207;-0.604552;0.384047;0.156025;-0.062900;1.436199;0.407140;0.894111;0.197324;0.372231;-0.151899;-0.036181;1.402122;0.436619;0.818291;0.445051;0.316497;-0.179329;-0.107396;1.361244;0.388897;0.680207;-0.604552;0.384047;0.156025;-0.077052;1.418304;0.444171;0.784591;0.305125;0.532490;-0.088145;-0.112657;1.396775;0.423231;0.793480;-0.361888;0.444575;0.204403;-0.122506;1.352287;0.412530;0.691134;-0.471367;0.404333;0.369678;-0.095095;1.420588;0.434027;0.861350;0.086986;0.498889;0.040250;-0.058797;1.406475;0.449971;0.784591;0.305125;0.532490;-0.088145;2023/05/02 14:12:27.5929;-0.058688;1.425264;0.436263;0.794830;0.392728;0.428994;-0.173129;-0.102094;1.404279;0.404960;0.823497;-0.372938;0.404534;0.138283;-0.119240;1.351665;0.404222;0.680207;-0.604552;0.384047;0.156025;-0.079579;1.433310;0.420735;0.883410;0.133206;0.444167;-0.067515;-0.044213;1.407013;0.445331;0.794830;0.392728;0.428994;-0.173129;098488ab-54a2-432e-8612-2a6918f976ff;-0.036008;1.385674;0.415101;0.622074;-0.447616;-0.126401;-0.629831;-0.080894;1.341667;0.391757;0.478454;-0.595721;0.016915;-0.644912;-0.054741;1.359942;0.401413;0.616571;-0.546581;-0.060949;-0.563360;-0.024933;1.403986;0.428490;0.622074;-0.447616;-0.126401;-0.629831;44;-0.125226;1.315552;0.389883;0.680207;-0.604552;0.384047;0.156025
NA;58926;5;0.010598;1.523774;0.041291;0.997628;0.036187;-0.047454;0.034313;-0.035194;1.418257;0.412645;0.862770;0.375772;0.287024;-0.179002;-0.071690;1.400554;0.375962;0.859184;-0.368238;0.348927;0.066737;-0.092424;1.345502;0.388196;0.681485;-0.603268;0.383079;0.157785;-0.050286;1.426970;0.394834;0.919506;0.148988;0.347005;-0.109084;-0.026605;1.401749;0.426085;0.862770;0.375772;0.287024;-0.179002;-0.046070;1.422856;0.426008;0.817527;0.446369;0.317666;-0.177459;-0.089818;1.406834;0.388481;0.844851;-0.356094;0.391259;0.079630;-0.106898;1.348446;0.397158;0.681485;-0.603268;0.383079;0.157785;-0.063217;1.436058;0.407856;0.893797;0.198954;0.372957;-0.149823;-0.036394;1.401919;0.437173;0.817527;0.446369;0.317666;-0.177459;-0.107549;1.361099;0.389245;0.681485;-0.603268;0.383079;0.157785;-0.077338;1.417980;0.444798;0.784023;0.306067;0.533209;-0.085552;-0.112879;1.396448;0.423754;0.794043;-0.360605;0.443547;0.206702;-0.122634;1.351992;0.412836;0.691848;-0.470055;0.402982;0.371484;-0.095389;1.420261;0.434667;0.861057;0.088361;0.498944;0.042765;-0.059043;1.406186;0.450543;0.784023;0.306067;0.533209;-0.085552;2023/05/02 14:12:27.6041;-0.058964;1.424973;0.436924;0.794034;0.394143;0.429950;-0.171185;-0.102337;1.404065;0.405519;0.824301;-0.371151;0.403895;0.140153;-0.119368;1.351418;0.404524;0.681485;-0.603268;0.383079;0.157785;-0.079874;1.433056;0.421441;0.883094;0.135004;0.444557;-0.065490;-0.044444;1.406712;0.445901;0.794034;0.394143;0.429950;-0.171185;098488ab-54a2-432e-8612-2a6918f976ff;-0.036270;1.385668;0.415444;0.624540;-0.446315;-0.125987;-0.628395;-0.081004;1.341565;0.392001;0.480722;-0.595473;0.017352;-0.643441;-0.054903;1.359906;0.401676;0.618927;-0.545547;-0.060749;-0.561799;-0.025274;1.403980;0.428897;0.624540;-0.446315;-0.125987;-0.628395;55;-0.125279;1.315364;0.390008;0.681485;-0.603268;0.383079;0.157785
NA;58927;6;0.010415;1.523578;0.041279;0.997583;0.037689;-0.047317;0.034197;-0.034834;1.418377;0.412196;0.863213;0.373306;0.288525;-0.179611;-0.071487;1.400591;0.375650;0.858349;-0.368630;0.350573;0.066693;-0.092287;1.345574;0.387927;0.681158;-0.602601;0.384592;0.158063;-0.049996;1.427017;0.394410;0.919183;0.147072;0.348522;-0.109563;-0.026169;1.401942;0.425677;0.863213;0.373306;0.288525;-0.179611;-0.045648;1.422885;0.425661;0.817817;0.444586;0.319094;-0.178038;-0.089568;1.406901;0.388222;0.844516;-0.355300;0.392749;0.079394;-0.106731;1.348543;0.396932;0.681158;-0.602601;0.384592;0.158063;-0.062855;1.436058;0.407544;0.893371;0.198054;0.374262;-0.150302;-0.035902;1.401997;0.436857;0.817817;0.444586;0.319094;-0.178038;-0.107381;1.361199;0.389025;0.681158;-0.602601;0.384592;0.158063;-0.076923;1.418060;0.444514;0.783572;0.305391;0.534211;-0.085851;-0.112547;1.396549;0.423558;0.793594;-0.359990;0.444814;0.206776;-0.122415;1.352114;0.412657;0.691674;-0.469063;0.404360;0.371564;-0.094999;1.420339;0.434428;0.860446;0.088283;0.500037;0.042461;-0.058606;1.406286;0.450227;0.783572;0.305391;0.534211;-0.085851;2023/05/02 14:12:27.6148;-0.058528;1.425012;0.436608;0.793892;0.392960;0.431128;-0.171603;-0.102043;1.404151;0.405295;0.824020;-0.370265;0.405331;0.140007;-0.119175;1.351536;0.404336;0.681158;-0.602601;0.384592;0.158063;-0.079480;1.433086;0.421177;0.882528;0.134628;0.445737;-0.065872;-0.043961;1.406785;0.445576;0.793892;0.392960;0.431128;-0.171603;098488ab-54a2-432e-8612-2a6918f976ff;-0.035989;1.385649;0.414994;0.624134;-0.447585;-0.124475;-0.628196;-0.080864;1.341614;0.391697;0.480172;-0.596535;0.018610;-0.642833;-0.054702;1.359914;0.401284;0.618634;-0.546462;-0.059373;-0.561380;-0.024909;1.403941;0.428407;0.624134;-0.447585;-0.124475;-0.628196;66;-0.125194;1.315497;0.389828;0.681158;-0.602601;0.384592;0.158063
NA;58928;7;0.010294;1.523405;0.041260;0.997548;0.039205;-0.047116;0.033789;-0.034501;1.418508;0.411766;0.863776;0.370583;0.290050;-0.180086;-0.071308;1.400626;0.375354;0.857505;-0.369083;0.352164;0.066663;-0.092168;1.345641;0.387671;0.680847;-0.601966;0.386016;0.158355;-0.049736;1.427065;0.394001;0.918899;0.144986;0.350019;-0.109953;-0.025752;1.402157;0.425294;0.863776;0.370583;0.290050;-0.180086;-0.045252;1.422920;0.425340;0.818298;0.442457;0.320612;-0.178406;-0.089343;1.406964;0.387977;0.844228;-0.354465;0.394166;0.079166;-0.106581;1.348632;0.396717;0.680847;-0.601966;0.386016;0.158355;-0.062522;1.436052;0.407253;0.893014;0.196967;0.375556;-0.150623;-0.035422;1.402095;0.436579;0.818298;0.442457;0.320612;-0.178406;-0.107232;1.361292;0.388817;0.680847;-0.601966;0.386016;0.158355;-0.076542;1.418137;0.444248;0.783206;0.304562;0.535198;-0.085992;-0.112244;1.396641;0.423373;0.793174;-0.359381;0.446009;0.206875;-0.122218;1.352226;0.412488;0.691500;-0.468118;0.405656;0.371667;-0.094642;1.420410;0.434204;0.859870;0.088111;0.501073;0.042268;-0.058198;1.406391;0.449933;0.783206;0.304562;0.535198;-0.085992;2023/05/02 14:12:27.6266;-0.058125;1.425057;0.436315;0.793909;0.391496;0.432358;-0.171775;-0.101776;1.404230;0.405083;0.823782;-0.369360;0.406674;0.139902;-0.119000;1.351645;0.404157;0.680847;-0.601966;0.386016;0.158355;-0.079120;1.433111;0.420931;0.882018;0.134088;0.446877;-0.066071;-0.043499;1.406877;0.445283;0.793909;0.391496;0.432358;-0.171775;098488ab-54a2-432e-8612-2a6918f976ff;-0.035728;1.385621;0.414574;0.623655;-0.448834;-0.122894;-0.628092;-0.080740;1.341660;0.391407;0.479660;-0.597478;0.019864;-0.642302;-0.054520;1.359916;0.400916;0.618342;-0.547287;-0.057996;-0.561041;-0.024560;1.403888;0.427947;0.623655;-0.448834;-0.122894;-0.628092;77;-0.125121;1.315620;0.389656;0.680847;-0.601966;0.386016;0.158355
NA;58929;8;0.010057;1.523681;0.041509;0.997555;0.040654;-0.046540;0.032634;-0.034479;1.418764;0.411255;0.864589;0.368990;0.289110;-0.180963;-0.071291;1.400821;0.374858;0.857174;-0.370101;0.352198;0.065085;-0.092214;1.345917;0.387425;0.679683;-0.603377;0.386432;0.156965;-0.049685;1.427277;0.393444;0.919252;0.143572;0.349287;-0.111181;-0.025758;1.402461;0.424860;0.864589;0.368990;0.289110;-0.180963;-0.045238;1.423269;0.424781;0.819320;0.440838;0.319696;-0.179363;-0.089328;1.407234;0.387440;0.843777;-0.355790;0.394252;0.077592;-0.106632;1.348963;0.396445;0.679683;-0.603377;0.386432;0.156965;-0.062476;1.436352;0.406628;0.893454;0.195482;0.374766;-0.151911;-0.035437;1.402485;0.436120;0.819320;0.440838;0.319696;-0.179363;-0.107261;1.361583;0.388475;0.679683;-0.603377;0.386432;0.156965;-0.076585;1.418712;0.443657;0.784315;0.302182;0.534766;-0.086954;-0.112262;1.397093;0.422868;0.792357;-0.361632;0.446168;0.205736;-0.122270;1.352638;0.412177;0.690746;-0.469613;0.406489;0.370270;-0.094679;1.420926;0.433587;0.860279;0.085760;0.500871;0.041159;-0.058234;1.407015;0.449423;0.784315;0.302182;0.534766;-0.086954;2023/05/02 14:12:27.6373;-0.058125;1.425535;0.435724;0.795070;0.389500;0.431660;-0.172695;-0.101775;1.404589;0.404551;0.823163;-0.371067;0.406837;0.138547;-0.119048;1.352017;0.403851;0.679683;-0.603377;0.386432;0.156965;-0.079107;1.433521;0.420287;0.882482;0.132082;0.446385;-0.067237;-0.043504;1.407403;0.444795;0.795070;0.389500;0.431660;-0.172695;098488ab-54a2-432e-8612-2a6918f976ff;-0.035816;1.386008;0.414238;0.622301;-0.449958;-0.124657;-0.628284;-0.080795;1.341947;0.391201;0.478202;-0.598089;0.018038;-0.642875;-0.054586;1.360242;0.400665;0.617002;-0.548231;-0.059811;-0.561404;-0.024654;1.404332;0.427537;0.622301;-0.449958;-0.124657;-0.628284;88;-0.125193;1.315932;0.389509;0.679683;-0.603377;0.386432;0.156965
NA;58930;9;0.009870;1.523435;0.041510;0.997576;0.041651;-0.045946;0.031552;-0.034461;1.418959;0.410785;0.865155;0.367958;0.288146;-0.181897;-0.071280;1.401006;0.374387;0.857017;-0.370687;0.352247;0.063518;-0.092263;1.346178;0.387192;0.678582;-0.604681;0.386845;0.155689;-0.049634;1.427453;0.392937;0.919508;0.142732;0.348553;-0.112445;-0.025778;1.402685;0.424448;0.865155;0.367958;0.288146;-0.181897;-0.045230;1.423576;0.424250;0.820123;0.439598;0.318768;-0.180386;-0.089319;1.407487;0.386933;0.843372;-0.356937;0.394374;0.076089;-0.106686;1.349276;0.396188;0.678582;-0.604681;0.386845;0.155689;-0.062433;1.436626;0.406040;0.893794;0.194331;0.374018;-0.153229;-0.035466;1.402821;0.435673;0.820123;0.439598;0.318768;-0.180386;-0.107292;1.361856;0.388150;0.678582;-0.604681;0.386845;0.155689;-0.076630;1.419256;0.443091;0.785327;0.299917;0.534407;-0.087867;-0.112280;1.397516;0.422390;0.791522;-0.363828;0.446326;0.204731;-0.122322;1.353025;0.411881;0.690026;-0.470990;0.407290;0.368983;-0.094718;1.421413;0.433000;0.860629;0.083528;0.500730;0.040126;-0.058272;1.407606;0.448931;0.785327;0.299917;0.534407;-0.087867;2023/05/02 14:12:27.6485;-0.058129;1.425979;0.435160;0.796088;0.387722;0.431016;-0.173612;-0.101777;1.404926;0.404047;0.822557;-0.372671;0.407017;0.137306;-0.119096;1.352365;0.403560;0.678582;-0.604681;0.386845;0.155689;-0.079098;1.433907;0.419676;0.882882;0.130267;0.445957;-0.068359;-0.043514;1.407888;0.444324;0.796088;0.387722;0.431016;-0.173612;098488ab-54a2-432e-8612-2a6918f976ff;-0.035915;1.386377;0.413937;0.621025;-0.450937;-0.126355;-0.628505;-0.080854;1.342219;0.391008;0.476883;-0.598560;0.016257;-0.643463;-0.054659;1.360552;0.400439;0.615775;-0.549022;-0.061594;-0.561786;-0.024761;1.404753;0.427170;0.621025;-0.450937;-0.126355;-0.628505;99;-0.125265;1.316226;0.389367;0.678582;-0.604681;0.386845;0.155689
NA;58931;10;0.009696;1.523208;0.041490;0.997592;0.042645;-0.045173;0.030833;-0.034447;1.419105;0.410349;0.865527;0.367364;0.287165;-0.182874;-0.071276;1.401180;0.373937;0.857002;-0.370928;0.352309;0.061961;-0.092314;1.346427;0.386970;0.677531;-0.605898;0.387256;0.154506;-0.049582;1.427600;0.392470;0.919688;0.142345;0.347817;-0.113733;-0.025808;1.402845;0.424057;0.865527;0.367364;0.287165;-0.182874;-0.045226;1.423849;0.423742;0.820758;0.438647;0.317837;-0.181453;-0.089315;1.407726;0.386449;0.843004;-0.357942;0.394524;0.074644;-0.106743;1.349573;0.395944;0.677531;-0.605898;0.387256;0.154506;-0.062391;1.436879;0.405482;0.894056;0.193438;0.373304;-0.154564;-0.035505;1.403113;0.435237;0.820758;0.438647;0.317837;-0.181453;-0.107327;1.362116;0.387839;0.677531;-0.605898;0.387256;0.154506;-0.076677;1.419774;0.442548;0.786261;0.297740;0.534108;-0.088733;-0.112300;1.397915;0.421936;0.790674;-0.365977;0.446483;0.203834;-0.122374;1.353391;0.411599;0.689333;-0.472268;0.408066;0.367784;-0.094761;1.421876;0.432438;0.860933;0.081389;0.500637;0.039157;-0.058311;1.408171;0.448455;0.786261;0.297740;0.534108;-0.088733;2023/05/02 14:12:27.6597;-0.058134;1.426396;0.434619;0.796995;0.386111;0.430419;-0.174520;-0.101783;1.405243;0.403568;0.821963;-0.374191;0.407210;0.136158;-0.119145;1.352696;0.403282;0.677531;-0.605898;0.387256;0.154506;-0.079092;1.434271;0.419094;0.883233;0.128600;0.445579;-0.069442;-0.043527;1.408341;0.443867;0.796995;0.386111;0.430419;-0.174520;098488ab-54a2-432e-8612-2a6918f976ff;-0.036022;1.386730;0.413664;0.619814;-0.451803;-0.128000;-0.628746;-0.080915;1.342480;0.390826;0.475677;-0.598921;0.014515;-0.644060;-0.054738;1.360850;0.400232;0.614639;-0.549691;-0.063351;-0.562179;-0.024877;1.405156;0.426837;0.619814;-0.451803;-0.128000;-0.628746;111;-0.125338;1.316505;0.389230;0.677531;-0.605898;0.387256;0.154506
