Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;21435;1;0.022180;1.626647;0.098785;0.991692;0.121982;-0.020109;0.035540;0.101340;1.609518;0.417833;-0.817429;0.561982;0.086804;0.091928;0.107412;1.549509;0.397297;-0.799650;0.592423;0.088437;0.042124;0.123705;1.490450;0.392772;-0.746910;0.643132;0.167081;0.024284;0.103853;1.586642;0.408280;-0.829406;0.545913;0.101345;0.061595;0.101009;1.631303;0.425059;-0.817429;0.561982;0.086804;0.091928;0.116936;1.534711;0.443367;-0.320982;-0.946251;0.020758;-0.033912;0.129820;1.553999;0.398877;-0.986809;0.097793;0.126978;0.022819;0.140275;1.491553;0.395610;-0.746910;0.643132;0.167081;0.024284;0.118987;1.562749;0.440628;-0.737597;-0.663042;0.109065;-0.066564;0.118482;1.518196;0.423835;-0.320982;-0.946251;0.020758;-0.033912;0.141688;1.506876;0.392150;-0.746910;0.643132;0.167081;0.024284;0.146145;1.521695;0.442759;-0.172201;-0.955780;0.207672;-0.117067;0.166483;1.541142;0.418227;-0.965242;-0.013907;0.246997;0.084297;0.165738;1.496155;0.405330;-0.753238;0.570902;0.190514;0.265345;0.151391;1.541608;0.445869;-0.651414;-0.722772;0.228586;-0.031771;0.148798;1.512229;0.422507;-0.172201;-0.955780;0.207672;-0.117067;2023/05/02 14:52:14.3977;0.132083;1.523762;0.442233;-0.192919;-0.970664;0.112236;-0.089428;0.148905;1.549906;0.407462;-0.985593;0.001240;0.163901;0.041725;0.158717;1.495985;0.399785;-0.746910;0.643132;0.167081;0.024284;0.135992;1.550551;0.445296;-0.664213;-0.727520;0.164063;-0.051188;0.135170;1.512387;0.420190;-0.192919;-0.970664;0.112236;-0.089428;a2bac77d-8205-49bb-8ea6-dd549691b314;0.057680;1.525228;0.393348;-0.338170;0.748748;0.086150;-0.563557;0.112311;1.485244;0.395371;-0.438644;0.686695;0.024899;-0.579156;0.085068;1.504364;0.397227;-0.455040;0.741858;0.074954;-0.486794;0.034909;1.535102;0.388742;-0.338170;0.748748;0.086150;-0.563557;11;0.153557;1.459754;0.385423;-0.746910;0.643132;0.167081;0.024284
NA;21436;2;0.022354;1.626776;0.098850;0.991767;0.121415;-0.019955;0.035465;0.100458;1.609479;0.418517;-0.818970;0.560014;0.087172;0.089852;0.106763;1.549592;0.397698;-0.801140;0.590465;0.089000;0.040069;0.123257;1.490608;0.393016;-0.747903;0.641908;0.167574;0.022675;0.103058;1.586659;0.408853;-0.830881;0.543821;0.101741;0.059534;0.100043;1.631230;0.425841;-0.818970;0.560014;0.087172;0.089852;0.116410;1.534737;0.443723;-0.319764;-0.946710;0.018955;-0.033643;0.129158;1.554156;0.399254;-0.987046;0.096621;0.126307;0.021260;0.139830;1.491764;0.395823;-0.747903;0.641908;0.167574;0.022675;0.118365;1.562787;0.441040;-0.736878;-0.664050;0.107445;-0.067119;0.117979;1.518276;0.424148;-0.319764;-0.946710;0.018955;-0.033643;0.141180;1.507092;0.392388;-0.747903;0.641908;0.167574;0.022675;0.145662;1.521791;0.443030;-0.170964;-0.956437;0.206109;-0.116270;0.165897;1.541378;0.418512;-0.965563;-0.015651;0.246069;0.083022;0.165288;1.496422;0.405502;-0.754579;0.569822;0.190569;0.263812;0.150848;1.541713;0.446179;-0.650662;-0.723977;0.226887;-0.031919;0.148311;1.512385;0.422749;-0.170964;-0.956437;0.206109;-0.116270;2023/05/02 14:52:14.4085;0.131586;1.523828;0.442540;-0.191835;-0.971114;0.110744;-0.088728;0.148271;1.550108;0.407798;-0.985797;-0.000179;0.163000;0.040441;0.158259;1.496241;0.399967;-0.747903;0.641908;0.167574;0.022675;0.135421;1.550621;0.445655;-0.663474;-0.728541;0.162465;-0.051340;0.134667;1.512510;0.420466;-0.191835;-0.971114;0.110744;-0.088728;a2bac77d-8205-49bb-8ea6-dd549691b314;0.057163;1.525236;0.393903;-0.339048;0.747091;0.086932;-0.565106;0.111888;1.485363;0.395640;-0.438734;0.685306;0.025826;-0.580690;0.084601;1.504408;0.397620;-0.455844;0.740228;0.075472;-0.488439;0.034360;1.535089;0.389413;-0.339048;0.747091;0.086932;-0.565106;21;0.153202;1.460029;0.385522;-0.747903;0.641908;0.167574;0.022675
NA;21437;3;0.022547;1.626893;0.098917;0.991811;0.121127;-0.019759;0.035333;0.100351;1.610393;0.416884;-0.816441;0.563690;0.086284;0.090740;0.106443;1.550325;0.396520;-0.798955;0.593526;0.087918;0.040837;0.122801;1.491266;0.392261;-0.745485;0.644921;0.166771;0.022735;0.102865;1.587484;0.407408;-0.828555;0.547448;0.100763;0.060373;0.100018;1.632206;0.424023;-0.816441;0.563690;0.086284;0.090740;0.116080;1.535759;0.442639;-0.322737;-0.945702;0.019720;-0.033153;0.128849;1.554851;0.398031;-0.986719;0.100090;0.126057;0.021835;0.139375;1.492404;0.395058;-0.745485;0.644921;0.166771;0.022735;0.118092;1.563786;0.439763;-0.739251;-0.661414;0.107745;-0.066563;0.117606;1.519174;0.423166;-0.322737;-0.945702;0.019720;-0.033153;0.140762;1.507710;0.391516;-0.745485;0.644921;0.166771;0.022735;0.145306;1.522792;0.442033;-0.173925;-0.955744;0.206538;-0.116814;0.165567;1.542136;0.417369;-0.965581;-0.011532;0.246176;0.083176;0.164852;1.497085;0.404700;-0.752168;0.572941;0.190756;0.263806;0.150533;1.542724;0.445040;-0.653272;-0.721455;0.227411;-0.031973;0.147943;1.513259;0.421809;-0.173925;-0.955744;0.206538;-0.116814;2023/05/02 14:52:14.4198;0.131237;1.524847;0.441535;-0.194883;-0.970445;0.111182;-0.088860;0.147956;1.550825;0.406597;-0.985781;0.003798;0.162965;0.040784;0.157820;1.496878;0.399169;-0.745485;0.644921;0.166771;0.022735;0.135122;1.551656;0.444454;-0.666188;-0.725985;0.162840;-0.051208;0.134298;1.513390;0.419531;-0.194883;-0.970445;0.111182;-0.088860;a2bac77d-8205-49bb-8ea6-dd549691b314;0.056801;1.526060;0.392769;-0.337016;0.748875;0.083789;-0.564434;0.111419;1.486060;0.394914;-0.436688;0.687581;0.022987;-0.579662;0.084178;1.505190;0.396694;-0.453487;0.742514;0.072897;-0.487554;0.034035;1.535950;0.388175;-0.337016;0.748875;0.083789;-0.564434;33;0.152675;1.460569;0.385000;-0.745485;0.644921;0.166771;0.022735
NA;21438;4;0.022754;1.627012;0.098998;0.991863;0.120809;-0.019674;0.035021;0.100309;1.610749;0.416588;-0.815468;0.564810;0.087274;0.091571;0.106420;1.550625;0.396397;-0.798099;0.594485;0.088828;0.041671;0.122747;1.491547;0.392314;-0.744566;0.645767;0.167478;0.023603;0.102833;1.587813;0.407184;-0.827632;0.548576;0.101734;0.061160;0.099971;1.632585;0.423662;-0.815468;0.564810;0.087274;0.091571;0.115933;1.536154;0.442575;-0.323789;-0.945290;0.020463;-0.034184;0.128826;1.555138;0.397953;-0.986449;0.101176;0.127235;0.022214;0.139317;1.492681;0.395145;-0.744566;0.645767;0.167478;0.023603;0.117975;1.564172;0.439639;-0.739903;-0.660443;0.108837;-0.067177;0.117492;1.519523;0.423142;-0.323789;-0.945290;0.020463;-0.034184;0.140721;1.507975;0.391570;-0.744566;0.645767;0.167478;0.023603;0.145151;1.523168;0.442065;-0.174670;-0.955342;0.207022;-0.118125;0.165488;1.542440;0.417408;-0.965261;-0.010466;0.247424;0.083320;0.164772;1.497362;0.404836;-0.751214;0.573509;0.191761;0.264563;0.150388;1.543102;0.445042;-0.653792;-0.720611;0.228474;-0.032797;0.147830;1.513593;0.421867;-0.174670;-0.955342;0.207022;-0.118125;2023/05/02 14:52:14.4311;0.131082;1.525242;0.441539;-0.195989;-0.970046;0.111737;-0.090076;0.147909;1.551118;0.406574;-0.985561;0.005053;0.164197;0.041026;0.157753;1.497148;0.399289;-0.744566;0.645767;0.167478;0.023603;0.134985;1.552054;0.444398;-0.666954;-0.724987;0.163902;-0.051978;0.134186;1.513728;0.419570;-0.195989;-0.970046;0.111737;-0.090076;a2bac77d-8205-49bb-8ea6-dd549691b314;0.056808;1.526442;0.392594;-0.336651;0.749893;0.082799;-0.563445;0.111357;1.486358;0.394956;-0.436206;0.688850;0.022304;-0.578543;0.084138;1.505531;0.396622;-0.453024;0.743592;0.072148;-0.486451;0.034069;1.536365;0.387932;-0.336651;0.749893;0.082799;-0.563445;44;0.152617;1.460811;0.385187;-0.744566;0.645767;0.167478;0.023603
NA;21439;5;0.022947;1.627077;0.099100;0.991904;0.120588;-0.019584;0.034664;0.100239;1.611080;0.416341;-0.814636;0.565755;0.088200;0.092247;0.106378;1.550908;0.396297;-0.797364;0.595292;0.089688;0.042353;0.122680;1.491816;0.392370;-0.743765;0.646495;0.168120;0.024357;0.102777;1.588120;0.406998;-0.826842;0.549524;0.102645;0.061797;0.099894;1.632933;0.423359;-0.814636;0.565755;0.088200;0.092247;0.115780;1.536522;0.442527;-0.324741;-0.944916;0.021111;-0.035098;0.128782;1.555411;0.397893;-0.986207;0.102143;0.128278;0.022537;0.139245;1.492946;0.395232;-0.743765;0.646495;0.168120;0.024357;0.117849;1.564533;0.439539;-0.740485;-0.659575;0.109795;-0.067729;0.117369;1.519851;0.423132;-0.324741;-0.944916;0.021111;-0.035098;0.140665;1.508229;0.391625;-0.743765;0.646495;0.168120;0.024357;0.144991;1.523518;0.442103;-0.175355;-0.954981;0.207453;-0.119268;0.165395;1.542729;0.417452;-0.964978;-0.009558;0.248523;0.083444;0.164680;1.497627;0.404963;-0.750386;0.573989;0.192659;0.265217;0.150238;1.543455;0.445053;-0.654257;-0.719859;0.229407;-0.033516;0.147706;1.513905;0.421928;-0.175355;-0.954981;0.207453;-0.119268;2023/05/02 14:52:14.4424;0.130922;1.525612;0.441554;-0.197030;-0.969678;0.112241;-0.091140;0.147845;1.551396;0.406564;-0.985365;0.006167;0.165279;0.041244;0.157673;1.497407;0.399402;-0.743765;0.646495;0.168120;0.024357;0.134842;1.552427;0.444358;-0.667656;-0.724080;0.164843;-0.052646;0.134063;1.514044;0.419618;-0.197030;-0.969678;0.112241;-0.091140;a2bac77d-8205-49bb-8ea6-dd549691b314;0.056799;1.526805;0.392462;-0.336404;0.750728;0.081847;-0.562620;0.111282;1.486641;0.395006;-0.435804;0.689929;0.021644;-0.577585;0.084085;1.505854;0.396575;-0.452686;0.744483;0.071393;-0.485515;0.034086;1.536762;0.387746;-0.336404;0.750728;0.081847;-0.562620;55;0.152547;1.461047;0.385358;-0.743765;0.646495;0.168120;0.024357
NA;21440;6;0.023144;1.627080;0.099202;0.991911;0.120615;-0.019744;0.034289;0.099587;1.611374;0.417054;-0.815785;0.564057;0.087797;0.092874;0.105672;1.551285;0.396751;-0.798596;0.593640;0.089379;0.042979;0.121944;1.492198;0.392623;-0.744865;0.645231;0.168019;0.024968;0.102105;1.588454;0.407609;-0.828034;0.547713;0.102327;0.062447;0.099262;1.633198;0.424165;-0.815785;0.564057;0.087797;0.092874;0.115044;1.536799;0.442961;-0.323593;-0.945299;0.021688;-0.035025;0.128079;1.555770;0.398370;-0.986285;0.101159;0.128332;0.023227;0.138508;1.493309;0.395494;-0.744865;0.645231;0.168019;0.024968;0.117144;1.564814;0.440032;-0.739805;-0.660293;0.110328;-0.067297;0.116620;1.520175;0.423525;-0.323593;-0.945299;0.021688;-0.035025;0.139937;1.508603;0.391941;-0.744865;0.645231;0.168019;0.024968;0.144252;1.523722;0.442474;-0.173479;-0.955225;0.208074;-0.118979;0.164678;1.542998;0.417897;-0.964894;-0.011117;0.248486;0.084320;0.163942;1.497941;0.405249;-0.751287;0.572680;0.192156;0.265860;0.149516;1.543642;0.445496;-0.652951;-0.720927;0.229864;-0.032908;0.146968;1.514186;0.422262;-0.173479;-0.955225;0.208074;-0.118979;2023/05/02 14:52:14.4531;0.130171;1.525862;0.441965;-0.195966;-0.969822;0.113025;-0.090931;0.147136;1.551713;0.407033;-0.985332;0.005021;0.165297;0.042096;0.156937;1.497744;0.399685;-0.744865;0.645231;0.168019;0.024968;0.134129;1.552665;0.444828;-0.666900;-0.724683;0.165445;-0.052027;0.133299;1.514340;0.420003;-0.195966;-0.969822;0.113025;-0.090931;a2bac77d-8205-49bb-8ea6-dd549691b314;0.056095;1.527245;0.392829;-0.338312;0.750061;0.082341;-0.562293;0.110541;1.487021;0.395239;-0.437196;0.689287;0.022457;-0.577269;0.083358;1.506248;0.396864;-0.454335;0.743683;0.071876;-0.485129;0.033397;1.537255;0.388158;-0.338312;0.750061;0.082341;-0.562293;66;0.151795;1.461436;0.385511;-0.744865;0.645231;0.168019;0.024968
NA;21441;7;0.023316;1.627041;0.099273;0.991933;0.120596;-0.019748;0.033703;0.099247;1.611297;0.415963;-0.815325;0.564244;0.090528;0.093162;0.105584;1.551203;0.395749;-0.798175;0.593765;0.092096;0.043336;0.122041;1.492157;0.391747;-0.744196;0.645266;0.170759;0.025411;0.101868;1.588372;0.406557;-0.827536;0.547924;0.105054;0.062667;0.098833;1.633128;0.423043;-0.815325;0.564244;0.090528;0.093162;0.114772;1.536771;0.442003;-0.323286;-0.945312;0.021115;-0.037761;0.127970;1.555752;0.397473;-0.985974;0.101208;0.130858;0.022109;0.138588;1.493316;0.394701;-0.744196;0.645266;0.170759;0.025411;0.116809;1.564791;0.439077;-0.739538;-0.660173;0.111199;-0.069934;0.116490;1.520159;0.422568;-0.323286;-0.945312;0.021115;-0.037761;0.139992;1.508614;0.391145;-0.744196;0.645266;0.170759;0.025411;0.144026;1.523774;0.441657;-0.172310;-0.955339;0.206923;-0.121741;0.164509;1.543102;0.417190;-0.964404;-0.011519;0.250872;0.082797;0.163962;1.498032;0.404580;-0.750932;0.572098;0.194918;0.266106;0.149208;1.543711;0.444714;-0.652178;-0.721329;0.230363;-0.035795;0.146883;1.514265;0.421452;-0.172310;-0.955339;0.206923;-0.121741;2023/05/02 14:52:14.4644;0.129935;1.525887;0.441099;-0.195643;-0.969743;0.112041;-0.093648;0.146996;1.551758;0.406232;-0.984983;0.005086;0.167722;0.040650;0.156985;1.497810;0.398981;-0.744196;0.645266;0.170759;0.025411;0.133802;1.552704;0.443963;-0.666664;-0.724564;0.166021;-0.054813;0.133206;1.514371;0.419155;-0.195643;-0.969743;0.112041;-0.093648;a2bac77d-8205-49bb-8ea6-dd549691b314;0.056096;1.527012;0.391528;-0.336813;0.751807;0.084070;-0.560604;0.110641;1.486947;0.394305;-0.435961;0.691160;0.024339;-0.575885;0.083397;1.506101;0.395752;-0.452927;0.745312;0.074027;-0.483621;0.033397;1.536952;0.386710;-0.336813;0.751807;0.084070;-0.560604;77;0.152015;1.461475;0.384816;-0.744196;0.645266;0.170759;0.025411
NA;21442;8;0.023500;1.626979;0.099307;0.991929;0.120795;-0.019797;0.033063;0.098912;1.611228;0.414936;-0.814863;0.564453;0.093091;0.093411;0.105487;1.551129;0.394810;-0.797777;0.593877;0.094647;0.043642;0.122122;1.492122;0.390919;-0.743593;0.645259;0.173335;0.025799;0.101630;1.588298;0.405570;-0.827033;0.548166;0.107609;0.062853;0.098414;1.633067;0.421986;-0.814863;0.564453;0.093091;0.093411;0.114507;1.536727;0.441094;-0.322653;-0.945436;0.020495;-0.040329;0.127852;1.555741;0.396632;-0.985701;0.101027;0.133209;0.021025;0.138650;1.493328;0.393950;-0.743593;0.645259;0.173335;0.025799;0.116481;1.564753;0.438184;-0.739098;-0.660267;0.111970;-0.072422;0.116360;1.520142;0.421648;-0.322653;-0.945436;0.020495;-0.040329;0.140031;1.508631;0.390394;-0.743593;0.645259;0.173335;0.025799;0.143806;1.523818;0.440878;-0.170914;-0.955512;0.205726;-0.124348;0.164336;1.543205;0.416523;-0.963942;-0.012056;0.253103;0.081302;0.163969;1.498124;0.403946;-0.750630;0.571514;0.197501;0.266308;0.148905;1.543770;0.443976;-0.651261;-0.721889;0.230754;-0.038568;0.146799;1.514347;0.420676;-0.170914;-0.955512;0.205726;-0.124348;2023/05/02 14:52:14.4757;0.129705;1.525901;0.440274;-0.195053;-0.969730;0.111007;-0.096210;0.146849;1.551805;0.405480;-0.984653;0.004971;0.169990;0.039216;0.157017;1.497879;0.398316;-0.743593;0.645259;0.173335;0.025799;0.133480;1.552729;0.443150;-0.666269;-0.724613;0.166487;-0.057478;0.133115;1.514403;0.418341;-0.195053;-0.969730;0.111007;-0.096210;a2bac77d-8205-49bb-8ea6-dd549691b314;0.056081;1.526784;0.390279;-0.335259;0.753556;0.085865;-0.558912;0.110723;1.486880;0.393420;-0.434785;0.692965;0.026217;-0.574522;0.083420;1.505963;0.394694;-0.451491;0.746931;0.076230;-0.482119;0.033382;1.536649;0.385313;-0.335259;0.753556;0.085865;-0.558912;88;0.152210;1.461520;0.384156;-0.743593;0.645259;0.173335;0.025799
NA;21443;9;0.023683;1.626921;0.099305;0.991893;0.121205;-0.020189;0.032404;0.098812;1.612137;0.415896;-0.815243;0.563097;0.094060;0.097226;0.105219;1.552070;0.395626;-0.798262;0.592779;0.095563;0.047520;0.121618;1.493002;0.391545;-0.744504;0.643835;0.174081;0.029755;0.101477;1.589224;0.406474;-0.827420;0.546914;0.108702;0.066670;0.098376;1.633957;0.423013;-0.815243;0.563097;0.094060;0.097226;0.113900;1.537427;0.441891;-0.320416;-0.946033;0.023663;-0.042374;0.127593;1.556575;0.397603;-0.985469;0.099113;0.135859;0.023870;0.138131;1.494121;0.394687;-0.744504;0.643835;0.174081;0.029755;0.116016;1.565458;0.439126;-0.737361;-0.661538;0.115819;-0.072469;0.115795;1.520927;0.422378;-0.320416;-0.946033;0.023663;-0.042374;0.139603;1.509440;0.391220;-0.744504;0.643835;0.174081;0.029755;0.143132;1.524371;0.441784;-0.167688;-0.955144;0.208962;-0.126160;0.163902;1.543787;0.417654;-0.962959;-0.014309;0.255683;0.084444;0.163413;1.498766;0.404865;-0.750772;0.569409;0.197874;0.270113;0.148316;1.544279;0.445020;-0.648722;-0.722950;0.234593;-0.038326;0.146200;1.515009;0.421542;-0.167688;-0.955144;0.208962;-0.126160;2023/05/02 14:52:14.4869;0.129045;1.526536;0.441125;-0.192816;-0.969600;0.114157;-0.098320;0.146519;1.552514;0.406546;-0.984061;0.003036;0.172771;0.042004;0.156495;1.498578;0.399193;-0.744504;0.643835;0.174081;0.029755;0.132934;1.553334;0.444141;-0.664331;-0.725489;0.170331;-0.057594;0.132527;1.515119;0.419162;-0.192816;-0.969600;0.114157;-0.098320;a2bac77d-8205-49bb-8ea6-dd549691b314;0.055742;1.527955;0.390551;-0.337862;0.755137;0.086696;-0.555069;0.110180;1.487793;0.393937;-0.437427;0.694319;0.027655;-0.570801;0.082951;1.506989;0.395081;-0.453963;0.747928;0.077334;-0.478060;0.033125;1.537945;0.385456;-0.337862;0.755137;0.086696;-0.555069;100;0.151614;1.462306;0.384836;-0.744504;0.643835;0.174081;0.029755
NA;21444;10;0.023866;1.626840;0.099264;0.991866;0.121546;-0.020311;0.031880;0.098697;1.613000;0.416773;-0.815509;0.561923;0.095017;0.100792;0.104951;1.552955;0.396388;-0.798590;0.591889;0.096457;0.051152;0.121134;1.493834;0.392120;-0.745360;0.642462;0.174822;0.033446;0.101314;1.590100;0.407304;-0.827687;0.545849;0.109770;0.070237;0.098317;1.634802;0.423946;-0.815509;0.561923;0.095017;0.100792;0.113312;1.538090;0.442632;-0.318327;-0.946571;0.026599;-0.044327;0.127331;1.557361;0.398511;-0.985233;0.097312;0.138366;0.026497;0.137631;1.494871;0.395368;-0.745360;0.642462;0.174822;0.033446;0.115558;1.566123;0.440004;-0.735696;-0.662743;0.119411;-0.072561;0.115249;1.521669;0.423055;-0.318327;-0.946571;0.026599;-0.044327;0.139188;1.510207;0.391987;-0.745360;0.642462;0.174822;0.033446;0.142477;1.524897;0.442625;-0.164584;-0.954781;0.212054;-0.127822;0.163474;1.544340;0.418709;-0.962014;-0.016514;0.258082;0.087461;0.162878;1.499378;0.405720;-0.750915;0.567393;0.198254;0.273658;0.147743;1.544761;0.445993;-0.646299;-0.723948;0.238226;-0.038023;0.145615;1.515639;0.422346;-0.164584;-0.954781;0.212054;-0.127822;2023/05/02 14:52:14.4977;0.128406;1.527139;0.441916;-0.190732;-0.969456;0.117119;-0.100295;0.146190;1.553186;0.407542;-0.983488;0.001190;0.175383;0.044617;0.155991;1.499242;0.400008;-0.745360;0.642462;0.174822;0.033446;0.132401;1.553905;0.445065;-0.662493;-0.726306;0.173936;-0.057702;0.131956;1.515796;0.419926;-0.190732;-0.969456;0.117119;-0.100295;a2bac77d-8205-49bb-8ea6-dd549691b314;0.055413;1.529054;0.390775;-0.340259;0.756690;0.087578;-0.551338;0.109660;1.488655;0.394407;-0.439858;0.695676;0.029126;-0.567197;0.082499;1.507954;0.395419;-0.456261;0.748907;0.078476;-0.474137;0.032876;1.539158;0.385552;-0.340259;0.756690;0.087578;-0.551338;111;0.151046;1.463053;0.385464;-0.745360;0.642462;0.174822;0.033446
