Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;7717;1;0.023585;1.632518;0.098998;0.989929;0.136486;-0.016263;0.033873;0.099948;1.606284;0.359062;-0.827187;0.522408;0.194375;0.071207;0.118349;1.548826;0.339314;-0.786225;0.584995;0.196234;0.033515;0.135708;1.491414;0.343408;-0.738814;0.637857;0.201821;0.080993;0.107875;1.585108;0.348590;-0.841910;0.495585;0.210371;0.036418;0.094895;1.627227;0.366984;-0.827187;0.522408;0.194375;0.071207;0.121010;1.617822;0.366695;-0.794806;0.550305;0.229129;0.113792;0.140525;1.552408;0.343809;-0.789910;0.571397;0.210354;0.072791;0.152825;1.492293;0.345898;-0.738814;0.637857;0.201821;0.080993;0.129560;1.593485;0.355186;-0.836327;0.497901;0.219924;0.065458;0.115673;1.642000;0.373297;-0.794806;0.550305;0.229129;0.113792;0.151374;1.504938;0.337838;-0.738814;0.637857;0.201821;0.080993;0.166974;1.588287;0.377577;-0.780799;0.506206;0.310111;0.194781;0.173904;1.537876;0.367442;-0.714241;0.626164;0.240742;0.199554;0.173121;1.493115;0.353785;-0.738439;0.550793;0.225226;0.317189;0.170944;1.569075;0.370589;-0.785362;0.510253;0.268077;0.225793;0.161107;1.609280;0.383205;-0.780799;0.506206;0.310111;0.194781;2023/05/02 14:49:41.5012;0.144485;1.610893;0.371075;-0.798940;0.519384;0.275718;0.126158;0.158188;1.547459;0.354681;-0.757016;0.602188;0.216068;0.132705;0.166865;1.493290;0.347389;-0.738814;0.637857;0.201821;0.080993;0.151499;1.586205;0.361932;-0.805369;0.519714;0.249199;0.138487;0.137785;1.634056;0.377666;-0.798940;0.519384;0.275718;0.126158;a2bac77d-8205-49bb-8ea6-dd549691b314;0.122195;1.543245;0.380924;-0.757588;0.023420;-0.533088;-0.375937;0.126742;1.488815;0.351970;-0.510513;0.522638;-0.192464;-0.655121;0.110466;1.515010;0.364625;-0.724050;0.295534;-0.421244;-0.459308;0.141592;1.555373;0.391596;-0.757588;0.023420;-0.533088;-0.375937;11;0.162222;1.457469;0.331868;-0.738814;0.637857;0.201821;0.080993
NA;7718;2;0.023817;1.632760;0.099000;0.990061;0.135669;-0.015431;0.033692;0.099182;1.606551;0.360076;-0.828329;0.520490;0.194745;0.070961;0.117694;1.549219;0.340065;-0.787631;0.582938;0.196761;0.033253;0.135141;1.491815;0.343887;-0.740383;0.635944;0.202141;0.080916;0.107149;1.585437;0.349512;-0.843015;0.493538;0.210802;0.036170;0.094092;1.627453;0.368085;-0.828329;0.520490;0.194745;0.070961;0.120221;1.618082;0.367778;-0.795972;0.548537;0.229372;0.113682;0.139864;1.552813;0.344578;-0.791431;0.569165;0.210781;0.072527;0.152256;1.492709;0.346382;-0.740383;0.635944;0.202141;0.080916;0.128813;1.593810;0.356164;-0.837457;0.495872;0.220269;0.065254;0.114846;1.642225;0.374475;-0.795972;0.548537;0.229372;0.113682;0.150786;1.505390;0.338383;-0.740383;0.635944;0.202141;0.080916;0.166262;1.588591;0.378454;-0.781494;0.505118;0.310029;0.194950;0.173265;1.538222;0.368144;-0.715585;0.624570;0.240962;0.199470;0.172552;1.493525;0.354275;-0.739983;0.548856;0.224919;0.317165;0.170251;1.569404;0.371410;-0.786201;0.508981;0.268005;0.225831;0.160383;1.609567;0.384134;-0.781494;0.505118;0.310029;0.194950;2023/05/02 14:49:41.5119;0.143708;1.611174;0.372117;-0.799992;0.517672;0.275877;0.126180;0.157534;1.547841;0.355427;-0.758637;0.600072;0.216407;0.132483;0.166295;1.493721;0.347879;-0.740383;0.635944;0.202141;0.080916;0.150763;1.586536;0.362870;-0.806566;0.517795;0.249376;0.138392;0.136977;1.634303;0.378795;-0.799992;0.517672;0.275877;0.126180;a2bac77d-8205-49bb-8ea6-dd549691b314;0.121523;1.543441;0.381670;-0.757224;0.022685;-0.531771;-0.378573;0.126178;1.489161;0.352436;-0.511282;0.521442;-0.190353;-0.656091;0.109858;1.515262;0.365227;-0.724313;0.294208;-0.419713;-0.461142;0.140867;1.555586;0.392420;-0.757224;0.022685;-0.531771;-0.378573;22;0.161709;1.457967;0.332188;-0.740383;0.635944;0.202141;0.080916
NA;7719;3;0.023954;1.632967;0.099031;0.990220;0.134691;-0.014636;0.033309;0.098487;1.606837;0.360977;-0.829333;0.518760;0.195148;0.070798;0.117101;1.549620;0.340731;-0.788888;0.581063;0.197303;0.033075;0.134623;1.492223;0.344314;-0.741760;0.634229;0.202477;0.080930;0.106491;1.585778;0.350331;-0.843995;0.491677;0.211262;0.035999;0.093363;1.627700;0.369064;-0.829333;0.518760;0.195148;0.070798;0.119506;1.618360;0.368742;-0.796976;0.546968;0.229647;0.113659;0.139265;1.553224;0.345264;-0.792772;0.567152;0.211222;0.072362;0.151737;1.493129;0.346817;-0.741760;0.634229;0.202477;0.080930;0.128138;1.594147;0.357035;-0.838440;0.494056;0.220642;0.065142;0.114098;1.642473;0.375522;-0.796976;0.546968;0.229647;0.113659;0.150252;1.505842;0.338871;-0.741760;0.634229;0.202477;0.080930;0.165615;1.588911;0.379234;-0.782006;0.504251;0.310004;0.195181;0.172680;1.538577;0.368776;-0.716728;0.623157;0.241226;0.199466;0.172029;1.493938;0.354718;-0.741329;0.547099;0.224696;0.317217;0.169619;1.569743;0.372146;-0.786862;0.507913;0.268002;0.225939;0.159727;1.609873;0.384956;-0.782006;0.504251;0.310004;0.195181;2023/05/02 14:49:41.5232;0.143004;1.611470;0.373050;-0.800875;0.516176;0.276068;0.126285;0.156940;1.548229;0.356097;-0.760073;0.598150;0.216767;0.132357;0.165774;1.494153;0.348322;-0.741760;0.634229;0.202477;0.080930;0.150096;1.586878;0.363712;-0.807601;0.516077;0.249590;0.138383;0.136246;1.634570;0.379802;-0.800875;0.516176;0.276068;0.126285;a2bac77d-8205-49bb-8ea6-dd549691b314;0.120911;1.543667;0.382330;-0.756946;0.022132;-0.530497;-0.380941;0.125663;1.489522;0.352849;-0.512002;0.520418;-0.188469;-0.656886;0.109305;1.515540;0.365760;-0.724585;0.293069;-0.418302;-0.462721;0.140203;1.555829;0.393154;-0.756946;0.022132;-0.530497;-0.380941;33;0.161239;1.458460;0.332478;-0.741760;0.634229;0.202477;0.080930
NA;7720;4;0.024170;1.633053;0.099041;0.990354;0.133825;-0.013938;0.033106;0.098599;1.608008;0.361872;-0.829199;0.520203;0.192592;0.068756;0.117127;1.550774;0.341577;-0.789359;0.581358;0.194938;0.030574;0.134716;1.493391;0.345068;-0.742335;0.634617;0.200135;0.078402;0.106542;1.586927;0.351223;-0.844114;0.492740;0.208631;0.033953;0.093524;1.628895;0.369930;-0.829199;0.520203;0.192592;0.068756;0.119661;1.619542;0.369503;-0.797170;0.548181;0.227162;0.111429;0.139319;1.554396;0.345954;-0.793386;0.567490;0.208825;0.069900;0.151847;1.494311;0.347451;-0.742335;0.634617;0.200135;0.078402;0.128227;1.595313;0.357780;-0.838768;0.494944;0.218000;0.063050;0.114291;1.643667;0.376267;-0.797170;0.548181;0.227162;0.111429;0.150295;1.507019;0.339508;-0.742335;0.634617;0.200135;0.078402;0.165909;1.590145;0.379633;-0.782222;0.506287;0.307389;0.193168;0.172908;1.539784;0.369240;-0.717022;0.624443;0.239095;0.196937;0.172191;1.495138;0.355208;-0.742088;0.548304;0.222382;0.314985;0.169855;1.570955;0.372573;-0.787009;0.509910;0.265454;0.223925;0.160076;1.611129;0.385329;-0.782222;0.506287;0.307389;0.193168;2023/05/02 14:49:41.5345;0.143209;1.612678;0.373625;-0.801232;0.517499;0.273509;0.124160;0.157072;1.549419;0.356666;-0.760553;0.598903;0.214504;0.129853;0.165891;1.495345;0.348855;-0.742335;0.634617;0.200135;0.078402;0.150246;1.588069;0.364286;-0.807974;0.517283;0.247054;0.136240;0.136494;1.635792;0.380371;-0.801232;0.517499;0.273509;0.124160;a2bac77d-8205-49bb-8ea6-dd549691b314;0.121220;1.544819;0.383220;-0.754618;0.021334;-0.533021;-0.382080;0.125819;1.490688;0.353669;-0.511073;0.517786;-0.189986;-0.659248;0.109535;1.516681;0.366723;-0.722708;0.291488;-0.420680;-0.464497;0.140556;1.557026;0.393914;-0.754618;0.021334;-0.533021;-0.382080;44;0.161271;1.459641;0.333061;-0.742335;0.634617;0.200135;0.078402
NA;7721;5;0.024300;1.633205;0.099069;0.990434;0.133343;-0.013261;0.032941;0.098711;1.609151;0.362679;-0.828897;0.521772;0.190271;0.066944;0.117157;1.551893;0.342356;-0.789743;0.581668;0.192790;0.028294;0.134805;1.494524;0.345767;-0.742826;0.634995;0.197985;0.076112;0.106596;1.588043;0.352038;-0.844089;0.493912;0.206238;0.032121;0.093684;1.630064;0.370697;-0.828897;0.521772;0.190271;0.066944;0.119812;1.620692;0.370188;-0.797225;0.549438;0.224893;0.109422;0.139375;1.555531;0.346590;-0.793894;0.567851;0.206638;0.067665;0.151950;1.495455;0.348040;-0.742826;0.634995;0.197985;0.076112;0.128317;1.596444;0.358459;-0.838970;0.495893;0.215589;0.061171;0.114480;1.644832;0.376928;-0.797225;0.549438;0.224893;0.109422;0.150338;1.508157;0.340098;-0.742826;0.634995;0.197985;0.076112;0.166190;1.591341;0.379987;-0.782287;0.508329;0.304977;0.191361;0.173119;1.540951;0.369669;-0.717184;0.625719;0.237135;0.194652;0.172340;1.496297;0.355665;-0.742743;0.549427;0.220268;0.312962;0.170078;1.572128;0.372960;-0.787010;0.511908;0.263110;0.222125;0.160410;1.612350;0.385651;-0.782287;0.508329;0.304977;0.191361;2023/05/02 14:49:41.5458;0.143409;1.613852;0.374137;-0.801437;0.518868;0.271165;0.122249;0.157198;1.550570;0.357191;-0.760897;0.599691;0.212433;0.127592;0.166000;1.496497;0.349352;-0.742826;0.634995;0.197985;0.076112;0.150392;1.589225;0.364807;-0.808199;0.518536;0.244734;0.134315;0.136737;1.636983;0.380867;-0.801437;0.518868;0.271165;0.122249;a2bac77d-8205-49bb-8ea6-dd549691b314;0.121512;1.545935;0.384050;-0.752438;0.020540;-0.535349;-0.383168;0.125966;1.491821;0.354428;-0.510242;0.515280;-0.191375;-0.661450;0.109753;1.517789;0.367620;-0.720962;0.289968;-0.422866;-0.466172;0.140889;1.558182;0.394624;-0.752438;0.020540;-0.535349;-0.383168;55;0.161301;1.460783;0.333606;-0.742826;0.634995;0.197985;0.076112
NA;7722;6;0.024441;1.633248;0.099118;0.990469;0.133089;-0.012873;0.033050;0.098822;1.610269;0.363414;-0.828459;0.523442;0.188144;0.065320;0.117191;1.552984;0.343078;-0.790057;0.581990;0.190818;0.026196;0.134890;1.495626;0.346420;-0.743249;0.635365;0.195992;0.074017;0.106652;1.589133;0.352790;-0.843947;0.495169;0.204042;0.030464;0.093842;1.631212;0.371384;-0.828459;0.523442;0.188144;0.065320;0.119961;1.621817;0.370811;-0.797168;0.550731;0.222804;0.107596;0.139431;1.556635;0.347180;-0.794316;0.568231;0.204625;0.065616;0.152048;1.496567;0.348591;-0.743249;0.635365;0.195992;0.074017;0.128406;1.597547;0.359085;-0.839070;0.496891;0.213368;0.059463;0.114666;1.645974;0.377521;-0.797168;0.550731;0.222804;0.107596;0.150380;1.509263;0.340650;-0.743249;0.635365;0.195992;0.074017;0.166458;1.592507;0.380304;-0.782222;0.510380;0.302732;0.189721;0.173317;1.542085;0.370069;-0.717238;0.626989;0.235317;0.192565;0.172478;1.497423;0.356094;-0.743313;0.550485;0.218318;0.311111;0.170290;1.573268;0.373314;-0.786887;0.513909;0.260934;0.220499;0.160733;1.613540;0.385930;-0.782222;0.510380;0.302732;0.189721;2023/05/02 14:49:41.5565;0.143604;1.614998;0.374596;-0.801517;0.520277;0.268998;0.120511;0.157319;1.551689;0.357679;-0.761129;0.600505;0.210522;0.125529;0.166101;1.497617;0.349819;-0.743249;0.635365;0.195992;0.074017;0.150534;1.590350;0.365282;-0.808303;0.519828;0.242593;0.132567;0.136975;1.638148;0.381304;-0.801517;0.520277;0.268998;0.120511;a2bac77d-8205-49bb-8ea6-dd549691b314;0.121790;1.547021;0.384830;-0.750379;0.019755;-0.537511;-0.384218;0.126106;1.492924;0.355137;-0.509491;0.512877;-0.192659;-0.663520;0.109962;1.518868;0.368460;-0.719325;0.288500;-0.424893;-0.467766;0.141203;1.559305;0.395293;-0.750379;0.019755;-0.537511;-0.384218;66;0.161328;1.461891;0.334120;-0.743249;0.635365;0.195992;0.074017
NA;7723;7;0.024583;1.633311;0.099148;0.990493;0.132967;-0.012665;0.032922;0.098203;1.610821;0.365090;-0.828966;0.522727;0.187929;0.065224;0.116607;1.553611;0.344560;-0.791263;0.580388;0.190748;0.025853;0.134388;1.496264;0.347682;-0.744593;0.633863;0.195881;0.073686;0.106035;1.589710;0.354419;-0.844518;0.494275;0.203862;0.030352;0.093222;1.631749;0.373099;-0.828966;0.522727;0.187929;0.065224;0.119246;1.622320;0.372568;-0.797925;0.549717;0.222832;0.107114;0.138847;1.557271;0.348656;-0.795898;0.566016;0.204871;0.064806;0.151549;1.497218;0.349838;-0.744593;0.633863;0.195881;0.073686;0.127722;1.598094;0.360773;-0.839829;0.495642;0.213436;0.058921;0.113921;1.646454;0.379335;-0.797925;0.549717;0.222832;0.107114;0.149843;1.509937;0.341935;-0.744593;0.633863;0.195881;0.073686;0.165945;1.593103;0.381713;-0.781781;0.511427;0.301938;0.189987;0.172769;1.542672;0.371460;-0.717655;0.626688;0.234983;0.192399;0.171969;1.498063;0.357314;-0.744639;0.549075;0.217705;0.310860;0.169742;1.573851;0.374738;-0.786614;0.514603;0.260241;0.220672;0.160269;1.614156;0.387311;-0.781781;0.511427;0.301938;0.189987;2023/05/02 14:49:41.5683;0.142964;1.615563;0.376202;-0.801754;0.520073;0.268746;0.120379;0.156749;1.552305;0.359120;-0.762314;0.599087;0.210600;0.124984;0.165586;1.498274;0.351045;-0.744593;0.633863;0.195881;0.073686;0.149899;1.590929;0.366856;-0.808704;0.519357;0.242384;0.132350;0.136336;1.638708;0.382928;-0.801754;0.520073;0.268746;0.120379;a2bac77d-8205-49bb-8ea6-dd549691b314;0.121450;1.547463;0.386328;-0.749711;0.016799;-0.538150;-0.384768;0.125630;1.493523;0.356413;-0.510050;0.511085;-0.191885;-0.664697;0.109506;1.519405;0.369878;-0.719559;0.285572;-0.425515;-0.468637;0.140927;1.559664;0.396769;-0.749711;0.016799;-0.538150;-0.384768;78;0.160840;1.462603;0.335214;-0.744593;0.633863;0.195881;0.073686
NA;7724;8;0.024674;1.633292;0.099259;0.990510;0.132858;-0.012401;0.032934;0.097933;1.610809;0.365672;-0.830041;0.521719;0.186884;0.062575;0.116473;1.553728;0.344895;-0.792697;0.578798;0.189991;0.023005;0.134513;1.496448;0.347729;-0.746301;0.632371;0.195264;0.070801;0.105795;1.589751;0.354920;-0.845573;0.493075;0.202764;0.027743;0.092910;1.631702;0.373746;-0.830041;0.521719;0.186884;0.062575;0.118927;1.622342;0.373145;-0.799169;0.548833;0.221829;0.104417;0.138717;1.557472;0.348892;-0.797825;0.563909;0.204121;0.061780;0.151679;1.497469;0.349803;-0.746301;0.632371;0.195264;0.070801;0.127448;1.598184;0.361245;-0.841126;0.494224;0.212352;0.056189;0.113542;1.646444;0.379982;-0.799169;0.548833;0.221829;0.104417;0.149885;1.510209;0.341957;-0.746301;0.632371;0.195264;0.070801;0.165809;1.593315;0.381909;-0.783548;0.510311;0.300853;0.187412;0.172817;1.542945;0.371476;-0.719663;0.625468;0.234444;0.189501;0.172139;1.498380;0.357185;-0.746776;0.548132;0.216506;0.308223;0.169655;1.574099;0.374866;-0.788396;0.513574;0.259131;0.218001;0.160071;1.614331;0.387586;-0.783548;0.510311;0.300853;0.187412;2023/05/02 14:49:41.5790;0.142723;1.615694;0.376619;-0.803136;0.519142;0.267485;0.117970;0.156693;1.552549;0.359250;-0.764351;0.597361;0.209807;0.122101;0.165724;1.498584;0.350949;-0.746301;0.632371;0.195264;0.070801;0.149702;1.591109;0.367177;-0.810193;0.518250;0.241138;0.129836;0.136052;1.638803;0.383422;-0.803136;0.519142;0.267485;0.117970;a2bac77d-8205-49bb-8ea6-dd549691b314;0.121553;1.547414;0.386643;-0.747594;0.014782;-0.539472;-0.387111;0.125804;1.493638;0.356488;-0.509018;0.508926;-0.190495;-0.667537;0.109620;1.519387;0.370135;-0.718177;0.283456;-0.425941;-0.471645;0.141056;1.559625;0.397024;-0.747594;0.014782;-0.539472;-0.387111;89;0.161053;1.462945;0.335021;-0.746301;0.632371;0.195264;0.070801
NA;7725;9;0.024870;1.633568;0.099195;0.990524;0.132803;-0.012431;0.032720;0.097695;1.610859;0.366225;-0.830974;0.520881;0.185878;0.060131;0.116355;1.553895;0.345224;-0.793997;0.577356;0.189248;0.020359;0.134629;1.496677;0.347791;-0.747864;0.631008;0.194651;0.068117;0.105583;1.589846;0.355401;-0.846497;0.492052;0.201708;0.025333;0.092636;1.631722;0.374354;-0.830974;0.520881;0.185878;0.060131;0.118644;1.622421;0.373698;-0.800261;0.548105;0.220853;0.101924;0.138603;1.557715;0.349128;-0.799610;0.561946;0.203382;0.058963;0.151800;1.497759;0.349789;-0.747864;0.631008;0.194651;0.068117;0.127204;1.598323;0.361702;-0.842293;0.492965;0.211302;0.053661;0.113208;1.646493;0.380595;-0.800261;0.548105;0.220853;0.101924;0.149926;1.510518;0.341995;-0.747864;0.631008;0.194651;0.068117;0.165689;1.593569;0.382108;-0.785195;0.509261;0.299831;0.184996;0.172867;1.543255;0.371506;-0.721529;0.624327;0.233928;0.186785;0.172298;1.498732;0.357082;-0.748733;0.547288;0.215362;0.305768;0.169580;1.574385;0.375001;-0.790052;0.512612;0.258085;0.215497;0.159894;1.614549;0.387859;-0.785195;0.509261;0.299831;0.184996;2023/05/02 14:49:41.5898;0.142514;1.615873;0.377021;-0.804381;0.518345;0.266259;0.115749;0.156647;1.552832;0.359385;-0.766242;0.595754;0.209019;0.119422;0.165853;1.498929;0.350877;-0.747864;0.631008;0.194651;0.068117;0.149530;1.591331;0.367493;-0.811545;0.517272;0.239926;0.127516;0.135805;1.638951;0.383895;-0.804381;0.518345;0.266259;0.115749;a2bac77d-8205-49bb-8ea6-dd549691b314;0.121652;1.547423;0.386955;-0.745619;0.012830;-0.540720;-0.389243;0.125967;1.493803;0.356574;-0.508058;0.506909;-0.189179;-0.670173;0.109726;1.519426;0.370392;-0.716895;0.281446;-0.426341;-0.474430;0.141182;1.559642;0.397278;-0.745619;0.012830;-0.540720;-0.389243;99;0.161249;1.463321;0.334863;-0.747864;0.631008;0.194651;0.068117
NA;7726;10;0.024930;1.633490;0.099311;0.990543;0.132737;-0.012263;0.032477;0.096443;1.610842;0.366591;-0.829282;0.522715;0.188193;0.060363;0.115293;1.553832;0.345870;-0.792798;0.578255;0.191502;0.020488;0.133611;1.496640;0.348695;-0.746467;0.631988;0.196611;0.068717;0.104407;1.589791;0.355898;-0.844931;0.493805;0.203969;0.025409;0.091325;1.631739;0.374592;-0.829282;0.522715;0.188193;0.060363;0.117319;1.622444;0.374103;-0.798353;0.549879;0.223273;0.102054;0.137521;1.557687;0.349852;-0.798445;0.562712;0.205846;0.058896;0.150772;1.497747;0.350761;-0.746467;0.631988;0.196611;0.068717;0.125970;1.598303;0.362262;-0.840672;0.494697;0.213708;0.053612;0.111822;1.646547;0.380845;-0.798353;0.549879;0.223273;0.102054;0.148920;1.510479;0.342920;-0.746467;0.631988;0.196611;0.068717;0.164564;1.593732;0.382686;-0.782228;0.512685;0.301166;0.185937;0.171707;1.543335;0.372417;-0.719371;0.625920;0.235598;0.187679;0.171242;1.498765;0.358136;-0.747550;0.547772;0.217668;0.306161;0.168431;1.574485;0.375738;-0.787374;0.515525;0.259650;0.216467;0.158817;1.614778;0.388241;-0.782228;0.512685;0.301166;0.185937;2023/05/02 14:49:41.6016;0.141262;1.615977;0.377467;-0.801967;0.520930;0.268328;0.116111;0.155528;1.552856;0.360199;-0.764695;0.596860;0.211334;0.119742;0.164823;1.498935;0.351904;-0.746467;0.631988;0.196611;0.068717;0.148320;1.591377;0.368123;-0.809404;0.519514;0.242112;0.127872;0.134532;1.639104;0.384151;-0.801967;0.520930;0.268328;0.116111;a2bac77d-8205-49bb-8ea6-dd549691b314;0.120467;1.547454;0.387674;-0.746499;0.013815;-0.540216;-0.388222;0.124914;1.493786;0.357450;-0.507327;0.509023;-0.188705;-0.669258;0.108584;1.519423;0.371137;-0.717289;0.282912;-0.425803;-0.473445;0.139984;1.559673;0.398019;-0.746499;0.013815;-0.540216;-0.388222;111;0.160319;1.463270;0.335988;-0.746467;0.631988;0.196611;0.068717
