Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;180147;1;0.065296;1.501317;0.069000;0.999424;0.004016;-0.010422;0.032057;0.139692;1.528279;0.397634;-0.662883;0.507919;0.421120;0.353925;0.160807;1.471692;0.390024;-0.694319;0.490957;0.446648;0.278189;0.173206;1.416600;0.380140;-0.743399;0.437093;0.368420;0.347238;0.147930;1.506207;0.394436;-0.691667;0.474966;0.455151;0.298062;0.136357;1.549754;0.400353;-0.662883;0.507919;0.421120;0.353925;0.140217;1.514872;0.443783;-0.808688;0.251084;0.401703;0.348734;0.175211;1.468995;0.406241;-0.820252;0.276847;0.395062;0.307358;0.184788;1.413104;0.391338;-0.743399;0.437093;0.368420;0.347238;0.155142;1.498266;0.428689;-0.832487;0.224104;0.412005;0.294949;0.129610;1.532224;0.457353;-0.808688;0.251084;0.401703;0.348734;0.188091;1.426927;0.390262;-0.743399;0.437093;0.368420;0.347238;0.151612;1.428795;0.437396;-0.166375;-0.807610;0.478245;-0.302271;0.187846;1.442171;0.435153;-0.794741;-0.115256;0.547843;0.234459;0.196070;1.407208;0.408615;-0.707459;0.284503;0.349168;0.544648;0.160052;1.444386;0.446367;-0.512406;-0.649365;0.551442;-0.108062;0.157544;1.416414;0.420876;-0.166375;-0.807610;0.478245;-0.302271;2023/05/01 13:54:08.6136;0.144150;1.440256;0.431356;-0.125046;-0.855740;0.341228;-0.368288;0.182753;1.457720;0.421404;-0.849355;-0.034204;0.483845;0.208134;0.194877;1.410606;0.400873;-0.743399;0.437093;0.368420;0.347238;0.150856;1.463187;0.441601;-0.517223;-0.672852;0.494281;-0.188249;0.156180;1.427900;0.414881;-0.125046;-0.855740;0.341228;-0.368288;6e526951-250e-4037-8505-3204f70e406b;0.126176;1.444147;0.419054;-0.828792;0.056634;-0.101332;-0.547383;0.161506;1.413608;0.379700;-0.635113;0.529191;0.183472;-0.531909;0.136188;1.428779;0.391550;-0.822141;0.289623;0.011600;-0.489967;0.128051;1.450057;0.442328;-0.828792;0.056634;-0.101332;-0.547383;11;0.200970;1.384859;0.374284;-0.743399;0.437093;0.368420;0.347238
NA;180148;2;0.065206;1.501391;0.069069;0.999414;0.003571;-0.010386;0.032406;0.139904;1.528373;0.398090;-0.662445;0.507806;0.420815;0.355267;0.160900;1.471745;0.390450;-0.693941;0.490910;0.446425;0.279569;0.173170;1.416619;0.380594;-0.742615;0.437240;0.368508;0.348635;0.148096;1.506285;0.394881;-0.691252;0.474916;0.454935;0.299431;0.136615;1.549853;0.400827;-0.662445;0.507806;0.420815;0.355267;0.140324;1.514963;0.444186;-0.808036;0.250726;0.402232;0.349891;0.175267;1.469009;0.406693;-0.819518;0.277026;0.395363;0.308765;0.184724;1.413093;0.391812;-0.742615;0.437240;0.368508;0.348635;0.155239;1.498329;0.429113;-0.831802;0.224117;0.412461;0.296231;0.129718;1.532324;0.457747;-0.808036;0.250726;0.402232;0.349891;0.188064;1.426908;0.390735;-0.742615;0.437240;0.368508;0.348635;0.151522;1.428820;0.437764;-0.165475;-0.806977;0.478857;-0.303484;0.187777;1.442150;0.435626;-0.793809;-0.115294;0.549023;0.234839;0.195957;1.407167;0.409101;-0.706426;0.284445;0.349419;0.545857;0.159955;1.444399;0.446763;-0.511615;-0.648925;0.552579;-0.108645;0.157503;1.416442;0.421259;-0.165475;-0.806977;0.478857;-0.303484;2023/05/01 13:54:08.6244;0.144082;1.440355;0.431754;-0.125090;-0.854964;0.342363;-0.369022;0.182751;1.457713;0.421869;-0.848628;-0.033665;0.484692;0.209218;0.194787;1.410568;0.401358;-0.742615;0.437240;0.368508;0.348635;0.150832;1.463270;0.442007;-0.517079;-0.671962;0.495656;-0.188208;0.156118;1.427973;0.415302;-0.125090;-0.854964;0.342363;-0.369022;6e526951-250e-4037-8505-3204f70e406b;0.126173;1.444261;0.419474;-0.829536;0.056254;-0.101129;-0.546333;0.161464;1.413656;0.380142;-0.635726;0.529575;0.183264;-0.530864;0.136170;1.428883;0.391971;-0.822795;0.289626;0.011682;-0.488865;0.128059;1.450150;0.442753;-0.829536;0.056254;-0.101129;-0.546333;21;0.200861;1.384807;0.374777;-0.742615;0.437240;0.368508;0.348635
NA;180149;3;0.065112;1.501477;0.069179;0.999408;0.002993;-0.010235;0.032722;0.139450;1.528583;0.396775;-0.661451;0.510304;0.422335;0.351720;0.160622;1.471966;0.389556;-0.692919;0.493400;0.447557;0.275883;0.173039;1.416793;0.380157;-0.741693;0.440315;0.369795;0.345349;0.147710;1.506498;0.393730;-0.690343;0.477406;0.456127;0.295734;0.136094;1.550074;0.399340;-0.661451;0.510304;0.422335;0.351720;0.140103;1.515678;0.442915;-0.807377;0.255729;0.402793;0.347135;0.175036;1.469415;0.405788;-0.819036;0.280882;0.396182;0.305491;0.184633;1.413400;0.391376;-0.741693;0.440315;0.369795;0.345349;0.154990;1.498901;0.427972;-0.831386;0.228716;0.412885;0.293279;0.129539;1.533184;0.456320;-0.807377;0.255729;0.402793;0.347135;0.187925;1.427217;0.390165;-0.741693;0.440315;0.369795;0.345349;0.151511;1.429419;0.437252;-0.168191;-0.807586;0.475526;-0.305602;0.187700;1.442847;0.434922;-0.795317;-0.112256;0.549020;0.231187;0.195924;1.407660;0.408683;-0.706451;0.287634;0.351371;0.542893;0.159895;1.445110;0.446100;-0.514667;-0.647876;0.550389;-0.111564;0.157543;1.416937;0.420845;-0.168191;-0.807586;0.475526;-0.305602;2023/05/01 13:54:08.6345;0.143999;1.440939;0.431199;-0.128954;-0.855290;0.339376;-0.369695;0.182592;1.458274;0.421043;-0.849684;-0.029739;0.484422;0.206124;0.194725;1.410990;0.400913;-0.741693;0.440315;0.369795;0.345349;0.150721;1.463965;0.441219;-0.520646;-0.670373;0.493289;-0.190248;0.156027;1.428438;0.414832;-0.128954;-0.855290;0.339376;-0.369695;6e526951-250e-4037-8505-3204f70e406b;0.126065;1.444577;0.418963;-0.828133;0.058507;-0.104889;-0.547514;0.161341;1.413788;0.379766;-0.632799;0.530998;0.181088;-0.533679;0.136026;1.429015;0.391550;-0.820711;0.292075;0.008832;-0.490966;0.128028;1.450653;0.442187;-0.828133;0.058507;-0.104889;-0.547514;32;0.200815;1.385018;0.374542;-0.741693;0.440315;0.369795;0.345349
NA;180150;4;0.065037;1.501579;0.069330;0.999406;0.002514;-0.010137;0.032839;0.139037;1.528681;0.397016;-0.662103;0.510737;0.421967;0.350303;0.160278;1.472091;0.389786;-0.693553;0.493722;0.447100;0.274454;0.172729;1.416912;0.380465;-0.741886;0.441240;0.369467;0.344103;0.147323;1.506606;0.393967;-0.691011;0.477747;0.455669;0.294325;0.135653;1.550168;0.399573;-0.662103;0.510737;0.421967;0.350303;0.139881;1.515920;0.443104;-0.807604;0.257241;0.402082;0.346314;0.174733;1.469586;0.405989;-0.819322;0.282035;0.395536;0.304499;0.184353;1.413553;0.391663;-0.741886;0.441240;0.369467;0.344103;0.154728;1.499109;0.428162;-0.831680;0.230094;0.412115;0.292448;0.129356;1.533460;0.456495;-0.807604;0.257241;0.402082;0.346314;0.187628;1.427371;0.390416;-0.741886;0.441240;0.369467;0.344103;0.151345;1.429625;0.437572;-0.168455;-0.808248;0.474022;-0.306041;0.187492;1.443086;0.435144;-0.796179;-0.111241;0.548392;0.230200;0.195691;1.407858;0.408951;-0.706867;0.288768;0.351195;0.541862;0.159710;1.445351;0.446377;-0.515612;-0.647976;0.549259;-0.112190;0.157408;1.417135;0.421182;-0.168455;-0.808248;0.474022;-0.306041;2023/05/01 13:54:08.6457;0.143782;1.441161;0.431544;-0.130078;-0.855729;0.338425;-0.369157;0.182337;1.458482;0.421247;-0.850389;-0.028459;0.483559;0.205426;0.194470;1.411172;0.401178;-0.741886;0.441240;0.369467;0.344103;0.150517;1.464214;0.441493;-0.522012;-0.670118;0.492231;-0.190141;0.155785;1.428636;0.415177;-0.130078;-0.855729;0.338425;-0.369157;6e526951-250e-4037-8505-3204f70e406b;0.125826;1.444715;0.419343;-0.827648;0.058504;-0.106490;-0.547938;0.161033;1.413895;0.380110;-0.632253;0.530778;0.180079;-0.534885;0.135731;1.429115;0.391932;-0.820191;0.292150;0.007467;-0.491813;0.127848;1.450833;0.442551;-0.827648;0.058504;-0.106490;-0.547938;43;0.200523;1.385155;0.374842;-0.741886;0.441240;0.369467;0.344103
NA;180151;5;0.064984;1.501681;0.069493;0.999412;0.002028;-0.009979;0.032740;0.138647;1.528772;0.397264;-0.662785;0.511092;0.421564;0.348977;0.159954;1.472210;0.390011;-0.694217;0.493964;0.446618;0.273120;0.172435;1.417026;0.380760;-0.742072;0.442107;0.369136;0.342943;0.146958;1.506708;0.394206;-0.691707;0.478009;0.455185;0.293012;0.135237;1.550256;0.399816;-0.662785;0.511092;0.421564;0.348977;0.139675;1.516145;0.443295;-0.807842;0.258598;0.401386;0.345555;0.174448;1.469746;0.406185;-0.819602;0.283103;0.394883;0.303601;0.184088;1.413697;0.391938;-0.742072;0.442107;0.369136;0.342943;0.154485;1.499303;0.428351;-0.831975;0.231346;0.411357;0.291689;0.129187;1.533716;0.456675;-0.807842;0.258598;0.401386;0.345555;0.187347;1.427516;0.390657;-0.742072;0.442107;0.369136;0.342943;0.151190;1.429818;0.437879;-0.168648;-0.808881;0.472576;-0.306499;0.187297;1.443310;0.435357;-0.796987;-0.110253;0.547805;0.229273;0.195469;1.408042;0.409208;-0.707256;0.289835;0.351006;0.540906;0.159537;1.445577;0.446642;-0.516486;-0.648075;0.548194;-0.112806;0.157285;1.417323;0.421504;-0.168648;-0.808881;0.472576;-0.306499;2023/05/01 13:54:08.6574;0.143578;1.441371;0.431876;-0.131124;-0.856141;0.337538;-0.368643;0.182096;1.458676;0.421445;-0.851050;-0.027250;0.482736;0.204787;0.194227;1.411342;0.401432;-0.742072;0.442107;0.369136;0.342943;0.150325;1.464449;0.441757;-0.523305;-0.669869;0.491244;-0.190018;0.155558;1.428823;0.415509;-0.131124;-0.856141;0.337538;-0.368643;6e526951-250e-4037-8505-3204f70e406b;0.125601;1.444850;0.419705;-0.827213;0.058543;-0.107966;-0.548303;0.160741;1.413997;0.380438;-0.631762;0.530583;0.179111;-0.535983;0.135453;1.429213;0.392296;-0.819719;0.292237;0.006186;-0.492565;0.127676;1.451008;0.442897;-0.827213;0.058543;-0.107966;-0.548303;54;0.200246;1.385285;0.375128;-0.742072;0.442107;0.369136;0.342943
NA;180152;6;0.064918;1.501760;0.069671;0.999420;0.001614;-0.009670;0.032612;0.138328;1.528209;0.397806;-0.664456;0.508534;0.421388;0.349750;0.159762;1.471736;0.390241;-0.695745;0.491323;0.446661;0.273925;0.172384;1.416633;0.380703;-0.743423;0.439484;0.369197;0.343322;0.146689;1.506181;0.394626;-0.693205;0.475357;0.455151;0.293838;0.134870;1.549670;0.400481;-0.664456;0.508534;0.421388;0.349750;0.139289;1.515285;0.443772;-0.809093;0.254579;0.401482;0.345501;0.174242;1.469220;0.406419;-0.820615;0.279947;0.394804;0.303892;0.184029;1.413271;0.391878;-0.743423;0.439484;0.369197;0.343322;0.154177;1.498591;0.428739;-0.832919;0.227729;0.411399;0.291782;0.128701;1.532717;0.457255;-0.809093;0.254579;0.401482;0.345501;0.187259;1.427103;0.390682;-0.743423;0.439484;0.369197;0.343322;0.151060;1.429049;0.437847;-0.164728;-0.810025;0.472114;-0.306322;0.187118;1.442659;0.435466;-0.796593;-0.113543;0.547533;0.229685;0.195404;1.407551;0.409140;-0.708446;0.287206;0.350340;0.541183;0.159335;1.444781;0.446725;-0.513743;-0.650523;0.547913;-0.112601;0.157248;1.416688;0.421407;-0.164728;-0.810025;0.472114;-0.306322;2023/05/01 13:54:08.6675;0.143430;1.440623;0.431901;-0.127280;-0.856846;0.337197;-0.368664;0.181897;1.458087;0.421630;-0.850927;-0.030427;0.482648;0.205059;0.194164;1.410889;0.401380;-0.743423;0.439484;0.369197;0.343322;0.150087;1.463662;0.441934;-0.520543;-0.672104;0.491165;-0.189915;0.155492;1.428229;0.415477;-0.127280;-0.856846;0.337197;-0.368664;6e526951-250e-4037-8505-3204f70e406b;0.125394;1.444147;0.419693;-0.826791;0.057258;-0.105540;-0.549545;0.160698;1.413580;0.380342;-0.632328;0.529233;0.181771;-0.535755;0.135350;1.428673;0.392229;-0.819823;0.290744;0.008744;-0.493236;0.127399;1.450194;0.442921;-0.826791;0.057258;-0.105540;-0.549545;65;0.200276;1.384986;0.374945;-0.743423;0.439484;0.369197;0.343322
NA;180153;7;0.064836;1.501832;0.069889;0.999435;0.001225;-0.009205;0.032306;0.138815;1.528849;0.397454;-0.662652;0.511683;0.420722;0.349381;0.160002;1.472245;0.390179;-0.694171;0.494542;0.445777;0.273564;0.172360;1.417032;0.380942;-0.741724;0.442833;0.368484;0.343459;0.147079;1.506769;0.394388;-0.691646;0.478605;0.454361;0.293462;0.135451;1.550340;0.400010;-0.662652;0.511683;0.420722;0.349381;0.139942;1.516313;0.443463;-0.807304;0.260141;0.400448;0.346740;0.174504;1.469760;0.406344;-0.819282;0.284156;0.394038;0.304576;0.184012;1.413684;0.392113;-0.741724;0.442833;0.368484;0.343459;0.154659;1.499392;0.428515;-0.831561;0.232920;0.410406;0.292954;0.129544;1.533941;0.456838;-0.807304;0.260141;0.400448;0.346740;0.187301;1.427494;0.390829;-0.741724;0.442833;0.368484;0.343459;0.151228;1.429853;0.438027;-0.167162;-0.809103;0.472271;-0.307196;0.187318;1.443313;0.435521;-0.796902;-0.110007;0.547786;0.229728;0.195396;1.408014;0.409386;-0.706734;0.290607;0.350584;0.541447;0.159562;1.445607;0.446811;-0.515959;-0.648325;0.548368;-0.112931;0.157383;1.417396;0.421646;-0.167162;-0.809103;0.472271;-0.307196;2023/05/01 13:54:08.6797;0.143625;1.441485;0.432064;-0.130627;-0.856120;0.337738;-0.368685;0.182139;1.458682;0.421605;-0.851041;-0.026226;0.482381;0.205794;0.194155;1.411311;0.401608;-0.741724;0.442833;0.368484;0.343459;0.150406;1.464553;0.441947;-0.523448;-0.669616;0.491624;-0.189532;0.155613;1.428954;0.415690;-0.130627;-0.856120;0.337738;-0.368685;6e526951-250e-4037-8505-3204f70e406b;0.125575;1.444972;0.419872;-0.827713;0.058631;-0.108244;-0.547483;0.160659;1.414029;0.380622;-0.632130;0.530894;0.178425;-0.535469;0.135401;1.429299;0.392474;-0.820071;0.292536;0.005785;-0.491805;0.127665;1.451140;0.443061;-0.827713;0.058631;-0.108244;-0.547483;77;0.200099;1.385227;0.375315;-0.741724;0.442833;0.368484;0.343459
NA;180154;8;0.064750;1.501880;0.070114;0.999444;0.000831;-0.008681;0.032191;0.139262;1.529450;0.397120;-0.660923;0.514667;0.420149;0.348960;0.160224;1.472727;0.390129;-0.692655;0.497594;0.444993;0.273147;0.172330;1.417410;0.381178;-0.740116;0.446006;0.367786;0.343569;0.147438;1.507322;0.394164;-0.690146;0.481684;0.453665;0.293030;0.135983;1.550967;0.399560;-0.660923;0.514667;0.420149;0.348960;0.140596;1.517322;0.443158;-0.805327;0.266162;0.399207;0.348196;0.174746;1.470270;0.406279;-0.817927;0.288373;0.393241;0.305284;0.183990;1.414075;0.392345;-0.740116;0.446006;0.367786;0.343569;0.155126;1.500163;0.428300;-0.830089;0.238402;0.409280;0.294289;0.130412;1.535161;0.456419;-0.805327;0.266162;0.399207;0.348196;0.187335;1.427864;0.390976;-0.740116;0.446006;0.367786;0.343569;0.151387;1.430612;0.438201;-0.169416;-0.808256;0.472343;-0.308080;0.187506;1.443931;0.435579;-0.797196;-0.106661;0.548028;0.229712;0.195384;1.408454;0.409625;-0.705115;0.293837;0.350793;0.541679;0.159775;1.446387;0.446896;-0.518044;-0.646263;0.548759;-0.113302;0.157515;1.418066;0.421878;-0.169416;-0.808256;0.472343;-0.308080;2023/05/01 13:54:08.6904;0.143807;1.442313;0.432230;-0.133881;-0.855412;0.338268;-0.368674;0.182365;1.459245;0.421586;-0.851148;-0.022104;0.482079;0.206539;0.194142;1.411713;0.401832;-0.740116;0.446006;0.367786;0.343569;0.150711;1.465406;0.441966;-0.526287;-0.667181;0.492064;-0.189117;0.155721;1.429649;0.415905;-0.133881;-0.855412;0.338268;-0.368674;6e526951-250e-4037-8505-3204f70e406b;0.125753;1.445749;0.420061;-0.828566;0.059772;-0.110926;-0.545528;0.160617;1.414455;0.380900;-0.631954;0.532395;0.175207;-0.535250;0.135446;1.429891;0.392723;-0.820312;0.294111;0.002879;-0.490488;0.127933;1.452027;0.443212;-0.828566;0.059772;-0.110926;-0.545528;88;0.199924;1.385458;0.375673;-0.740116;0.446006;0.367786;0.343569
NA;180155;9;0.064660;1.501893;0.070328;0.999441;0.001034;-0.008334;0.032350;0.139677;1.530018;0.396801;-0.659258;0.517516;0.419648;0.348500;0.160431;1.473185;0.390087;-0.691190;0.500508;0.444284;0.272688;0.172298;1.417773;0.381411;-0.738584;0.449035;0.367099;0.343657;0.147771;1.507846;0.393953;-0.688698;0.484623;0.453041;0.292557;0.136477;1.551560;0.399128;-0.659258;0.517516;0.419648;0.348500;0.141249;1.518311;0.442857;-0.803198;0.272504;0.397807;0.349807;0.174973;1.470756;0.406222;-0.816556;0.292579;0.392419;0.306007;0.183966;1.414450;0.392573;-0.738584;0.449035;0.367099;0.343657;0.155581;1.500906;0.428093;-0.828524;0.244086;0.408052;0.295743;0.131297;1.536370;0.455996;-0.803198;0.272504;0.397807;0.349807;0.187363;1.428219;0.391121;-0.738584;0.449035;0.367099;0.343657;0.151540;1.431334;0.438370;-0.171524;-0.807471;0.472347;-0.308966;0.187683;1.444522;0.435638;-0.797476;-0.103473;0.548257;0.229651;0.195369;1.408875;0.409858;-0.703573;0.296927;0.350972;0.541884;0.159976;1.447130;0.446980;-0.520024;-0.644313;0.549098;-0.113703;0.157644;1.418703;0.422104;-0.171524;-0.807471;0.472347;-0.308966;2023/05/01 13:54:08.7021;0.143978;1.443110;0.432398;-0.137052;-0.854721;0.338786;-0.368638;0.182577;1.459781;0.421574;-0.851248;-0.018058;0.481749;0.207290;0.194125;1.412098;0.402050;-0.738584;0.449035;0.367099;0.343657;0.151003;1.466228;0.441990;-0.529064;-0.664793;0.492486;-0.188680;0.155820;1.430317;0.416121;-0.137052;-0.854721;0.338786;-0.368638;6e526951-250e-4037-8505-3204f70e406b;0.125927;1.446487;0.420257;-0.829365;0.060731;-0.113579;-0.543660;0.160572;1.414862;0.381174;-0.631794;0.533765;0.172097;-0.535083;0.135487;1.430456;0.392973;-0.820547;0.295513;0.000023;-0.489260;0.128202;1.452867;0.443371;-0.829365;0.060731;-0.113579;-0.543660;99;0.199752;1.385682;0.376020;-0.738584;0.449035;0.367099;0.343657
NA;180156;10;0.064584;1.501848;0.070532;0.999442;0.001428;-0.007909;0.032436;0.139692;1.529705;0.396930;-0.660430;0.515793;0.419469;0.349050;0.160527;1.472927;0.389996;-0.692270;0.498725;0.444257;0.273263;0.172435;1.417551;0.381152;-0.739226;0.447613;0.367029;0.344207;0.147818;1.507555;0.393996;-0.689756;0.482834;0.452961;0.293146;0.136462;1.551233;0.399343;-0.660430;0.515793;0.419469;0.349050;0.141185;1.517776;0.442938;-0.804165;0.269272;0.398155;0.349692;0.175056;1.470457;0.406137;-0.817208;0.290346;0.392491;0.306303;0.184094;1.414200;0.392315;-0.739226;0.447613;0.367029;0.344207;0.155587;1.500481;0.428112;-0.829206;0.241300;0.408297;0.295779;0.131142;1.535727;0.456154;-0.804165;0.269272;0.398155;0.349692;0.187485;1.427975;0.390914;-0.739226;0.447613;0.367029;0.344207;0.151639;1.430913;0.438124;-0.168839;-0.808065;0.472300;-0.308960;0.187756;1.444138;0.435481;-0.797141;-0.105216;0.548119;0.230350;0.195486;1.408577;0.409598;-0.704044;0.295477;0.350529;0.542351;0.160038;1.446686;0.446811;-0.518198;-0.645729;0.549214;-0.113438;0.157807;1.418370;0.421814;-0.168839;-0.808065;0.472300;-0.308960;2023/05/01 13:54:08.7127;0.144071;1.442699;0.432183;-0.134780;-0.855019;0.338913;-0.368667;0.182653;1.459439;0.421461;-0.851078;-0.019840;0.481761;0.207796;0.194248;1.411824;0.401798;-0.739226;0.447613;0.367029;0.344207;0.151056;1.465788;0.441871;-0.527392;-0.665997;0.492734;-0.188467;0.155957;1.429992;0.415871;-0.134780;-0.855019;0.338913;-0.368667;6e526951-250e-4037-8505-3204f70e406b;0.125991;1.446140;0.420010;-0.829443;0.060028;-0.112152;-0.543914;0.160711;1.414635;0.380890;-0.632363;0.533199;0.173409;-0.534552;0.135605;1.430187;0.392698;-0.820850;0.294817;0.001458;-0.489169;0.128227;1.452456;0.443145;-0.829443;0.060028;-0.112152;-0.543914;110;0.199914;1.385493;0.375691;-0.739226;0.447613;0.367029;0.344207
