Email;Framecount;FrameCount;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RealTimeStamp;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;48002;1;-0.034584;1.553521;-0.064805;0.996176;0.038383;-0.067511;-0.040036;-0.080657;1.488300;0.301406;0.842450;-0.508805;0.171501;0.044532;-0.101794;1.434652;0.270055;0.858287;-0.479749;0.181467;-0.015925;-0.113707;1.379980;0.243796;0.879078;-0.466574;0.074292;0.063330;-0.088722;1.467363;0.289009;0.861242;-0.472196;0.187644;0.009091;-0.075472;1.509429;0.310587;0.842450;-0.508805;0.171501;0.044532;-0.126161;1.502499;0.303695;0.789998;-0.595731;0.055151;0.134041;-0.125310;1.436181;0.270135;0.847727;-0.521072;0.048586;0.086499;-0.131417;1.379761;0.242292;0.879078;-0.466574;0.074292;0.063330;-0.125662;1.476560;0.290611;0.845857;-0.521815;0.050547;0.098390;-0.128716;1.527930;0.310146;0.789998;-0.595731;0.055151;0.134041;-0.130053;1.395038;0.241298;0.879078;-0.466574;0.074292;0.063330;-0.146107;1.408773;0.318854;0.654765;0.689169;0.291202;0.107380;-0.162578;1.412472;0.276665;0.963512;-0.142973;0.121350;0.190990;-0.154225;1.377164;0.245013;0.856843;-0.411296;0.046303;0.307427;-0.156770;1.422901;0.306787;0.867175;0.420659;0.203481;0.172189;-0.133323;1.389527;0.317268;0.654765;0.689169;0.291202;0.107380;2023/05/02 13:13:12.6927;-0.151291;1.481919;0.314743;0.879050;-0.441265;0.065643;0.168071;-0.144930;1.426906;0.273325;0.880932;-0.449458;0.022883;0.146364;-0.146537;1.380132;0.240910;0.879078;-0.466574;0.074292;0.063330;-0.148684;1.459751;0.297794;0.878086;-0.443062;0.036349;0.177031;-0.152990;1.503265;0.328981;0.879050;-0.441265;0.065643;0.168071;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.112699;1.399073;0.309480;0.616831;0.310783;-0.519895;-0.502636;-0.105819;1.373762;0.252093;0.606364;-0.240078;-0.023537;-0.757715;-0.094321;1.384969;0.282394;0.705408;0.022555;-0.345707;-0.618367;-0.137083;1.403678;0.317135;0.616831;0.310783;-0.519895;-0.502636;11;-0.134795;1.353895;0.212461;0.879078;-0.466574;0.074292;0.063330
NA;48003;2;-0.034536;1.553545;-0.065062;0.996181;0.038289;-0.067584;-0.039876;-0.081180;1.488412;0.300840;0.842211;-0.509134;0.171087;0.046830;-0.102121;1.434642;0.269564;0.857987;-0.480498;0.181100;-0.013544;-0.113816;1.379914;0.243327;0.878818;-0.466787;0.073972;0.065704;-0.089169;1.467429;0.288471;0.860884;-0.472931;0.187305;0.011470;-0.076074;1.509563;0.310012;0.842211;-0.509134;0.171087;0.046830;-0.126777;1.502387;0.303229;0.789558;-0.595864;0.054230;0.136394;-0.125643;1.436065;0.269684;0.847412;-0.521239;0.047882;0.088945;-0.131526;1.379612;0.241855;0.878818;-0.466787;0.073972;0.065704;-0.126167;1.476447;0.290150;0.845515;-0.521971;0.049842;0.100832;-0.129449;1.527806;0.309677;0.789558;-0.595864;0.054230;0.136394;-0.130247;1.394894;0.240863;0.878818;-0.466787;0.073972;0.065704;-0.146258;1.408662;0.318573;0.658733;0.684304;0.292868;0.109670;-0.162792;1.412189;0.276281;0.962968;-0.143102;0.121777;0.193353;-0.154331;1.376912;0.244623;0.856059;-0.411240;0.046117;0.309707;-0.156986;1.422645;0.306394;0.868222;0.417004;0.204560;0.174510;-0.133329;1.389494;0.317251;0.658733;0.684304;0.292868;0.109670;2023/05/02 13:13:12.7034;-0.151756;1.481656;0.314378;0.878655;-0.441180;0.065283;0.170483;-0.145216;1.426701;0.272908;0.880736;-0.449068;0.022567;0.148772;-0.146664;1.379914;0.240506;0.878818;-0.466787;0.073972;0.065704;-0.149077;1.459512;0.297407;0.877812;-0.442665;0.036037;0.179432;-0.153531;1.502990;0.328623;0.878655;-0.441180;0.065283;0.170483;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.112725;1.399112;0.308941;0.619124;0.311281;-0.518890;-0.500543;-0.105872;1.373736;0.251602;0.608169;-0.241959;-0.023837;-0.755658;-0.094327;1.385064;0.281840;0.707632;0.022183;-0.345425;-0.615993;-0.137122;1.403585;0.316631;0.619124;0.311281;-0.518890;-0.500543;22;-0.134851;1.353724;0.212043;0.878818;-0.466787;0.073972;0.065704
NA;48004;3;-0.034461;1.553428;-0.065324;0.996185;0.038235;-0.067706;-0.039611;-0.081635;1.488509;0.300309;0.842016;-0.509390;0.170725;0.048827;-0.102402;1.434633;0.269102;0.857712;-0.481165;0.180774;-0.011463;-0.113906;1.379856;0.242883;0.878578;-0.466986;0.073702;0.067774;-0.089556;1.467485;0.287967;0.860558;-0.473588;0.187006;0.013547;-0.076596;1.509679;0.309476;0.842016;-0.509390;0.170725;0.048827;-0.127318;1.502287;0.302786;0.789157;-0.595995;0.053378;0.138464;-0.125930;1.435963;0.269255;0.847123;-0.521396;0.047221;0.091101;-0.131616;1.379481;0.241441;0.878578;-0.466986;0.073702;0.067774;-0.126609;1.476347;0.289712;0.845202;-0.522120;0.049180;0.102983;-0.130095;1.527696;0.309231;0.789157;-0.595995;0.053378;0.138464;-0.130414;1.394768;0.240451;0.878578;-0.466986;0.073702;0.067774;-0.146390;1.408577;0.318309;0.662693;0.679518;0.294249;0.111851;-0.162974;1.411942;0.275912;0.962486;-0.143215;0.122148;0.195422;-0.154421;1.376691;0.244250;0.855363;-0.411203;0.045968;0.311694;-0.157170;1.422421;0.306017;0.869302;0.413426;0.205423;0.176621;-0.133327;1.389484;0.317252;0.662693;0.679518;0.294249;0.111851;2023/05/02 13:13:12.7146;-0.152156;1.481420;0.314031;0.878311;-0.441091;0.064959;0.172596;-0.145461;1.426523;0.272510;0.880588;-0.448669;0.022293;0.150880;-0.146772;1.379722;0.240121;0.878578;-0.466986;0.073702;0.067774;-0.149415;1.459299;0.297040;0.877594;-0.442262;0.035764;0.181534;-0.153999;1.502743;0.328284;0.878311;-0.441091;0.064959;0.172596;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.112730;1.399162;0.308426;0.621261;0.311608;-0.517983;-0.498628;-0.105912;1.373714;0.251137;0.609747;-0.243807;-0.024127;-0.753780;-0.094317;1.385157;0.281312;0.709653;0.021724;-0.345191;-0.613811;-0.137137;1.403518;0.316151;0.621261;0.311608;-0.517983;-0.498628;33;-0.134897;1.353573;0.211647;0.878578;-0.466986;0.073702;0.067774
NA;48005;4;-0.034306;1.553398;-0.065629;0.996192;0.038296;-0.067764;-0.039283;-0.081452;1.488285;0.301112;0.843088;-0.507984;0.169862;0.047968;-0.102203;1.434538;0.269672;0.858735;-0.479617;0.179976;-0.012286;-0.113720;1.379842;0.243289;0.879307;-0.465870;0.072938;0.066819;-0.089367;1.467312;0.288679;0.861593;-0.472060;0.186159;0.012742;-0.076412;1.509420;0.310360;0.843088;-0.507984;0.169862;0.047968;-0.127109;1.502146;0.303455;0.789976;-0.595216;0.052731;0.137389;-0.125729;1.435896;0.269777;0.847817;-0.520510;0.046517;0.090064;-0.131428;1.379494;0.241806;0.879307;-0.465870;0.072938;0.066819;-0.126403;1.476236;0.290324;0.845910;-0.521243;0.048466;0.101949;-0.129869;1.527544;0.309952;0.789976;-0.595216;0.052731;0.137389;-0.130200;1.394782;0.240856;0.879307;-0.465870;0.072938;0.066819;-0.146315;1.408400;0.318742;0.663277;0.679437;0.292782;0.112730;-0.162817;1.411904;0.276291;0.962990;-0.141681;0.121158;0.194675;-0.154238;1.376725;0.244556;0.856139;-0.410402;0.044878;0.310778;-0.157044;1.422274;0.306440;0.869420;0.413892;0.203879;0.176737;-0.133266;1.389295;0.317732;0.663277;0.679437;0.292782;0.112730;2023/05/02 13:13:12.7259;-0.151966;1.481271;0.314617;0.878865;-0.440510;0.064142;0.171562;-0.145279;1.426472;0.272965;0.881312;-0.447647;0.021613;0.149784;-0.146576;1.379758;0.240452;0.879307;-0.465870;0.072938;0.066819;-0.149227;1.459191;0.297573;0.878350;-0.441256;0.035043;0.180463;-0.153812;1.502573;0.328901;0.878865;-0.440510;0.064142;0.171562;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.112709;1.398975;0.308875;0.619804;0.312912;-0.518465;-0.499122;-0.105756;1.373669;0.251548;0.609557;-0.242065;-0.023816;-0.754505;-0.094226;1.385021;0.281782;0.708776;0.023410;-0.345518;-0.614577;-0.137135;1.403336;0.316535;0.619804;0.312912;-0.518465;-0.499122;44;-0.134671;1.353668;0.211936;0.879307;-0.465870;0.072938;0.066819
NA;48006;5;-0.034307;1.553352;-0.065868;0.996182;0.038703;-0.067835;-0.039011;-0.081272;1.488076;0.301837;0.844093;-0.506661;0.169060;0.047130;-0.102009;1.434452;0.270179;0.859695;-0.478151;0.179234;-0.013091;-0.113544;1.379832;0.243646;0.879970;-0.464855;0.072252;0.065893;-0.089181;1.467151;0.289319;0.862566;-0.470613;0.185369;0.011953;-0.076230;1.509176;0.311162;0.844093;-0.506661;0.169060;0.047130;-0.126901;1.502022;0.304048;0.790715;-0.594522;0.052156;0.136358;-0.125534;1.435839;0.270239;0.848443;-0.519718;0.045885;0.089068;-0.131250;1.379510;0.242126;0.879970;-0.464855;0.072252;0.065893;-0.126201;1.476137;0.290866;0.846547;-0.520461;0.047824;0.100955;-0.129643;1.527410;0.310591;0.790715;-0.594522;0.052156;0.136358;-0.129996;1.394798;0.241212;0.879970;-0.464855;0.072252;0.065893;-0.146239;1.408244;0.319126;0.663963;0.679239;0.291375;0.113524;-0.162665;1.411877;0.276621;0.963463;-0.140243;0.120270;0.193923;-0.154064;1.376763;0.244820;0.856858;-0.409679;0.043894;0.309889;-0.156918;1.422144;0.306810;0.869591;0.414223;0.202420;0.176798;-0.133203;1.389127;0.318167;0.663963;0.679239;0.291375;0.113524;2023/05/02 13:13:12.7371;-0.151774;1.481141;0.315135;0.879354;-0.440029;0.063417;0.170556;-0.145101;1.426431;0.273365;0.881978;-0.446715;0.021023;0.148721;-0.146390;1.379795;0.240739;0.879970;-0.464855;0.072252;0.065893;-0.149041;1.459098;0.298043;0.879047;-0.440339;0.034416;0.179424;-0.153621;1.502426;0.329445;0.879354;-0.440029;0.063417;0.170556;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.112687;1.398806;0.309270;0.618431;0.314077;-0.518935;-0.499605;-0.105609;1.373628;0.251910;0.609338;-0.240449;-0.023545;-0.755207;-0.094139;1.384896;0.282199;0.707925;0.024956;-0.345852;-0.615310;-0.137130;1.403175;0.316871;0.618431;0.314077;-0.518935;-0.499605;56;-0.134459;1.353758;0.212185;0.879970;-0.464855;0.072252;0.065893
NA;48007;6;-0.034251;1.553324;-0.066149;0.996158;0.039051;-0.067950;-0.039082;-0.081095;1.487879;0.302496;0.845037;-0.505411;0.168308;0.046314;-0.101821;1.434373;0.270631;0.860601;-0.476757;0.178540;-0.013879;-0.113377;1.379823;0.243963;0.880579;-0.463924;0.071632;0.064995;-0.088999;1.467000;0.289899;0.863483;-0.469238;0.184630;0.011181;-0.076051;1.508946;0.311893;0.845037;-0.505411;0.168308;0.046314;-0.126696;1.501912;0.304577;0.791385;-0.593901;0.051641;0.135367;-0.125345;1.435788;0.270651;0.849009;-0.519006;0.045313;0.088108;-0.131080;1.379527;0.242408;0.880579;-0.463924;0.071632;0.064995;-0.126002;1.476050;0.291349;0.847124;-0.519759;0.047244;0.099997;-0.129420;1.527291;0.311160;0.791385;-0.593901;0.051641;0.135367;-0.129802;1.394816;0.241527;0.880579;-0.463924;0.071632;0.064995;-0.146161;1.408106;0.319468;0.664729;0.678948;0.290022;0.114246;-0.162516;1.411858;0.276910;0.963909;-0.138887;0.119471;0.193172;-0.153898;1.376802;0.245051;0.857529;-0.409021;0.042999;0.309027;-0.156792;1.422029;0.307137;0.869801;0.414448;0.201036;0.176814;-0.133139;1.388977;0.318566;0.664729;0.678948;0.290022;0.114246;2023/05/02 13:13:12.7478;-0.151582;1.481028;0.315598;0.879789;-0.439631;0.062768;0.169577;-0.144929;1.426398;0.273719;0.882596;-0.445861;0.020509;0.147691;-0.146212;1.379834;0.240990;0.880579;-0.463924;0.071632;0.064995;-0.148857;1.459017;0.298462;0.879694;-0.439498;0.033867;0.178416;-0.153428;1.502298;0.329929;0.879789;-0.439631;0.062768;0.169577;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.112665;1.398653;0.309620;0.617130;0.315129;-0.519396;-0.500073;-0.105470;1.373591;0.252232;0.609096;-0.238941;-0.023307;-0.755888;-0.094056;1.384781;0.282571;0.707097;0.026384;-0.346191;-0.616011;-0.137124;1.403032;0.317165;0.617130;0.315129;-0.519396;-0.500073;66;-0.134259;1.353844;0.212403;0.880579;-0.463924;0.071632;0.064995
NA;48008;7;-0.034137;1.553193;-0.066404;0.996148;0.039211;-0.068019;-0.039059;-0.081390;1.488257;0.301129;0.843001;-0.508210;0.168944;0.050291;-0.101899;1.434416;0.269692;0.858753;-0.479952;0.179141;-0.009921;-0.113250;1.379717;0.243242;0.879496;-0.465293;0.072537;0.068761;-0.089210;1.467249;0.288697;0.861549;-0.472392;0.185340;0.015110;-0.076447;1.509413;0.310382;0.843001;-0.508210;0.168944;0.050291;-0.127009;1.501939;0.303493;0.789639;-0.595296;0.052149;0.139190;-0.125430;1.435687;0.269826;0.847571;-0.520622;0.046101;0.091925;-0.130959;1.379307;0.241778;0.879496;-0.465293;0.072537;0.068761;-0.126225;1.476028;0.290366;0.845645;-0.521345;0.048049;0.103807;-0.129853;1.527327;0.309989;0.789639;-0.595296;0.052149;0.139190;-0.129783;1.394601;0.240848;0.879496;-0.465293;0.072537;0.068761;-0.145804;1.407973;0.318863;0.666025;0.676047;0.293676;0.114568;-0.162422;1.411549;0.276346;0.962943;-0.139153;0.122043;0.196173;-0.153750;1.376451;0.244547;0.855853;-0.409650;0.044379;0.312623;-0.156575;1.421784;0.306527;0.869590;0.412581;0.204595;0.178133;-0.132655;1.388927;0.318041;0.666025;0.676047;0.293676;0.114568;2023/05/02 13:13:12.7596;-0.151690;1.480851;0.314839;0.878473;-0.440654;0.063871;0.173291;-0.144941;1.426187;0.273022;0.881702;-0.446305;0.021703;0.151469;-0.146104;1.379517;0.240439;0.879496;-0.465293;0.072537;0.068761;-0.148927;1.458827;0.297728;0.878681;-0.439894;0.035099;0.182157;-0.153595;1.502151;0.329120;0.878473;-0.440654;0.063871;0.173291;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.112359;1.398813;0.308761;0.620630;0.315026;-0.518317;-0.496916;-0.105259;1.373559;0.251487;0.611159;-0.242492;-0.024028;-0.753064;-0.093742;1.384965;0.281706;0.710170;0.025018;-0.346161;-0.612541;-0.136829;1.403032;0.316362;0.620630;0.315026;-0.518317;-0.496916;78;-0.134135;1.353515;0.211869;0.879496;-0.465293;0.072537;0.068761
NA;48009;8;-0.034108;1.553239;-0.066691;0.996131;0.039630;-0.067902;-0.039267;-0.080967;1.488519;0.299787;0.841263;-0.510887;0.170288;0.047675;-0.101733;1.434561;0.268722;0.857065;-0.482496;0.180214;-0.012644;-0.113369;1.379683;0.242770;0.877573;-0.468966;0.074230;0.066527;-0.088888;1.467463;0.287500;0.859949;-0.474932;0.186482;0.012359;-0.075925;1.509718;0.308886;0.841263;-0.510887;0.170288;0.047675;-0.126413;1.502513;0.301911;0.787215;-0.598716;0.055040;0.137124;-0.125258;1.435944;0.268860;0.845363;-0.524366;0.048600;0.089672;-0.131081;1.379345;0.241319;0.877573;-0.468966;0.074230;0.066527;-0.125795;1.476478;0.289024;0.843466;-0.525064;0.050605;0.101550;-0.129104;1.527977;0.308174;0.787215;-0.598716;0.055040;0.137124;-0.129824;1.394625;0.240248;0.877573;-0.468966;0.074230;0.066527;-0.145700;1.408862;0.318205;0.672157;0.671057;0.292481;0.111099;-0.162358;1.412038;0.275616;0.962688;-0.143736;0.124342;0.192645;-0.153873;1.376621;0.244122;0.854759;-0.413204;0.047007;0.310547;-0.156396;1.422557;0.305677;0.872943;0.407047;0.204705;0.174299;-0.132640;1.389743;0.317723;0.672157;0.671057;0.292481;0.111099;2023/05/02 13:13:12.7698;-0.151188;1.481672;0.313442;0.876377;-0.445413;0.066411;0.170766;-0.144811;1.426563;0.272153;0.879924;-0.450441;0.024335;0.149145;-0.146216;1.379615;0.239982;0.877573;-0.468966;0.074230;0.066527;-0.148576;1.459466;0.296543;0.877014;-0.443953;0.037861;0.179771;-0.152966;1.503143;0.327480;0.876377;-0.445413;0.066411;0.170766;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.112463;1.399313;0.308095;0.620490;0.311640;-0.521472;-0.495923;-0.105410;1.373559;0.251070;0.608275;-0.245005;-0.026723;-0.754493;-0.093847;1.385162;0.281196;0.708644;0.021981;-0.349524;-0.612514;-0.136924;1.403702;0.315627;0.620490;0.311640;-0.521472;-0.495923;88;-0.134390;1.353306;0.211635;0.877573;-0.468966;0.074230;0.066527
NA;48010;9;-0.033936;1.553215;-0.066994;0.996117;0.039862;-0.067942;-0.039320;-0.080570;1.488733;0.298569;0.839744;-0.513209;0.171469;0.045229;-0.101572;1.434684;0.267823;0.855603;-0.484661;0.181154;-0.015190;-0.113472;1.379649;0.242328;0.875799;-0.472314;0.075780;0.064447;-0.088582;1.467640;0.286407;0.858567;-0.477094;0.187479;0.009787;-0.075437;1.509968;0.307533;0.839744;-0.513209;0.171469;0.045229;-0.125842;1.503025;0.300445;0.784980;-0.601829;0.057770;0.135170;-0.125090;1.436171;0.267964;0.843320;-0.527779;0.050966;0.087540;-0.131187;1.379378;0.240888;0.875799;-0.472314;0.075780;0.064447;-0.125382;1.476878;0.287781;0.841452;-0.528455;0.053022;0.099414;-0.128387;1.528555;0.306494;0.784980;-0.601829;0.057770;0.135170;-0.129854;1.394643;0.239687;0.875799;-0.472314;0.075780;0.064447;-0.145591;1.409687;0.317588;0.678042;0.666152;0.291337;0.107817;-0.162291;1.412483;0.274933;0.962416;-0.148058;0.126529;0.189274;-0.153980;1.376776;0.243721;0.853751;-0.416448;0.049412;0.308607;-0.156216;1.423268;0.304876;0.876113;0.401698;0.204797;0.170654;-0.132615;1.390506;0.317438;0.678042;0.666152;0.291337;0.107817;2023/05/02 13:13:12.7815;-0.150704;1.482419;0.312136;0.874362;-0.449897;0.068799;0.168375;-0.144682;1.426903;0.271343;0.878247;-0.454281;0.026823;0.146939;-0.146312;1.379703;0.239552;0.875799;-0.472314;0.075780;0.064447;-0.148235;1.460046;0.295437;0.875442;-0.447722;0.040469;0.177506;-0.152363;1.504049;0.325943;0.874362;-0.449897;0.068799;0.168375;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.112566;1.399759;0.307472;0.620261;0.308597;-0.524391;-0.495034;-0.105545;1.373555;0.250680;0.605595;-0.247198;-0.029195;-0.755841;-0.093944;1.385335;0.280723;0.707169;0.019331;-0.352678;-0.612501;-0.137019;1.404305;0.314937;0.620261;0.308597;-0.524391;-0.495034;100;-0.134618;1.353116;0.211411;0.875799;-0.472314;0.075780;0.064447
NA;48011;10;-0.033877;1.553139;-0.067251;0.996121;0.039921;-0.067740;-0.039509;-0.080295;1.488060;0.299106;0.840523;-0.511616;0.172722;0.044027;-0.101526;1.434171;0.268235;0.856138;-0.483194;0.182433;-0.016389;-0.113693;1.379243;0.242636;0.876404;-0.471148;0.077257;0.062986;-0.088397;1.467029;0.286895;0.859138;-0.475601;0.188712;0.008589;-0.075072;1.509247;0.308129;0.840523;-0.511616;0.172722;0.044027;-0.125530;1.502568;0.300985;0.785618;-0.601118;0.059041;0.134072;-0.125038;1.435757;0.268409;0.843825;-0.527058;0.052164;0.086305;-0.131410;1.379050;0.241217;0.876404;-0.471148;0.077257;0.062986;-0.125171;1.476437;0.288284;0.841977;-0.527726;0.054213;0.098185;-0.127981;1.528098;0.307072;0.785618;-0.601118;0.059041;0.134072;-0.130013;1.394313;0.240047;0.876404;-0.471148;0.077257;0.062986;-0.145627;1.409431;0.318170;0.682905;0.661887;0.289718;0.107755;-0.162330;1.412211;0.275373;0.962815;-0.147193;0.127203;0.187459;-0.154208;1.376538;0.244072;0.854825;-0.415208;0.050489;0.307127;-0.156181;1.422940;0.305322;0.878128;0.398353;0.203587;0.169585;-0.132666;1.390240;0.318325;0.682905;0.661887;0.289718;0.107755;2023/05/02 13:13:12.7922;-0.150407;1.482050;0.312668;0.874877;-0.449262;0.070086;0.166861;-0.144665;1.426564;0.271792;0.878846;-0.453539;0.028183;0.145390;-0.146533;1.379442;0.239900;0.876404;-0.471148;0.077257;0.062986;-0.148051;1.459689;0.295936;0.876093;-0.446934;0.041793;0.175968;-0.151964;1.503674;0.326497;0.874877;-0.449262;0.070086;0.166861;f2c04bcd-4cfa-4709-adff-4f4564456d19;-0.112660;1.399250;0.307778;0.619167;0.308374;-0.524821;-0.496085;-0.105783;1.373097;0.250966;0.604307;-0.247431;-0.027848;-0.756846;-0.094094;1.384797;0.281006;0.706190;0.019085;-0.352231;-0.613893;-0.137106;1.403859;0.315228;0.619167;0.308374;-0.524821;-0.496085;111;-0.134987;1.352868;0.211686;0.876404;-0.471148;0.077257;0.062986
